track,artist,track_clean,artist_clean,final_emotion,lyrics
Man Undercover (feat. Timbaland),Aaliyah,man undercover feat timbaland,aaliyah,anger,"Say what
You look good
(say it two times)
You look good good
(say it three times)
You look good good good
(say it four times)
Oh oh oh oh good

I, I, like the way, way you get down, down
(thats the way I like it)
You're the kinda guy
That makes mama feel proud
Don't have to show you're the boss
I, I, like you the way that you are

I like my man undercover
Smooth dark brotha
Fly to the bone
You don't need no fly jeep
To come and scoop me
You can drive what you own
(That's the way I like it)
A man undercover
Smooth black brotha
Fly to the bone
Don't need no Gucci sweater
To make you look better
You can wear what you own

I, i, love, love the way that you smile, smile
You, you the type of guy
That got his own style
All I want to do is be with you
You, you got me feelin
The way that I do

I like my man undercover
Smooth dark brotha
Fly to the bone
You don't need no fly jeep
To come and scoop me
You can drive what you own
(That's the way I like it)
A man undercover
Smooth black brotha
Fly to the bone
Don't need no Gucci sweater
To make you look better
You can wear what you own

Say what
You look good
(say it two times)
You look good good
(say it three times)
You look good good good
(say it four times)
Oh oh oh oh good

Let me pick you up in my jeep (my jeep)
Listenin to this phat ill beat (ill beat)
Lets cruise around the town (the town)
I'm diggin you are you diggin me
Let's hop on my Harley Dave (Harley Dave)
It cost about 20K (20K)
What it takes me to persuade (persuade)
Turn your night in to day (to day)
I never seen a girl (a girl)
Who hypnotize like you (like you)
Who walk just like you (like you)
Who talk just like you (like you)
I wanna be your lover (your lover)
That ill type brotha (brotha)
Baby girl baby girl (baby girl)
We can keep it undercover

I like my man undercover
Smooth dark brotha
Fly to the bone
You don't need no fly jeep
To come and scoop me
You can drive what you own
(That's the way I like it)
A man undercover
Smooth black brotha
Fly to the bone
Don't need no Gucci sweater
To make you look better
You can wear what you own"
Green Light (Remix by Freemasons),Beyoncé,green light remix by freemasons,beyoncé,anger,"Give it to mama
Give it, give it
Give it to mama, mama, oh
Give it, give it
Give it to mama, mama, oh
Give it, give it
Give it to mama, mama, oh
Give it
Give it to mama, mama

Go, go
Go, go
Go, go
Go, go

So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light

For some strange reason
You're done pleasin' me like it's okay (Oh)
Like a perm that's been left too long (It starts to burn)
The result is it just won't take (Oh, I can see)
Now it's all coming so clear to me now (I can see)
Misinterpreted all my naiveness (Oh)
Was just thinking if I had no you then I can't do
My stock just went up over two million

So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)

Some see me, say I should be trophied
'Cause it gets no stronger (Oh)
Ladies, y'all know (Yeah, girl, y'all know)
This pimp shit gets no older (Oh)
Is that a threat? (What's another threat?)
Yep (That's another threat)
I'm immune, you can't get no colder (Oh)
You got the green light (Go)
You the king, right? (Roll)
You holdin' up traffic, green means go

Go, go (Go)
Go, go
Go, go (I said, you're holdin' up traffic, green means go)
Red light, green light

So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh, you got the green light, baby)
So if you want to (Uh, uh-huh, uh-uh, go)
You got the green light (Uh, uh-huh, uh-uh, ooh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)

Ain't no problem, you can go
I will find somebody else
It's alright, I'll move along
You got the green light, so you can
Go
Go, go, ooh

I gave all I could give
My love, my heart
Now we're facing the end
From what you did from the start, my love

Go, go (Uh, uh-huh, uh-uh)
Go, go (Uh, uh-huh, uh-uh)
Go, go (Uh, uh-huh, uh-uh)
Red light, green light

I gave all I could give
My love, my heart
Now, we're facing the end
From what you did from the start
My love

So if you want to
You got the green light
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(Uh, uh-huh, uh-uh)
(I said you're holdin' up traffic, green means go)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light (Uh, uh-huh, uh-uh)
So if you want to (Uh, uh-huh, uh-uh, go)
You got the green light (Uh, uh-huh, uh-uh, go, oh)
So if you want to (Uh, uh-huh, uh-uh, go)
You got the green light (Uh, uh-huh, uh-uh, go, oh)
So if you want to (Uh, uh-huh, uh-uh, want to, want to, go)
You got the green light (Uh, uh-huh, uh-uh, go, go, go, go, go)
So if you want to (Uh, uh-huh, uh-uh)
You got the green light"
Blue Bell,Babes in Toyland,blue bell,babes in toyland,anger,"Flies through the air with the greatest disease
Takes little pills and calls them trapeze
I know you're right, everything you do is right
Everything I do is true

Bluebell me
To Hell, to Hell

Lo and behold, a girl with a goal
Looks so old, she's made out of gold
I know you're right, everything you do is right
Everything I do is true

Bluebell me
To Hell, to Hell

Huh
Right
Uh!

I want to live in the smallest corner (I know, yeah)
In the densest mind in the fuck most room (Real eyes, realize)
Swinging from the stars, swing from their chandelier strings (Oh, real lies)
You know who you are
(I want to live in the smallest corner)
You're dead meat, motherfucker
(In the densest mind in the fuck most room)
You don't try to rape a goddess
(Swinging from the stars, swing from their chandelier strings)

Flies through the air with the greatest disease
Takes little pills and calls them trapeze
I know you're right, everything you do is right
Everything I do is true

Bluebell me
To Hell, to Hell

Huh
Right
Uh!

You are so obvious"
Heart Of Glass,Scala,heart of glass,scala,anger,"“]

Herz aus Glas wie leicht es bricht
Hass und Glück zerstören dich
Wer will schon ein heißes Herz
Liebe ist doch nur ein Schmerz
Herz aus Glas ich werd, ich weiß
Jeden Schwur machst du zu Eis
Es lebt sich leichter wenn er dich nicht mehr sieht
Kaltes Herz das nie mehr liebt

Irgendwann hatte ich noch träumen und ich hielt sie fest
Wie ein Spielzeug das man sich nicht nehmen lässt
Doch darüber bin ich hinaus, ich weiß, mein Herz wird nie mehr heiß

Herz aus Glas wie gut das tut
Nichts tut weh, kaltes Blut
Was er auch fühlt ist mir einerlei
Denn mein Herz bleibt immer frei

Ich gesteh, die erste male taten mir nur schrecklich weh
Ich hab geweint und rief jeden an, jeden Freund
Doch heute Nacht mich kalte liebe erfror

Ja, und aus, ist Schluss, vergessen und vorbei
Uh-uh, woah-oh
Uh-uh, woah-oh
Uh-uh, woah-oh
Uh-uh, woah-oh

Herz aus Glas wie leicht es bricht
Hass und Glück zerstören dich
Wer will schon ein heißes Herz
Liebe ist doch nur ein Schmerz
Irgendwann hatte ich noch träumen und ich hielt sie fest
Wie ein Spielzeug das man sich nicht nehmen lässt
Doch darüber bin ich hinaus, ich weiß, mein Herz wird nie mehr heiß
Ich gesteh, die erste male taten mir nur schrecklich weh
Ich hab geweint und rief jeden an, jeden Freund
Doch heute Nacht mich kalte liebe erfror"
Little Brat,Tila Tequila,little brat,tila tequila,anger,"I can still remember
The last time I saw your face
I kept calling your name
You just ran the other way
What the hell's your problem?
You talk a lot of smack
Spreading little rumors
And talking behind my back

Everybody knows, everybody knows
Everybody knows, everybody knows!

You're just a little brat
You're living off your daddy's money
You talk like you're all that
Little rich girl, go back home
You brag and brag and brag
Take your head out of your ass
Because nobody here cares
About anything you say

Now you're dating my ex
And you think that I am upset
Just remember one thing
I dumped him when he was a mess
Whenever you kiss him
Can't you taste me inside his mouth?
Do yourself a favor
And move on with your life right now

Everybody knows, everybody knows
Everybody knows, everybody knows!

You're just a little brat
You're living off your daddy's money
You talk like you're all that
Little rich girl, go back home
You brag and brag and brag
Take your head out of your ass
Because nobody here cares
About anything you say"
Stanky Legg (Dirty),GS Boyz,stanky legg dirty,gs boyz,anger,"Huh, Southside is who I be!
Say, I got my G-Spot Boyz wit me, ya dig?
Prince Charming and my boy Slizz
We got this new dance for y'all, ya dig? Ya dig? Ya dig? (I holla...)

Bitch, I'm wide! (Hold up) Do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
Bitch, I'm wired up! (Hold up), do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)

Soufside is who I be!
When I hit da dance floor, y'know I'm doin the Stanky Legg (Do it!)
Salsa merengue, den ya rub across ya head ()
You a ace boon coon chick, you can do it too (Yeah)
Snap ya fingers in the urr and shake yo' micros too (Ayy!)
Now you can lean wit it, and you can drop wit it
You can switch da other leg and you can stop wit it
Now get it, get it (Ayy!), now get it, get it (Ayy!)
Now get it, get it (Ayy!), now get it, get it (Ayy!)
Now hit da booty doo (Do it!), hit da booty doo (Do it!)
Now hit da booty doo (Do it!), hit da booty doo (Do it!)
Now you can get wit it (Get wit it), gon' get wit it (Get wit it)
Now you can get wit it (Get wit it), gon' get wit it (Get wit it)

Bitch, I'm wide! (Hold up) Do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
Bitch, I'm wired up! (Hold up), do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)

Ayy, uh
Just watch me do what I do, check me out
All my kinfolks, just watch me do it like my bro (Like my bro)
Stick ya leg out, Doug E. Fresh and drop it low!
(""Prince,I can do the Stanky Legg!"") Den gon' lemme see ya
Bounce-Bounce left to right and then slide next to me! (AYYYYY!!)
Ayy, you betta fan yaself cause I can tell that you're hot (That you're hot)
I want you windin' up, lean back and show yo' socks (Ayy, ayy)
Dip, dip, den I want you to stop
Do-do-do the booty doo, lift it up and let it drop
And don't forget-

Bitch, I'm wide! (Hold up) Do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
Bitch, I'm wired up! (Hold up), do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)

When I slide through the place, my swagga walk is what they diggin' (Diggin'!)
I stick my leg out on the flo' and start jiggin' (jiggin'!)
Wig your legs, wipe yo' shoulders, drop it to your feet (Feet)
Do da Stanky Legg, watch me snap and grab my knee (Knee)
Just hopped out the Coupe, but I don't Chicken Noodle Soup (Chicken Noodle Soup!)
I wanna see you drop and shake that whoop-dee-dee-doo (Drop that)
Whoop-dee-dee-doo- (Shake that) whoop-dee-dee-doo (Drop that)
Whoop-dee-dee-doo - (Shake that) whoop-dee-dee-doo
(Ayy!)

Bitch, I'm wide! (Hold up) Do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
Bitch, I'm wired up! (Hold up), do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)
When I hit da dance flo', (I be) do the Stanky Legg (Ayy!)
Do the Stanky Legg (Ayy!), do the Stanky Legg (Ayy!)"
John Blaze (feat. Missy Elliott),Aaliyah,john blaze feat missy elliott,aaliyah,anger,"Uhh, yo
Uhh.. uhh
Uhh, yo yo
John Blaze, John Blaze
Uhh, uh-huh
Uhh, uhh, mm-hmm, mm-hmm
Yo
John Blaze, ehehehe

Why can't, I explain (I explain) explain (explain)
And you keep, me so amazed (mmm) I'm so amazed/(I'm so amazed)
Why do (yes), I feel this way (uh-huh, uh-huh, uh-huh)
Could it be (uh-huh), you're John Blaze/(John Blaze)
You're John Blaze (uh-huh)

Boy you blowin my mind, boy you blowin (uh-huh) my mind (uh-huh)
You look so fine (You sure was number one to me -- you John Blaze)
In every way, (mm-hmm) ooh yeah
You're John Blaze (say what?) You're John Blaze (yo, yo yo)
Boy you blowin my mind, (yo boy) boy I've lost my mind (uh-huh)
You look so fine (You sure was number one to me -- you John Blaze)
In every way (ehehehe)
You're John Blaze/(John Blaze, uh-huh, yo yo yo)

Why am, I sprung out (uh-huh) I'm sprung out (uh-huh, uh-huh)
Do you know, what I'm talkin bout, no doubt/(no doubt, yo yo yo yo)
Why do (mm-hmm), I feel this way
All I know (uh-huh), is you're John Blaze (you're John Blaze)
You're John Blaze (you're John Blaze)

Boy you blowin my mind (uh-huh), boy you blowin my mind (uh-huh)
You look so fine (You sure was number one to me -- you John Blaze)
In every way, (John Blaze) ooh yeah
You look John Blaze (John Blaze) You're John Blaze
(yo, yiggy yo, yiggy yiggy yo yo yo you're John)
Boy you blowin my mind, (uh-huh) yes you do (say what?)
You look so fine (You sure was number one to me -- you're John Blaze)
In every way (say what?)
You look John Blaze (yo, yo) John Blaze

I don't what it is, it's somethin bout you
Got me in a daze, you amaze, everything, you do John Blaze
You bad to the gizza, izza, kizza
Mizza izza Supa, Dupa, Fly
Nigga say what?
I don't what it is, ehehe, it's somethin bout you
Got me in a daze, you amaze, everything, you do John Blaze
You crazy, yo, you bad to the gizza, izza, kizza
Mizza izza Supa, Dupa, Fly
Nigga ehehehe, yeah

Boy you blowin my mind, boy you blow my mind
You look so fine
In every way, every way
You look John Blaze, you're John Blaze
Boy you blowin my mind
You look so fine, so fine
In every way, ooh yeahahehahh
You look John Blaze, John Blaze"
Big Things (feat. Chris Brown),Ester Dean,big things feat chris brown,ester dean,anger,"I'm lookin' for a thug at the bar who drive a big car
'Cause I'm kinda into big things (Ayy)
Poppin' bottles of Patrón, do it all night long
But a bitch still good with her body (Ayy)
Gotta get some new tracks and they cost a lot of stacks
So we gotta spend it all up on me (What?)
So where the big things at, at-at-at-at?
So where the big things at, at-at-at-at?

I does my shit
And I'ma have 'em runnin' up on this
I put that bank up in the air like this
All the guys say I'm that chick
They wanna hit it, they can't
I ain't never messin' with no lames
Right now, I'ma pop that thing
Let 'em know my name 'cause I'm in this thang

I'm lookin' for a thug at the bar who drive a big car
'Cause I'm kinda into big things (Ayy)
Poppin' bottles of Patrón, do it all night long
But a bitch still good with her body (Ayy)
Gotta get some new tracks and they cost a lot of stacks
So we gotta spend it all up on me (What?)
So where the big things at, at-at-at-at?
So where the big things at, at-at-at-at?

You see me
In the VIP poppin' bottles
But do you really know me?
It don't matter 'cause I'm throwin' them dollars
At the end of the night, I be so turned up
You already know what's in my cup
Hands in the air like I don't give a fuck
I be the life of the party
And your man gon' buy me nice things
He even let me keep the keys to the Range
Haha-haha-haha-haha
Haha-haha-haha-haha
'Cause he know I'ma FIU it
Gon' fuck it up, girl, watch me do it
Haha-haha-haha-haha
Haha-haha-haha-haha

I'm lookin' for a thug at the bar who drive a big car (Ayy)
'Cause I'm kinda into big things (Ayy)
Poppin' bottles of Patrón, do it all night long (Ayy)
But a bitch still good with her body (Ayy)
Gotta get some new tracks and they cost a lot of stacks (Ayy)
So we gotta spend it all up on me (What?)
So where the big things at, at-at-at-at?
So where the big things at, at-at-at-at?

Yeah, big wheels so you know I'm 'bout to ride around
My kicks ill with my motherfuckin' collar down
Burberry, rockin' Louis and that Prada now
I'm on that new shit, your shit is outta style
I start my car, I don't even need a key for it
And when you drink, lil' mama, gon' and deep throat it
Just free throw it, now that's a free shot
Dr. Dre 'cause I'm givin' her the detox
Your girl on me 'cause my money long
A beast in the sheets, call me King Kong
Hands in the air, somethin' like a sing-along
Simon says everybody wanna sing my song

I'm lookin' for a thug at the bar who drive a big car (Ayy)
'Cause I'm kinda into big things (Ayy)
Poppin' bottles of Patrón, do it all night long (Ayy)
But a bitch still good with her body (Ayy)
Gotta get some new tracks and they cost a lot of stacks (Ayy)
So we gotta spend it all up on me (What?)
So where the big things at, at-at-at-at?
So where the big things at, at-at-at-at?"
Born To Be Wild (American Idol Performance),Adam Lambert,born to be wild american idol performance,adam lambert,anger,"Get your motor runnin'
Head out on the highway
Looking for adventure
In whatever comes our way
Yea darlin', gonna make it happen
Take the world in a love embrace
Fire all of your guns at once
And explode into space
I like smoke and lightnin'
Heavy metal thunder
Racing with the wind
And the feeling that I'm under
Yeah darlin', Gonna make it happen
Take the world in a love embrace
Fire all of your guns at once
And explode into space
Like a true nature child
We were born, born to be wild
We can climb so high
I never wanna die
Born to be wild
Born to be wild
Get your motor runnin'
Head out on the highway
Looking for adventure
In whatever comes our way
Yeah darlin', gonna make it happen
Take the world in a love embrace
Fire all of your guns at once
And explode into space
Like a true nature child
We were born, born to be wild
We can climb so high
I never wanna die
Born to be wild
Born to be wild
Born to be wild
Born to be wild
Born to be wild"
Si es pa ti,Naty Botero,si es pa ti,naty botero,anger,"Que me duela el amor
Duele el amor
Vale la pena toma mi amor
Toma las riendas de mi corazon
Vale la pena toma mi amor
Toma las riendas de mi corazon
Vale la pena chupa mi amor
Chupa las venas de mi corazon
Enamora enamora que duele
Ella baila ella suena que duele
Ella va y le pregunta a las estrellas
Donde esta mi amor?
Se la lleva prisionera en su velero
Mar abierto pirata sirena
Mira para el cielo y dice
Encontre el amor!
Noche tras noche
La paso buscando señales,caminos,amando
Mira que rico te quiero
Encontre tu amor lindo!"
torn,Ferri,torn,ferri,anger,"I listen to my radio
I'm waiting for that song to play
I wonder what you're gonna do
Am I gonna hear that song today?
’Cause I'm counting every second
Till I can sing along
But the line is always busy
And you're not playing the song
Can't you see I'm waiting here for you?

’Cause I need to hear it
Though I don't know why
To lift up my spirits
And bring a tear right to my eye

I turn it up
When I hear that song
I turn it up
And I sing along
Got to hear that song again, DJ
I turn it up
When I hear that song
I turn it up
And I sing along
Got to hear my favorite song again today

You do what you want to do
You say what you want to say
The choice is always up to you
To play what you want to play
So come on, Mr. DJ, and play us a song
The one that makes us smile and makes us sing along
Can't you see I'm calling out to you


Is there nothing I can do
I've been waiting here so long
The choice is up to you
Won't you give that song a play
’Cause I got to hear it
And I need to hear it
Yeah, I need to hear it again


I turn it up
I need to hear that song
I turn it up
I need to hear that song
I turn it up
I need to hear that song again today
Oh, yeah
I turn it up"
eternal return,Ferri,eternal return,ferri,anger,"Periferia produz uma fruta estranha
Seu aroma deixa de estar nos nossos dias
Rosas, minas, monas, mulheres, companheiras enterradas
Nos Jardins das almas esquecidas
A estranha colheita do feminicídio como se fossem ervas daninhas
Asfixia ao trans, travesti a dor é legítima, quantas plantas mortas por essas fitas?
Visão de revolução é contra a elite racista
Rap de direita merece tiro e facada em fascista
Menos doação pra criança pobre do que animais
Os deveres são plenos, os direitos não iguais
Tomaram suas mentes com Wi-Fi's
Orgulho do gueto lágrimas secas, enquanto chove a mil por hora
Onde ninguém se move, o rico ostenta seu lixo de 5 toneladas
Tomamos em goles de dor a cerveja na quebrada
Compramos ilusão em pit stops pensando em praias
A vida se tornou um eterno retorno ao grande nada
De tudo o que me incomoda, privilégios de todos os lados
Cobrança dá 100% de gás por nada
E se 10 vezes se batizar não muda
Igreja não lapida conduta
A cada escola que faço palestra, é um palco que deixo de ir
É um menino a menos ególatra que deixa de ruir
Riram quando eu disse que o livro pode salvar
Agora reclama nos bares que saí do lugar
Estou preso no copo de alguém, engoli os choros
Comi as lágrimas, não digo amém
Eu e a morte não nos damos bem
Ela me roubava amigos, te amo também
Escrevi essa fita porque assinei o artigo A286
Com o mundo nos ombros sem brincadeira
E o suor escorrendo de tanto carregar
Uma pá de gente que não consegui resgatar
Produtivo, doente, obeso, inconsequente
Maloqueiro, escritor envolvido com os bagulho
De vez em quando alguém me tira da caixa, tira o pó
E me põe no show com outros entulhos
Em outros estados todos se misturam
Em São Paulo é isso mesmo meu querido:
Treta de rua, bairrismo, bombetas e símbolos de fênix
Seu namastê não faz efeito
Somos problema e matamos a solução
Somos o caos porque a ordem nunca foi ostentação
Ferréz e A286 rap de verdade, literatura marginal na fé
Pra fazer comedor de Nutella voltar de marcha ré"
Hole in the Head (Full Intention Mix),Sugababes,hole in the head full intention mix,sugababes,anger,"Seven hours since you went away
Eleven coffees, Ricki Lake on play
But late at night when I'm feeling blue
I'd sell my ass before I think of you
Seven hours since you closed the door
Started a diet, got a manicure
Erased your number from my telephone
And if you call me, I won't be at home

They say
Why you cry-y-y
For the guy-y-y?
Say goodbye
Run away
Why you cry-y-y
For the guy-y-y?
Say goodbye
I said OK, cause

Ooh, boy d'you miss me like a hole in the head?
Because I do boy
And it's cool boy
And ooh, bet you never thought I'd get out of bed
Because of you boy
Such a fool boy

Eleven hours on a brand-new day
I'm getting ready to go out and play
It's late at night, I'm caught in a groove
I'll kiss my ass before I'm feeling blue
Seven hours, what you calling for?
A bunch of flowers and I'll slam the door
You're in my face, sorry what's your name?
Takes more than begging to reverse my brain
'Cause

Ooh, boy d'you miss me like a hole in the head
Because I do boy
And it's cool boy
And ooh, bet you never thought I'd get out of bed
Because of you boy
Such a fool boy

I'm through with it, over it
Not having it, crazy shit
Not feeling this
Can't deal, I quit
No more, no more
I'm through with it
Not having it, this crazy shit
Not feeling it
Can't deal with it
No more, I quit
No more, no more

Breaking off the bun
A brand-new day has just begun
Just because you made me go ""ooh""
Doesn't mean I'll put up with you
Don't you dare turn back
Can't you see I won't take that?
I ain't crying over you
Better fill your head up like I told you

Why you cry-y-y
For the guy-y-y?
Say goodbye
Run away
Why you cry-y-y
For the guy-y-y?
Say goodbye
I said OK, cause

Ooh, boy d'you miss me like a hole in the head
Because I do boy
And it's cool boy
And ooh, bet you never thought I'd get out of bed
Because of you boy
Such a fool boy (such a fool)
Ooh, boy you miss me like a hole in the head (hole in the head)
Because I do boy (I do)
And it's cool boy (yeah it's cool)
And ooh, bet you never thought I'd get out of bed
Because of you boy, (get out bed, I do boy)
Such a fool boy (such a fool)

Run away
I said OK, cause...
Run away"
MRSHMLO,Rocky Rivera,mrshmlo,rocky rivera,anger,"Never get tired of beastin’ ‘em on the mic, man
Been looking forward to the day where I could shine and
Show the world I’m ready to lead the masses
They follow the latest trends, I’m cashin’ in on the action
It ain’t a thang, I’m doing it in my sleep
They thinkin’ it’s hella easy, but can’t nobody be me
No matter how much they try to study up on my moves
I’m doin’ it for the future, they doin’ it just to schmooze
See ‘em at all the hot spots looking for a way in
Playing my position only bosses have the patience
Got the Luca Brasi rolling with the illest posse
6Fingers hit ‘em hard on the beat, I kill ‘em softly
Fuck a co-sign, I put myself on
Ten consecutive editorials up in Rolling Stone
Did what you could never do, been where you ain’t never been
Out with the old, now let a real fire-spitter in

EyeASage ain’t never been a MRSHMLO
EyeASage never gonna be a MRSHMLO
EyeASage ain’t never been a MRSHMLO
Never been a, never gonna be a MRSHMLO
(Repeat)

(Yeah) I’m a five-footer, (yeah) I’m a looker
Good enough to eat, but I’ve never been a sucker
(Yeah) I got my hair did, (yeah) I got a manicure
But I ain’t impressed with that industry repertoire
(Yeah) I got an entourage flyer than your girlfriend
(No) We ain’t in love with your boys or your wingmen
(Yeah) I rock the stage and I kick it with the best of ‘em
You can keep ya soft ass beats for the rest of ‘em
(Yeah) I got a team don’t need a Y chromosome
So I got ya ex-girl bump me on her iPhone
(No) I ain’t a dummy but I do like to Go Dumb
And I rep the whole Yay Area where I come from
(Yeah) I got the 40 Water speaking on my qualities
But I never got the sample cleared if you’re asking me
I got the sticky icky and I roll that good doj
Call me EyeASage, 40 tell ‘em what I ain’t though


Love it when the beat drops, 6 is a monsta
Put me on a cereal box and make the kids want it
I got the sugar cane, they got that saccharine
Most of these suckas is too sweet to be battlin’
They be embellishin’, relishin’ on that good life
Falling back on they content, worryin’ bout they punchlines
I be kickin’ the feet up and tell ‘em “ease up”
Givin’ ‘em what they want just enough to get ‘em a taste of
Rather be underestimated, than oversaturated
These other rappers gettin’ wacker the more they music played
I’m gettin’ fresher by the second, I ain’t done yet
I’m comin’ hard and I’m barely gettin’ my feet wet
This is a lesson to the critics in they armchairs
Wondering if what they hear is how I’m out there
Love it or leave it, I’m just gettin’ it in
And you can worry ‘bout it then so let the talkin’ begin"
Vamos Arriba,Naty Botero,vamos arriba,naty botero,anger,"Todo el mundo se pregunta
Que será lo que va a pasar
Las mujeres vienen marchando
Rompiendo esquemas pidiendo mas

Vamos arriba, gozando la vida
Gritemos unidas, ya ya ya ya
Vamos arriba, con fuerza, energía
Somos la vida, mujeres arriba

Todas juntas hoy sabemos
Que ésta es la oportunidad
De pararnos y afirmarnos
Dónde el más fuerte será el que más da

Vamos arriba, gozando la vida
Gritemos unidas, ya ya ya ya
Vamos arriba, con fuerza, energía
Somos la vida, mujeres arriba

Tanto tiempo hemos esperado las cadenas rompеr
Y ahora que las rompimos somos el poder

Todo еl mundo se pregunta ¿Qué es lo que va a pasar?
Las mujeres quieren poco a poco dominar
Se está poniendo caliente empieza uno a anticipar
Pase lo que pase te tienes que dejar llevar

Somos valientes, las madre coraje, la vida, instinto
Somos el poder
Somos el
Somos el poder

Vamos arriba, gozando la vida
Gritemos unidas, ya ya ya ya
Vamos arriba, con fuerza, energía
Somos la vida, Somos el poder

Vamos arriba, gozando la vida
Gritemos unidas, el único poder
Vamos arriba, con fuerza, energía
Somos la vida, mujeres arriba"
