track,artist,track_clean,artist_clean,final_emotion,reason
Untitled (from split with Wolverine Carcass),"Fuck, The Retarded Girl",untitled from split with wolverine carcass,fuck the retarded girl,anger,LYRICS_NOT_FOUND
Circles (Classic Club Mix),Saffron,circles classic club mix,saffron,anger,LYRICS_NOT_FOUND
My Love Is For Real (E-Smoove Fever Mix),Paula Abdul,my love is for real esmoove fever mix,paula abdul,anger,LYRICS_NOT_FOUND
Glammer Girl (Ya Ya),The Look,glammer girl ya ya,the look,anger,LYRICS_NOT_FOUND
Catch Me (David's Instrumental),Betty Boo,catch me davids instrumental,betty boo,anger,LYRICS_NOT_FOUND
Thing Goin' On (MK Underground Dub),Betty Boo,thing goin on mk underground dub,betty boo,anger,LYRICS_NOT_FOUND
One Love (Shades Of Rhythm Mix),Saffron,one love shades of rhythm mix,saffron,anger,LYRICS_NOT_FOUND
"1ère suite ""Airs pour les driades et les bergers"" : III. Air pour les faunes et les driades",Marin Marais,ère suite airs pour les driades et les bergers iii air pour les faunes et les driades,marin marais,anger,LYRICS_NOT_FOUND
Two Against One,Acid Farm,two against one,acid farm,anger,LYRICS_NOT_FOUND
Don't Scandalize My Name (Hurley's Deep Remix),Kym Mazelle,dont scandalize my name hurleys deep remix,kym mazelle,anger,LYRICS_NOT_FOUND
These Are My People (Vocal),Members of the House,these are my people vocal,members of the house,anger,LYRICS_NOT_FOUND
Sunshine & Love (Far Island Mix),Happy Mondays,sunshine love far island mix,happy mondays,anger,LYRICS_NOT_FOUND
Warning! (Tony Humphries Zanzibar Mix),Adeva,warning tony humphries zanzibar mix,adeva,anger,LYRICS_NOT_FOUND
Blue Mambo,Sun City Girls,blue mambo,sun city girls,anger,LYRICS_NOT_FOUND
I Got My Education (Bootleggers Response),Uncanny Alliance,i got my education bootleggers response,uncanny alliance,anger,LYRICS_NOT_FOUND
The Best Things In Life Are Free (CJ's U.K. 12'' Mix),Luther Vandross & Janet Jackson,the best things in life are free cjs uk 12 mix,luther vandross janet jackson,anger,LYRICS_NOT_FOUND
Somebody (dance mix),Close II You,somebody dance mix,close ii you,anger,LYRICS_NOT_FOUND
Such Fools As We,Totalwar,such fools as we,totalwar,anger,LYRICS_NOT_FOUND
Happy Bizness,Roach Motel,happy bizness,roach motel,anger,LYRICS_NOT_FOUND
Verdi: Macbeth - Act 2: Shi Oso Mandarvi A Noi?,"Piero Cappuccilli, Shirley Verrett, Etc.; Claudio Abbado: Orchestra & Chorus Of La Scala Milan",verdi macbeth act 2 shi oso mandarvi a noi,piero cappuccilli shirley verrett etc claudio abbado orchestra chorus of la scala milan,anger,LYRICS_NOT_FOUND
Girls (Who Run The World),Beyoncé,girls who run the world,beyoncé,anger,LYRICS_NOT_FOUND
Kiss My Piano (7th Kiss Remix),Emily Heyl,kiss my piano 7th kiss remix,emily heyl,anger,LYRICS_NOT_FOUND
World Party (Planet Rap Mix),2 For Joy,world party planet rap mix,for joy,anger,LYRICS_NOT_FOUND
My piano,Noell Abedul,my piano,noell abedul,anger,LYRICS_NOT_FOUND
As I Am (Sound Factory Mix),Sound of One,as i am sound factory mix,sound of one,anger,LYRICS_NOT_FOUND
We Gotta Love (Band Of Gypsies Mix),Kym Sims,we gotta love band of gypsies mix,kym sims,anger,LYRICS_NOT_FOUND
Just Like A Queen (Vogue Like A Queen Mix),Ellis D,just like a queen vogue like a queen mix,ellis d,anger,LYRICS_NOT_FOUND
Just A Little Bit Of Love (k klassik klub mix),Rebekah Ryan,just a little bit of love k klassik klub mix,rebekah ryan,anger,LYRICS_NOT_FOUND
(I'm Under) Love Strain (Kupper's Timeless Treatment),Clubland,im under love strain kuppers timeless treatment,clubland,anger,LYRICS_NOT_FOUND
Throw You Down (Down For The Count Dub),Thelma Houston,throw you down down for the count dub,thelma houston,anger,LYRICS_NOT_FOUND
Goodbye To Love (MK Mix),Pandella,goodbye to love mk mix,pandella,anger,LYRICS_NOT_FOUND
Deeper Love (Hard Club Mix),Ultra Naté,deeper love hard club mix,ultra naté,anger,LYRICS_NOT_FOUND
Workout (Workin' Dub),Frankie Knuckles featuring Roberta Gilliam,workout workin dub,frankie knuckles featuring roberta gilliam,anger,LYRICS_NOT_FOUND
Pretty Mess (Dave Aude Club Mix) [John Cruz Video Edit],Erika Jayne,pretty mess dave aude club mix john cruz video edit,erika jayne,anger,LYRICS_NOT_FOUND
6 To 8 Marches,Highland Pipes & Drums,to 8 marches,highland pipes drums,anger,LYRICS_NOT_FOUND
"I Wanna Sing (Poppo And Kupper's 12"" Mix)",Sabrina Johnston,i wanna sing poppo and kuppers 12 mix,sabrina johnston,anger,LYRICS_NOT_FOUND
What in the Hell Were You Two Doing in my Camper,Tom Anderson,what in the hell were you two doing in my camper,tom anderson,anger,LYRICS_NOT_FOUND
This Is It (Murk Boys Miami Heat Mix),Dannii Minogue,this is it murk boys miami heat mix,dannii minogue,anger,LYRICS_NOT_FOUND
Give You Myself (Massimino 1993 Club Mix),SIMA,give you myself massimino 1993 club mix,sima,anger,LYRICS_NOT_FOUND
Shake Your Body  Bad Tour Yokohama 1987,Michael Jackson,shake your body bad tour yokohama 1987,michael jackson,anger,LYRICS_NOT_FOUND
Hateful Head Helen (Helen's in the House Mix),Hateful Head Helen,hateful head helen helens in the house mix,hateful head helen,anger,LYRICS_NOT_FOUND
The Rachel Tune (The Delightful Box Mix),2 For Joy,the rachel tune the delightful box mix,for joy,anger,LYRICS_NOT_FOUND
Strut it!,Leona Philippo,strut it,leona philippo,anger,LYRICS_NOT_FOUND
Beautiful Stranger (Gogh's Old Skool Classic Dub),Madonna,beautiful stranger goghs old skool classic dub,madonna,anger,LYRICS_NOT_FOUND
Қайтар Жүрегімді,KeshYou,қаитар жүрегімді,keshyou,anger,LYRICS_NOT_FOUND
DJ Bertrand's set N° 77 : A quiet reprise,DJ Bertrand,dj bertrands set n 77 a quiet reprise,dj bertrand,anger,LYRICS_NOT_FOUND
Descongélate (Durante 5'55 a 75º),Alaska y Dinarama,descongélate durante 555 a 75º,alaska y dinarama,anger,LYRICS_NOT_FOUND
A Shade Shady (Now Prance) (DJ Pierre Club Mx),RuPaul,a shade shady now prance dj pierre club mx,rupaul,anger,LYRICS_NOT_FOUND
Melody & Harmony (Chapter 3),Stories In Dubh feat. Jackie B,melody harmony chapter 3,stories in dubh feat jackie b,anger,LYRICS_NOT_FOUND
"Sound Factory, March 15, 1992 [1/2]",Junior Vasquez,sound factory march 15 1992 12,junior vasquez,anger,LYRICS_NOT_FOUND
"Living For Your Love (Marshall Jefferson 12"" Mix)",Big Fun,living for your love marshall jefferson 12 mix,big fun,anger,LYRICS_NOT_FOUND
Dirty Picture (feat. Ke$Ha) [Dave Audé Club Mix],Taio Cruz,dirty picture feat keha dave audé club mix,taio cruz,anger,LYRICS_NOT_FOUND
Friday Fierce 12-31-2010,Brian Ashby,friday fierce 12312010,brian ashby,anger,LYRICS_NOT_FOUND
Peace...Inside My Heart,Dirty Trick,peaceinside my heart,dirty trick,anger,LYRICS_NOT_FOUND
Friday Fierce 04-01-2011,Brian Ashby,friday fierce 04012011,brian ashby,anger,LYRICS_NOT_FOUND
mother mourns the death of child and country,Carahanni,mother mourns the death of child and country,carahanni,anger,LYRICS_NOT_FOUND
Love on top of Love - Killer Kiss (The Cole & Clivilles Garage House Mix),Grace Jones,love on top of love killer kiss the cole clivilles garage house mix,grace jones,anger,LYRICS_NOT_FOUND
Friday Fierce 03-11-2011,Brian Ashby,friday fierce 03112011,brian ashby,anger,LYRICS_NOT_FOUND
So Fierce,FIERCE (Serie),so fierce,fierce serie,anger,LYRICS_NOT_FOUND
Det Eneste Jeg Har Brug For,Karen Rosenberg,det eneste jeg har brug for,karen rosenberg,anger,LYRICS_NOT_FOUND
Could a Wah,Chicken,could a wah,chicken,anger,LYRICS_NOT_FOUND
DJ Bertrand's set N° 61 : The Black Day Megamix,DJ Bertrand,dj bertrands set n 61 the black day megamix,dj bertrand,anger,LYRICS_NOT_FOUND
Black Widow (Rennie Pilgrem Mix),Überzone & Rennie Pilgrem,black widow rennie pilgrem mix,überzone rennie pilgrem,anger,LYRICS_NOT_FOUND
Fire (Soulweekender Remix),Victor Davies,fire soulweekender remix,victor davies,anger,LYRICS_NOT_FOUND
I Got What You Want (Thump'n Dub),Kenya Travitt,i got what you want thumpn dub,kenya travitt,anger,LYRICS_NOT_FOUND
DJ Bertrand's set N° 64 : From funky soul to hardcore house,DJ Bertrand,dj bertrands set n 64 from funky soul to hardcore house,dj bertrand,anger,LYRICS_NOT_FOUND
Drop a House (Tribal Mix),Urban Discharge Feat. She,drop a house tribal mix,urban discharge feat she,anger,LYRICS_NOT_FOUND
It's HAIRY SACK!!,Beavis,its hairy sack,beavis,anger,LYRICS_NOT_FOUND
Nothing,Santiago And Bushido,nothing,santiago and bushido,anger,LYRICS_NOT_FOUND
Freedom (Frankie Knuckles ''The Shit'' Mix),Robert Miles Featuring Kathy Sledge,freedom frankie knuckles the shit mix,robert miles featuring kathy sledge,anger,LYRICS_NOT_FOUND
07 - lose my breath,Destiny's Child,lose my breath,destinys child,anger,LYRICS_NOT_FOUND
I Want To Thank You (Bad Yard Club Mix),Robin S.,i want to thank you bad yard club mix,robin s,anger,LYRICS_NOT_FOUND
I Want To Thank You (Radio Edit),Robin S,i want to thank you radio edit,robin s,anger,LYRICS_NOT_FOUND
Get Money,Cassidy Ft. Larsiny,get money,cassidy ft larsiny,anger,LYRICS_NOT_FOUND
Big че,Svetlana Loboda,big че,svetlana loboda,anger,LYRICS_NOT_FOUND
Chickenfight,Kid606,chickenfight,kid606,anger,LYRICS_NOT_FOUND
Symphony No. 7: III. Scherzo - Sehr Schnell,Bernard Haitink & Chicago Symphony Orchestra,symphony no 7 iii scherzo sehr schnell,bernard haitink chicago symphony orchestra,anger,LYRICS_NOT_FOUND
Coming Down (DJ Acucrack Batgr,Acumen Nation,coming down dj acucrack batgr,acumen nation,anger,LYRICS_NOT_FOUND
Swords,Zola Jesus,swords,zola jesus,anger,LYRICS_NOT_FOUND
Deep Talks,Chelsea Wolfe,deep talks,chelsea wolfe,anger,LYRICS_NOT_FOUND
Odessa,Zola Jesus,odessa,zola jesus,anger,LYRICS_NOT_FOUND
Turmoil,Combichrist,turmoil,combichrist,anger,LYRICS_NOT_FOUND
Keman Rhythm,Two Fingers,keman rhythm,two fingers,anger,LYRICS_NOT_FOUND
I Remember A Time When Once You Used To Love Me,Dirty Three,i remember a time when once you used to love me,dirty three,anger,LYRICS_NOT_FOUND
I Offered It Up To The Stars & The Night Sky,Dirty Three,i offered it up to the stars the night sky,dirty three,anger,LYRICS_NOT_FOUND
73 Yips,Aphex Twin,yips,aphex twin,anger,LYRICS_NOT_FOUND
Dawn of Man,Combichrist,dawn of man,combichrist,anger,LYRICS_NOT_FOUND
Vuosi 2008,Turmion Kätilöt,vuosi 2008,turmion kätilöt,anger,LYRICS_NOT_FOUND
My Station Rock,Merzbow,my station rock,merzbow,anger,LYRICS_NOT_FOUND
One Night Stand,Alien Vampires,one night stand,alien vampires,anger,LYRICS_NOT_FOUND
Blood Bath,Alien Vampires,blood bath,alien vampires,anger,LYRICS_NOT_FOUND
Welcome to Drexciya,Drexciya,welcome to drexciya,drexciya,anger,LYRICS_NOT_FOUND
Mum-Man,LFO,mumman,lfo,anger,LYRICS_NOT_FOUND
"Mummy, I've Had an Accident...",LFO,mummy ive had an accident,lfo,anger,LYRICS_NOT_FOUND
Radio Waves II,Van She,radio waves ii,van she,anger,LYRICS_NOT_FOUND
Freakmachine,Tied & Tickled Trio,freakmachine,tied tickled trio,anger,LYRICS_NOT_FOUND
The Convent Burns,Alien Vampires,the convent burns,alien vampires,anger,LYRICS_NOT_FOUND
Corroding Conscience (Feindflug remix),Grendel,corroding conscience feindflug remix,grendel,anger,LYRICS_NOT_FOUND
Sperrfeuer,Feindflug,sperrfeuer,feindflug,anger,LYRICS_NOT_FOUND
4-22-05,Fantômas,2205,fantômas,anger,LYRICS_NOT_FOUND
Ritual,Hexperos,ritual,hexperos,anger,LYRICS_NOT_FOUND
Closer,Collapse Under the Empire,closer,collapse under the empire,anger,LYRICS_NOT_FOUND
Blue Orb,カヒミ・カリィ,blue orb,カヒミカリィ,anger,LYRICS_NOT_FOUND
The Gaels,Artesia,the gaels,artesia,anger,LYRICS_NOT_FOUND
The World You Live In...,Tamtrum,the world you live in,tamtrum,anger,LYRICS_NOT_FOUND
Pink,Boris with Merzbow,pink,boris with merzbow,anger,LYRICS_NOT_FOUND
Descent,Soman,descent,soman,anger,LYRICS_NOT_FOUND
Looping Jane (Beat mix),Merzbow,looping jane beat mix,merzbow,anger,LYRICS_NOT_FOUND
"Prelude in C-Sharp Minor, Op. 3, No. 2",Sergei Rachmaninoff,prelude in csharp minor op 3 no 2,sergei rachmaninoff,anger,LYRICS_NOT_FOUND
Sun Baked Snow Cave,Boris with Merzbow,sun baked snow cave,boris with merzbow,anger,LYRICS_NOT_FOUND
Destroy Me (Redestruction by Kiew),Unter Null,destroy me redestruction by kiew,unter null,anger,LYRICS_NOT_FOUND
Skullfucker,Terrorfakt,skullfucker,terrorfakt,anger,LYRICS_NOT_FOUND
Complication,Aslan Faction,complication,aslan faction,anger,LYRICS_NOT_FOUND
Peter B. Beautiful,Doormouse,peter b beautiful,doormouse,anger,LYRICS_NOT_FOUND
Candyman,カヒミ・カリィ,candyman,カヒミカリィ,anger,LYRICS_NOT_FOUND
God Hates to Ball,Doormouse,god hates to ball,doormouse,anger,LYRICS_NOT_FOUND
Industrializer,Alien Vampires,industrializer,alien vampires,anger,LYRICS_NOT_FOUND
Final Fantasy 7 Opressed Swamp Dub OC ReMix,Isopropyl,final fantasy 7 opressed swamp dub oc remix,isopropyl,anger,LYRICS_NOT_FOUND
Erotikon,Deutsch Nepal,erotikon,deutsch nepal,anger,LYRICS_NOT_FOUND
Heta rae,Sui Generis Umbra,heta rae,sui generis umbra,anger,LYRICS_NOT_FOUND
Seishi Seppuku Kei,Merzbow,seishi seppuku kei,merzbow,anger,LYRICS_NOT_FOUND
Artificial Intelligence,Alien Produkt,artificial intelligence,alien produkt,anger,LYRICS_NOT_FOUND
Alva Myrdal,Covenant,alva myrdal,covenant,anger,LYRICS_NOT_FOUND
N.A.S.A. (TBase Mix by XP8),T3CHN0PH0B1A,nasa tbase mix by xp8,t3chn0ph0b1a,anger,LYRICS_NOT_FOUND
Emission,Merzbow,emission,merzbow,anger,LYRICS_NOT_FOUND
Animal,Terrorfakt,animal,terrorfakt,anger,LYRICS_NOT_FOUND
Rähinä I / Mayhem I,Pan Sonic,rähinä i mayhem i,pan sonic,anger,LYRICS_NOT_FOUND
Stepping Off,Jason Forrest,stepping off,jason forrest,anger,LYRICS_NOT_FOUND
To Composer John Cage,Anthony Braxton,to composer john cage,anthony braxton,anger,LYRICS_NOT_FOUND
Hijos de Cain,Reaxion Guerrilla,hijos de cain,reaxion guerrilla,anger,LYRICS_NOT_FOUND
Exasperating (Die In Progress Remix),The Leech,exasperating die in progress remix,the leech,anger,LYRICS_NOT_FOUND
Burn,Lahannya,burn,lahannya,anger,LYRICS_NOT_FOUND
alcohol,カヒミ・カリィ,alcohol,カヒミカリィ,anger,LYRICS_NOT_FOUND
軌跡,志方あきこ,軌跡,志方あきこ,anger,LYRICS_NOT_FOUND
片恋,志方あきこ,片恋,志方あきこ,anger,LYRICS_NOT_FOUND
MKSearch,Sam,mksearch,sam,anger,LYRICS_NOT_FOUND
Subterfugue for 3 Absynths,Covenant,subterfugue for 3 absynths,covenant,anger,LYRICS_NOT_FOUND
Bound In Hate,Life Cried,bound in hate,life cried,anger,LYRICS_NOT_FOUND
In this place,The Leech,in this place,the leech,anger,LYRICS_NOT_FOUND
MARS ATTACKS!,Coaltar of the Deepers,mars attacks,coaltar of the deepers,anger,LYRICS_NOT_FOUND
The Flesh is Weak,The Leech,the flesh is weak,the leech,anger,LYRICS_NOT_FOUND
Kpaligoth,Ruins,kpaligoth,ruins,anger,LYRICS_NOT_FOUND
flexen,Microstoria,flexen,microstoria,anger,LYRICS_NOT_FOUND
Das Mandat,Schwarzblut,das mandat,schwarzblut,anger,LYRICS_NOT_FOUND
Field of the Dead,Detroit Diesel,field of the dead,detroit diesel,anger,LYRICS_NOT_FOUND
Mutter Bitte,Die Braut,mutter bitte,die braut,anger,LYRICS_NOT_FOUND
アオイロ缶詰,志方あきこ,アオイロ缶詰,志方あきこ,anger,LYRICS_NOT_FOUND
久遠の海,志方あきこ,久遠の海,志方あきこ,anger,LYRICS_NOT_FOUND
Alaska,Monolake,alaska,monolake,anger,LYRICS_NOT_FOUND
New Wave Dust,John Wiese,new wave dust,john wiese,anger,LYRICS_NOT_FOUND
King of the Delta Blues,Steven Wilson,king of the delta blues,steven wilson,anger,LYRICS_NOT_FOUND
Unicorn MF (Black Sun Empire Remix),Eye-D,unicorn mf black sun empire remix,eyed,anger,LYRICS_NOT_FOUND
トーキョーシティ・アンダーグラウンド,パスピエ,トーキョーシティアンダーグラウンド,パスピエ,anger,LYRICS_NOT_FOUND
Fams,Twilight Circus Dub Sound System,fams,twilight circus dub sound system,anger,LYRICS_NOT_FOUND
Worth It (Arveene & Misk Remix),Zombie Nation,worth it arveene misk remix,zombie nation,anger,LYRICS_NOT_FOUND
Wahhabi Money Flows,Vatican Shadow,wahhabi money flows,vatican shadow,anger,LYRICS_NOT_FOUND
追想花,志方あきこ,追想花,志方あきこ,anger,LYRICS_NOT_FOUND
Don't Feed The Robots (radio edit),Implant,dont feed the robots radio edit,implant,anger,LYRICS_NOT_FOUND
Lähetys / Transmission,Pan Sonic,lähetys transmission,pan sonic,anger,LYRICS_NOT_FOUND
100% Pure Cocaine,Extize, pure cocaine,extize,anger,LYRICS_NOT_FOUND
You die,Haus Arafna,you die,haus arafna,anger,LYRICS_NOT_FOUND
To My Friend Kenny McKenny,Anthony Braxton,to my friend kenny mckenny,anthony braxton,anger,LYRICS_NOT_FOUND
Maururu Roa,ルルティア,maururu roa,ルルティア,anger,LYRICS_NOT_FOUND
Dumelang,Synkro,dumelang,synkro,anger,LYRICS_NOT_FOUND
Beautiful Thunderbolt (Moon Gazing in Your Skull),Jefre Cantu-Ledesma,beautiful thunderbolt moon gazing in your skull,jefre cantuledesma,anger,LYRICS_NOT_FOUND
hallelujah,ルルティア,hallelujah,ルルティア,anger,LYRICS_NOT_FOUND
An Accident Of History,Salome,an accident of history,salome,anger,LYRICS_NOT_FOUND
Fuck Me Jesus,RoughSketch,fuck me jesus,roughsketch,anger,LYRICS_NOT_FOUND
"Sex, Drogen und Industri (remixed by Soman)",Combichrist,sex drogen und industri remixed by soman,combichrist,anger,LYRICS_NOT_FOUND
Dead By Dawn,Coaltar of the Deepers,dead by dawn,coaltar of the deepers,anger,LYRICS_NOT_FOUND
3.3.11,Rainbowdragoneyes,311,rainbowdragoneyes,anger,LYRICS_NOT_FOUND
Still Lives,XP8,still lives,xp8,anger,LYRICS_NOT_FOUND
Ultra Cocker,Hanatarash,ultra cocker,hanatarash,anger,LYRICS_NOT_FOUND
The Freakshow,Project Rotten,the freakshow,project rotten,anger,LYRICS_NOT_FOUND
perversion,Obszön Geschöpf,perversion,obszön geschöpf,anger,LYRICS_NOT_FOUND
Beat Around The Bushes,Komor Kommando,beat around the bushes,komor kommando,anger,LYRICS_NOT_FOUND
A Graveyard Of Elephants,Opir,a graveyard of elephants,opir,anger,LYRICS_NOT_FOUND
Stadium Des Zerfalls,Tyske Ludder,stadium des zerfalls,tyske ludder,anger,LYRICS_NOT_FOUND
Hammers Out of the Unutterable Palace,The Synthetic Dream Foundation,hammers out of the unutterable palace,the synthetic dream foundation,anger,LYRICS_NOT_FOUND
Stahl City,Die In Progress,stahl city,die in progress,anger,LYRICS_NOT_FOUND
Stargazer,Pascal FEOS,stargazer,pascal feos,anger,LYRICS_NOT_FOUND
Dogday,Genocide Organ,dogday,genocide organ,anger,LYRICS_NOT_FOUND
All is splashing now,カヒミ・カリィ,all is splashing now,カヒミカリィ,anger,LYRICS_NOT_FOUND
A night in silence,Jack or Jive,a night in silence,jack or jive,anger,LYRICS_NOT_FOUND
City of Straw,Sightings,city of straw,sightings,anger,LYRICS_NOT_FOUND
The Walls Of The City Shake (Featuring David Grubbs),Jason Forrest,the walls of the city shake featuring david grubbs,jason forrest,anger,LYRICS_NOT_FOUND
Wounded And Dead,Noizenecio,wounded and dead,noizenecio,anger,LYRICS_NOT_FOUND
New Dawn,Noctis Null,new dawn,noctis null,anger,LYRICS_NOT_FOUND
LOST CHILDREN,志方あきこ,lost children,志方あきこ,anger,LYRICS_NOT_FOUND
Rash,The Legendary Pink Dots,rash,the legendary pink dots,anger,LYRICS_NOT_FOUND
Push Over,Heatbeat,push over,heatbeat,anger,LYRICS_NOT_FOUND
The Sound ov the Shell,Asche,the sound ov the shell,asche,anger,LYRICS_NOT_FOUND
Arcadia,志方あきこ,arcadia,志方あきこ,anger,LYRICS_NOT_FOUND
Selected for Bleeding,Aslan Faction,selected for bleeding,aslan faction,anger,LYRICS_NOT_FOUND
Harbingers,Cisfinitum,harbingers,cisfinitum,anger,LYRICS_NOT_FOUND
St. Anger (Amended Version),Metallica,st anger amended version,metallica,anger,LYRICS_NOT_FOUND
Tears of blood,Jack or Jive,tears of blood,jack or jive,anger,LYRICS_NOT_FOUND
Catch 22,Merzbow,catch 22,merzbow,anger,LYRICS_NOT_FOUND
Omen reprise (denu remix),The Prodigy,omen reprise denu remix,the prodigy,anger,LYRICS_NOT_FOUND
Dein Geruch,Die In Progress,dein geruch,die in progress,anger,LYRICS_NOT_FOUND
Sample Start,Covenant,sample start,covenant,anger,LYRICS_NOT_FOUND
Till Death,Brotherhood,till death,brotherhood,anger,LYRICS_NOT_FOUND
Air Wristcut,RoughSketch,air wristcut,roughsketch,anger,LYRICS_NOT_FOUND
空蝉,志方あきこ,空蝉,志方あきこ,anger,LYRICS_NOT_FOUND
ay carumba!!!!,teranoid & MC Natsack,ay carumba,teranoid mc natsack,anger,LYRICS_NOT_FOUND
Mephisto (Life Cried Remix),Terrorfakt,mephisto life cried remix,terrorfakt,anger,LYRICS_NOT_FOUND
Les Leçons de Français,カヒミ・カリィ,les leçons de français,カヒミカリィ,anger,LYRICS_NOT_FOUND
Molotov 1502,Bass Communion,molotov 1502,bass communion,anger,LYRICS_NOT_FOUND
The Super Cooooke!!!!!,RoughSketch,the super cooooke,roughsketch,anger,LYRICS_NOT_FOUND
The Velvet Machina,Psyborg Corp.,the velvet machina,psyborg corp,anger,LYRICS_NOT_FOUND
No Noise,Hanatarash,no noise,hanatarash,anger,LYRICS_NOT_FOUND
Der Schwarze Tod,Schwarzblut,der schwarze tod,schwarzblut,anger,LYRICS_NOT_FOUND
Screaming Fuck,Die In Progress,screaming fuck,die in progress,anger,LYRICS_NOT_FOUND
Drugs vs. Violence,Implant,drugs vs violence,implant,anger,LYRICS_NOT_FOUND
We Are The Night,Extize,we are the night,extize,anger,LYRICS_NOT_FOUND
Arabesque,ルルティア,arabesque,ルルティア,anger,LYRICS_NOT_FOUND
Anal Killing,Grunt,anal killing,grunt,anger,LYRICS_NOT_FOUND
Leyre,志方あきこ,leyre,志方あきこ,anger,LYRICS_NOT_FOUND
ti ecroF,NorthBorne,ti ecrof,northborne,anger,LYRICS_NOT_FOUND
Silent Fuck,Die In Progress,silent fuck,die in progress,anger,LYRICS_NOT_FOUND
Heroin (Album Version (Mono)),The Velvet Underground,heroin album version mono,the velvet underground,anger,LYRICS_NOT_FOUND
the moon from below,Betwixt & Between,the moon from below,betwixt between,anger,LYRICS_NOT_FOUND
ROLLER COASTER,Red Bacteria Vacuum,roller coaster,red bacteria vacuum,anger,LYRICS_NOT_FOUND
Last Seven Plagues,Maurizio Bianchi,last seven plagues,maurizio bianchi,anger,LYRICS_NOT_FOUND
The Beat That Goes Ping,Komor Kommando,the beat that goes ping,komor kommando,anger,LYRICS_NOT_FOUND
Act Global,Winterkälte,act global,winterkälte,anger,LYRICS_NOT_FOUND
Neutral,Christian Marclay,neutral,christian marclay,anger,LYRICS_NOT_FOUND
barricades,100Blumen,barricades,blumen,anger,LYRICS_NOT_FOUND
Still Be Your Girl,カヒミ・カリィ,still be your girl,カヒミカリィ,anger,LYRICS_NOT_FOUND
unwanted answer p3 (live),ryadeum,unwanted answer p3 live,ryadeum,anger,LYRICS_NOT_FOUND
Compass Rose,The Goslings,compass rose,the goslings,anger,LYRICS_NOT_FOUND
Too Tired to Consume,[de:ad:cibel],too tired to consume,deadcibel,anger,LYRICS_NOT_FOUND
Metel,Cylob,metel,cylob,anger,LYRICS_NOT_FOUND
Paradoxical Silence,Betwixt & Between,paradoxical silence,betwixt between,anger,LYRICS_NOT_FOUND
Ad Silentia Luna Amica Mea,Luc Arbogast,ad silentia luna amica mea,luc arbogast,anger,LYRICS_NOT_FOUND
Antikrist,Komor Kommando,antikrist,komor kommando,anger,LYRICS_NOT_FOUND
The Rapture,Evol Intent,the rapture,evol intent,anger,LYRICS_NOT_FOUND
Like Some Ancient Deeds,Die In Progress,like some ancient deeds,die in progress,anger,LYRICS_NOT_FOUND
片翼の鳥 -instrumental-,志方あきこ,片翼の鳥 instrumental,志方あきこ,anger,LYRICS_NOT_FOUND
Ongaku Orx013,kenta-v.ez.,ongaku orx013,kentavez,anger,LYRICS_NOT_FOUND
014,Fennesz,,fennesz,anger,LYRICS_NOT_FOUND
Justification / the Circle Remains Closed,Ride For Revenge,justification the circle remains closed,ride for revenge,anger,LYRICS_NOT_FOUND
Das Blut unserer Zeit,Die In Progress,das blut unserer zeit,die in progress,anger,LYRICS_NOT_FOUND
thrash up disturbace #4,Coaltar of the Deepers,thrash up disturbace 4,coaltar of the deepers,anger,LYRICS_NOT_FOUND
Blues'N'Tubes,Komor Kommando,bluesntubes,komor kommando,anger,LYRICS_NOT_FOUND
Untitled 4,Apoptygma Berzerk,untitled 4,apoptygma berzerk,anger,LYRICS_NOT_FOUND
Rules Of Enragement,Lewis Black,rules of enragement,lewis black,anger,LYRICS_NOT_FOUND
The Shriek She Made When She Died Was Erased By The Sound of Lightning,Venetian Snares,the shriek she made when she died was erased by the sound of lightning,venetian snares,anger,LYRICS_NOT_FOUND
Ordain And Establish,Opir,ordain and establish,opir,anger,LYRICS_NOT_FOUND
Jerusalem syndrom,[de:ad:cibel],jerusalem syndrom,deadcibel,anger,LYRICS_NOT_FOUND
Die Höhle des Löwe,Die In Progress,die höhle des löwe,die in progress,anger,LYRICS_NOT_FOUND
Lolita Go Home,カヒミ・カリィ,lolita go home,カヒミカリィ,anger,LYRICS_NOT_FOUND
時に埋もれた言葉,志方あきこ,時に埋もれた言葉,志方あきこ,anger,LYRICS_NOT_FOUND
Harmonia ～見果てぬ地へ～,志方あきこ,harmonia 見果てぬ地へ,志方あきこ,anger,LYRICS_NOT_FOUND
Unam Sanctam,POLY CALAMITY,unam sanctam,poly calamity,anger,LYRICS_NOT_FOUND
Perpetual Motion,Phobium,perpetual motion,phobium,anger,LYRICS_NOT_FOUND
BUTTHOLE MADNESS,Loli Battle Machine,butthole madness,loli battle machine,anger,LYRICS_NOT_FOUND
Emperors Corpse Enclosed In The Plaster Wall,Prurient,emperors corpse enclosed in the plaster wall,prurient,anger,LYRICS_NOT_FOUND
Xfixiation (Remix by SITD),Tactical Sekt,xfixiation remix by sitd,tactical sekt,anger,LYRICS_NOT_FOUND
調和 ～大地の讃歌～,志方あきこ,調和 大地の讃歌,志方あきこ,anger,LYRICS_NOT_FOUND
In the Flood With the Flood,Father Murphy,in the flood with the flood,father murphy,anger,LYRICS_NOT_FOUND
調和 ～Harmonia～,志方あきこ,調和 harmonia,志方あきこ,anger,LYRICS_NOT_FOUND
