track,artist,final_emotion,reason
Floorkiller (Daedal remix),Icon of Coil,fear,Already processed
Football,Aidonia,fear,Already processed
It Is Raped,Nine Inch Nails,fear,Already processed
The Most Important Part Of Your Body,The pAper chAse,fear,Already processed
The Falls,Skepticism,fear,Already processed
Dusk Is Like a Dagger,The Frozen Autumn,fear,Already processed
The Poisonous Eye,Elend,fear,Already processed
Warm waters,Flёur,fear,Already processed
Luna (Moon of Claiming),Cemeteries,fear,Already processed
Phone Calls From The Dead,Meat Beat Manifesto,fear,Already processed
Part 1,The Future Sound of London,fear,Already processed
Pastorale,Ataraxia,fear,Already processed
Green Manalishi,Fleetwood Mac,fear,Already processed
Panic Attack (Ape Sounds remix),UNKLE,fear,Already processed
Compact Disc,Oval,fear,Already processed
Puppy Dog Snails,The Eighties Matchbox B-Line Disaster,fear,Already processed
The Bells (Angelspit Mix),I:Scintilla,fear,Already processed
Winter's Knight,Nox Arcana,fear,Already processed
Only the Neon Lights,Because of Ghosts,fear,Already processed
Our Fading Horizons,Hate Forest,fear,Already processed
Trailer 2,Mono & World's End Girlfriend,fear,Already processed
Agharti,Ataraxia,fear,Already processed
Dolphins,Ataraxia,fear,Already processed
Vaeltajan laulu,Islaja,fear,Already processed
The Order Form,Essential Logic,fear,Already processed
Nothing Ever Changes,Brainiac,fear,Already processed
My Friends,Helena Bonham Carter & Johnny Depp,fear,Already processed
Verona,Fennesz,fear,Already processed
3 AM At The Border Of The Marsh From Okefenokee,Tangerine Dream,fear,Already processed
Dreams of Leaving,Akira Yamaoka,fear,Already processed
Slow Sad Love Song,The Verlaines,fear,Already processed
Missiles And Mammals,Sickoakes,fear,Already processed
The E. Song,dictaphone,fear,Already processed
Talk Me Down,Westlife,fear,Already processed
I Love Every Waving Thing,Ataraxia,fear,Already processed
...and Bringer of Sadness,Sopor Aeternus & The Ensemble of Shadows,fear,Already processed
Affenroulette,Einstürzende Neubauten,fear,Already processed
Weeping Wall (Instrumental),David Bowie,fear,Already processed
A Prison in the Desert,Anita Lane,fear,Already processed
Isabella,Corvus Corax,fear,Already processed
Meninblack,The Stranglers,fear,Already processed
Nightmare,Deine Lakaien,fear,Already processed
Persistent Repetition of Phrases,The Caretaker,fear,Already processed
X-Files (UNKLE Remix),UNKLE,fear,Already processed
Consummation,Akhlys,fear,Already processed
Shiva Interfere,Dødheimsgard,fear,Already processed
Compulsions,Funker Vogt,fear,Already processed
Corpse Bride,Brookes Brothers,fear,Already processed
Lost Time Not Found Again,Oren Ambarchi,fear,Already processed
No Dream,Mike Oldfield,fear,Already processed
The Man Who Swallowed My Soul,Persephone,fear,Already processed
The Fox Speaks To His Wife Who Is Not Quite Sure,Frog Eyes,fear,Already processed
Tu es la force du Silence,Ataraxia,fear,Already processed
Mio Pianto,高木正勝,fear,Already processed
Act Ii - A Beautiful Square In Isfahan,Carl Nielsen,fear,Already processed
Ad Astra (Ensemble Version),Arcturus,fear,Already processed
Things We Never Had,Coil,fear,Already processed
You're The One For Me,Marvin Gaye,fear,Already processed
Concerto Grosso No. 1 - Prelud,Alfred Schnittke,fear,Already processed
Pandemonic Revelation,Abigor,fear,Already processed
Modern Jupiter,Piano Magic,fear,Already processed
The Berbers,Clannad,fear,Already processed
the doorkeeper,Black Tape for a Blue Girl,fear,Already processed
Michael Row,Matteah Baim,fear,Already processed
Codex Durex,Laibach,fear,Already processed
2 The Proposition #1,Nick Cave,fear,Already processed
Weird Nightmare,Charles Mingus,fear,Already processed
Pharotek,Frank Klepacki,fear,Already processed
Elevazione,Ataraxia,fear,Already processed
Nancy Sings,Jandek,fear,Already processed
Nei giardini che nessuno sa,Laura Pausini,fear,Already processed
Intimacy,Kiki,fear,Already processed
Allegheny,Yoni & Geti,fear,Already processed
Solace,Spetsnaz,fear,Already processed
2/1 (2004 Digital Remaster),Brian Eno,fear,Already processed
spires awake,Hecq,fear,Already processed
Timebomb,Ohgr,fear,Already processed
Fog On the Hudson (425 W 57th Street),Moondog,fear,Already processed
Flower Lady and Her Assistant,The Seeds,fear,Already processed
Xyz,The Tiger Lillies,fear,Already processed
Starfish,Pinback,fear,Already processed
Anagamin,Giacinto Scelsi,fear,Already processed
12 Souls,Sigh,fear,Already processed
Lama Dorje Chang,Yungchen Lhamo,fear,Already processed
Serpens,Zombi,fear,Already processed
Tam Lin,Mediæval Bæbes,fear,Already processed
Whistleblower,Vladislav Delay,fear,Already processed
Blood of Cherries,Ataraxia,fear,Already processed
Comrade Enver Hoxha,Test Dept.,fear,Already processed
Exiled (Gaudi Rmx),Tripswitch,fear,Already processed
Blood Theme (Bonus Track) (Original Mix),Cazzette,fear,Already processed
Profane the Twelve,Hexentanz,fear,Already processed
There's No Time to Recall,The Frozen Autumn,fear,Already processed
Der Herrscher und der Sieger,Einstürzende Neubauten,fear,Already processed
Juba Lee Brown,His Name Is Alive,fear,Already processed
See It See It,FOG,fear,Already processed
Wörk,The Golden Filter,fear,Already processed
The Room,Bill Fay,fear,Already processed
Mojave Plan,Tangerine Dream,fear,Already processed
Under Wraps,Barry Adamson,fear,Already processed
On the Way,Popol Vuh,fear,Already processed
I Will Be True,Set Fire to Flames,fear,Already processed
Om Mani Padme Hung,Yungchen Lhamo,fear,Already processed
Drawn to the Rhythm (Live),Sarah McLachlan,fear,Already processed
Song: Our Underwater Torch,Squarepusher,fear,Already processed
Zoolook (Remix),Jean Michel Jarre,fear,Already processed
To This Life,Azure Ray,fear,Already processed
On the Path of Wolf... Towards Dwarfhill,Blut aus Nord,fear,Already processed
Torso,Laibach,fear,Already processed
Century Schoolbook,Piano Magic,fear,Already processed
No Gravity,Chaostar,fear,Already processed
Oduarpa,Ataraxia,fear,Already processed
Orchids in ruin,All Gone Dead,fear,Already processed
Hot Springs In The Snow,The Creatures,fear,Already processed
Manchmal redest du im Schlaf,In Strict Confidence,fear,Already processed
DJ Krust - Re-Arrange,The Cinematic Orchestra,fear,Already processed
"Mikka, For Solo Violin (1971)",Iannis Xenakis,fear,Already processed
A Volume of Typefaces,The Boats,fear,Already processed
"Cut Up, Depressed and Alone",Loss,fear,Already processed
Passing Through,Mankind Is Obsolete,fear,Already processed
Days Gone By,Joe Walsh,fear,Already processed
In Una Stanza Quasi Rosa,Laura Pausini,fear,Already processed
Movement VIII,Vangelis,fear,Already processed
Thoroughly Lost To Logic,David Sylvian,fear,Already processed
Watusi Zombie,Jan Davis,fear,Already processed
The Garden of Earthly Delights,Josephine Foster,fear,Already processed
Cape Clear,Seth Lakeman,fear,Already processed
The Gods Have Gone Insane,Rotersand,fear,Already processed
Immolare,Sandwell District,fear,Already processed
Timetakesthetimetimetakes,Peder,fear,Already processed
main title,John Carpenter & Alan Howarth,fear,Already processed
I've Always Loved The Fall,Lost in the Trees,fear,Already processed
Predator,Clannad,fear,Already processed
Pans Lughn,Arckanum,fear,Already processed
Dirty Little Secret,X-Patriate (Alan J. Lipman),fear,Already processed
You & John Are Birds,Piano Magic,fear,Already processed
Cold Kisses,Richard Thompson,fear,Already processed
Who Am I?,植松伸夫,fear,Already processed
The Bells,Ramin Djawadi,fear,Already processed
From Morning On,AGF/Delay,fear,Already processed
The Unity,Hate Forest,fear,Already processed
On The Wrong Side Of Relaxation,Barry Adamson,fear,Already processed
Cryotank Expansion,Covenant,fear,Already processed
Queen of the Mole People,Deerhoof,fear,Already processed
Evangelista II,Carla Bozulich,fear,Already processed
National Anthem,U.S. Girls,fear,Already processed
Vade Retro Satanas,Laibach,fear,Already processed
Playing With Uranium,Duran Duran,fear,Already processed
In Flight,Clannad,fear,Already processed
Plastic christ,Suicide Commando,fear,Already processed
Atrus' Theme,Robyn Miller,fear,Already processed
Outremer,Ataraxia,fear,Already processed
Forgotten Voice of Black Perun,Hate Forest,fear,Already processed
Intro (Season of Glass),여자친구,fear,Already processed
Now,White Flight,fear,Already processed
Supreme Immortal Art,Abigor,fear,Already processed
Travelling Light,Bright Moments,fear,Already processed
Klethra,Ataraxia,fear,Already processed
Central Control,Barry Adamson,fear,Already processed
Wait for Nothing,The Frozen Autumn,fear,Already processed
ghost dancing,The Orb,fear,Already processed
Teef Smasha,The Upbeats,fear,Already processed
River and Rapids,Arborea,fear,Already processed
Waltz of the Autumn Leaves,Double Thumb,fear,Already processed
Child Of The Sea,Clannad,fear,Already processed
Dinner For Two,Department of Eagles,fear,Already processed
Liberty Island,Alexander Brandon,fear,Already processed
Incabala,Ataraxia,fear,Already processed
Dead Winter Moon,Those Poor Bastards,fear,Already processed
A Million Bubbles Burst,Pram,fear,Already processed
Aigues Mortes,Ataraxia,fear,Already processed
Primeval Sun,Clannad,fear,Already processed
Mnemosine,Ataraxia,fear,Already processed
Lost Love,Wildbirds & Peacedrums,fear,Already processed
Let My Fish Loose,Nobukazu Takemura,fear,Already processed
Salt Marie Celeste,Nurse With Wound,fear,Already processed
Voyager,Clannad,fear,Already processed
Fiskmat,Skruvmejsel,fear,Already processed
Kaviria,Ataraxia,fear,Already processed
Sacrament of Emptiness and Despair,Goatwhore,fear,Already processed
Werewolves,Alexandre Desplat,fear,Already processed
Bleumarine,Ataraxia,fear,Already processed
Exit (Towards the Asylum),Blut aus Nord,fear,Already processed
The Swedish Rhapsody,The Conet Project,fear,Already processed
Tango Des-Astres,Ataraxia,fear,Already processed
Translate (Broken Reception Mix By Manufactura),I:Scintilla,fear,Already processed
Blue Veils and Golden Sands,Delia Derbyshire,fear,Already processed
Moving Thru,Clannad,fear,Already processed
2/2 (2004 Digital Remaster),Brian Eno,fear,Already processed
Silence Sauvage,Ash Ra Tempel,fear,Already processed
An Evening With Vincent Van Ritz,Eberhard Weber,fear,Already processed
Sunday Song,Tara Jane O'Neil,fear,Already processed
Maze,Scone,fear,Already processed
Eaudelamer,Ataraxia,fear,Already processed
Water of Mystery,Kitaro,fear,Already processed
Ophélie,Ataraxia,fear,Already processed
Slow Guitars,The Gentleman Losers,fear,Already processed
The City Surveyor,Pram,fear,Already processed
Arab Star,Warp Technique,fear,Already processed
Wrecked Metal (the cello version),Zeigeist,fear,Already processed
Winds From Untold Memories,Uneven Structure,fear,Already processed
Villain,To Kill a Petty Bourgeoisie,fear,Already processed
tierbeobachtung,Jan Jelinek,fear,Already processed
What I Wouldn't Give,Pink Industry,fear,Already processed
Mermen of the Lea,And Also The Trees,fear,Already processed
Absinthe Tears,Scarlet Leaves,fear,Already processed
Lobster,The Upbeats,fear,Already processed
Kissing my Disgrace,Queen Adreena,fear,Already processed
Undeadman,Shackleton,fear,Already processed
When All the Laughter Has Gone,Dolorian,fear,Already processed
Sparkless,Skinny Puppy,fear,Already processed
Birth of a Penguin II,Danny Elfman,fear,Already processed
Dragonfly,Universal Hall Pass,fear,Already processed
Blanche,Ataraxia,fear,Already processed
A Lizard with the Skin of Woman,Mike Patton,fear,Already processed
Antinea,Ataraxia,fear,Already processed
Pioneers,Tunng,fear,Already processed
Ignis Fatuus,Patrick Wolf,fear,Already processed
Casio destroy toy,Räuberhöhle,fear,Already processed
Headless Horseman,Kay Starr,fear,Already processed
Ener Stilla Sior Af Droten Min,Arckanum,fear,Already processed
Ichor,Liliput,fear,Already processed
Mr. Sandman,Nan Vernon,fear,Already processed
Hellraiser,Christopher Young,fear,Already processed
Bonthrop,Ataraxia,fear,Already processed
Nicotina Groove,Subsonica,fear,Already processed
Lullaby,Paul Giovanni,fear,Already processed
Laurie Knows,John Carpenter,fear,Already processed
Awakening,Titiyo,fear,Already processed
Bucket of Blood,Pino Donaggio,fear,Already processed
All,Boat,fear,Already processed
Great Lines,Wildbirds & Peacedrums,fear,Already processed
Oxygene Part 5,Jean Michel Jarre,fear,Already processed
Basscadubmx,Autechre,fear,Already processed
Only Fools On Horse,Teeth of the Sea,fear,Already processed
La Lira di Apollo,Ataraxia,fear,Already processed
Despair,Ennio Morricone,fear,Already processed
"Nothing in the middle, nothing at the end",Cranes,fear,Already processed
The Angels (Cruciform),Christian Death,fear,Already processed
Cinema (Chimpo Remix),Wu-Tang Clan,fear,Already processed
Self Esteem Fund,Valve,fear,Already processed
Our Own World,Nitzer Ebb,fear,Already processed
She Dances by the Light of the Silvery Moon,Harold Budd,fear,Already processed
Seas of the Moon,Ataraxia,fear,Already processed
Migratio Animae,Ataraxia,fear,Already processed
DAS NACHTLIED I,Laibach,fear,Already processed
Sintro,Razed in Black,fear,Already processed
The Gentle Sleep,Ataraxia,fear,Already processed
Deku Tree,Zelda Reorchestrated,fear,Already processed
The Swinging Detective,Barry Adamson,fear,Already processed
Veules les roses,Ataraxia,fear,Already processed
Michelle (Deep In Pain Remix By Destroid),Clan of Xymox,fear,Already processed
Autodestruction,Barry Adamson,fear,Already processed
Kyes Ivrload,Esem,fear,Already processed
A Faded Picture,The Seeds,fear,Already processed
A Woman Sees How The World Goes With No Eyes,Pauline Oliveros,fear,Already processed
The World Touches Too Hard,Hood,fear,Already processed
Antonio Bay,John Carpenter,fear,Already processed
Sounds From The Big House,Barry Adamson,fear,Already processed
Creeping Shadows,鷺巣詩郎,fear,Already processed
Pädophil,Tyske Ludder,fear,Already processed
Maestus,Maeror Tri,fear,Already processed
Twitch (Jamie Vex'd remix),Scuba,fear,Already processed
Dwarfland / Love Theme,Angelo Badalamenti,fear,Already processed
Scissor Rock Bicycle Revelation,Nurse With Wound,fear,Already processed
Angstzustand,Fäulnis,fear,Already processed
Hamrami,Arckanum,fear,Already processed
Mysterium,Enya,fear,Already processed
Summertime,John Fahey,fear,Already processed
Davey Jones Locker,Drexciya,fear,Already processed
"This Absolute Supper, Second Consecration",Ordo Equilibrio,fear,Already processed
Your Breed,In Slaughter Natives,fear,Already processed
Monster (Semothy Jones Remix),Meg Myers,fear,Already processed
Freedom's Prisoner,Steve Harley & Cockney Rebel,fear,Already processed
I,Sofia Gubaidulina,fear,Already processed
Saavedro's Theme,Jack Wall,fear,Already processed
Belle Jolande,Ataraxia,fear,Already processed
Ash,Gridlock,fear,Already processed
Tightrope Walk,The Damned,fear,Already processed
Shelmerdine,Ataraxia,fear,Already processed
"Wolken, ma vie",Moëvöt,fear,Already processed
Tenebre (reprise),Goblin,fear,Already processed
Ich Mache Einen Spiegel - Dream Part 49,Popol Vuh,fear,Already processed
Heart,Taxi Taxi!,fear,Already processed
Baptism,Charlie Clouser,fear,Already processed
Ostinato Del Caminito,Black Prairie,fear,Already processed
Acid Tongue,Attrition,fear,Already processed
Mythos,Delerium,fear,Already processed
Under Neptune's Cape,Clannad,fear,Already processed
Good Day,Kunek,fear,Already processed
Intensive Care,Barry Adamson,fear,Already processed
Spirit,Delerium,fear,Already processed
One Thousand Days,Bella Morte,fear,Already processed
The Death of Josef,Christian Death,fear,Already processed
Blue Skied Demon,Donato Wharton,fear,Already processed
Lullaby,Exploded View,fear,Already processed
Diminished Responsibility,Fad Gadget,fear,Already processed
Lost In Fog,Thomas Newman,fear,Already processed
Lunar Life,U.S. Girls,fear,Already processed
Ajoratamaalaus,Absoluuttinen nollapiste,fear,Already processed
Andegavenses,Eyvind Kang,fear,Already processed
8.8,Supersilent,fear,Already processed
Coven In Heat,Hecate,fear,Already processed
Inauguration Of The Pleasure Dome,Zero Kama,fear,Already processed
tcp d1 1 the swedish rhapsody irdial,The Conet Project,fear,Already processed
Bamboozel,Two Steps from Hell,fear,Already processed
Stuffed Aubergine,Vangelis,fear,Already processed
Shakes,Rivulets,fear,Already processed
Tree Line,武満徹,fear,Already processed
Witch,No-Neck Blues Band,fear,Already processed
Drone,Kenny Larkin,fear,Already processed
Comet,Pangea,fear,Already processed
Cobalt,Ataraxia,fear,Already processed
Flowers Of Love,Deine Lakaien,fear,Already processed
Gi Pai Pa Yul Chola,Yungchen Lhamo,fear,Already processed
Go 't' Away Deirdre,Virgin Prunes,fear,Already processed
As She Laughed,DJ Hidden,fear,Already processed
Stay,Astrobrite,fear,Already processed
Shipyards Of New Zealand,Midnight Oil,fear,Already processed
Vargøld,Arckanum,fear,Already processed
Hold Me Down,Scala,fear,Already processed
Infamous,Rufige Kru,fear,Already processed
It's All Right With Me,Tom Waits,fear,Already processed
Keskeisvoima / Centralforce,Pan Sonic,fear,Already processed
Il Palco N. 5,Ataraxia,fear,Already processed
Katrinah Josephina,Universal Hall Pass,fear,Already processed
Queue Up For Redemption,Deine Lakaien,fear,Already processed
Der Weise,Walter Wegmüller,fear,Already processed
Angrboða,Arckanum,fear,Already processed
Battle Of The Ghost,Deine Lakaien,fear,Already processed
Dreaming of an Anthill (Teeming),The Residents,fear,Already processed
Longtemps Pierrette d'Orient,Ataraxia,fear,Already processed
Closer,Soulsavers,fear,Already processed
New Orleans,Barry Lynn,fear,Already processed
Butterfly Song,Jocelyn Pook,fear,Already processed
Black Sunday,Moodymann,fear,Already processed
Floating Dolphins,Project Pitchfork,fear,Already processed
Into The Unseen,Hecq,fear,Already processed
Last Kind Words,Geeshie Wiley,fear,Already processed
Super Metroid Kindred OC ReMix,"pixietricks, zircon",fear,Already processed
Ode to the Modern Woman,Mayonnaise,fear,Already processed
haunted house,近藤浩治,fear,Already processed
These Two Words,She Wants Revenge,fear,Already processed
Mantis' Hymn,KCE Japan Sound Team,fear,Already processed
True Love,ThouShaltNot,fear,Already processed
Time to die,菅野よう子,fear,Already processed
Wandering Arms,Scissors for Lefty,fear,Already processed
Dream Dream,The World of Skin,fear,Already processed
Lisieux,Édith Piaf,fear,Already processed
She Was A Visitor,Robert Ashley,fear,Already processed
The moment I could pray,Vittorio Vandelli,fear,Already processed
Degenerate Ones (Werkoluks remix),Spetsnaz,fear,Already processed
The Secret Place (2005 Digital Remaster),Brian Eno,fear,Already processed
Miss Lucy Had Some Leeches (Live),Emilie Autumn,fear,Already processed
Itch,Brothomstates,fear,Already processed
Etretat,Ataraxia,fear,Already processed
Mountains Falling,Angelo Badalamenti,fear,Already processed
La Mer (Live),Sarah Brightman,fear,Already processed
Words From The Front,Tom Verlaine,fear,Already processed
Gehn's Theme,Robyn Miller,fear,Already processed
Unrest,大島ミチル,fear,Already processed
Le Marais,Bark Cat Bark,fear,Already processed
I Live To See You Smile,Today Is The Day,fear,Already processed
I Dig You (Vinyl B-Side By Cult Hero),The Cure,fear,Already processed
Resvete,Ricardo Villalobos & Max Loderbauer,fear,Already processed
Whispers o'er the sea,Vittorio Vandelli,fear,Already processed
Dulcamara,Ataraxia,fear,Already processed
Goosewalk,Pram,fear,Already processed
Iannis Xenakis - Hibiki-Han,Iannis Xenakis,fear,Already processed
Wolfgang,Audio,fear,Already processed
Pomme Fritz (meat `n veg),The Orb,fear,Already processed
Astimelusa,Ataraxia,fear,Already processed
Hypnos,Oöphoi,fear,Already processed
Time,Lull,fear,Already processed
Echoes Of Silence,Ikon,fear,Already processed
All Of Me,Nurse With Wound,fear,Already processed
Eg Reiste I Minnet...,Trelldom,fear,Already processed
Бескрайние Топи,Nokturnal Mortum,fear,Already processed
Welcome To My Nightmare (Live),Alice Cooper,fear,Already processed
Face to Face,Chris & Cosey,fear,Already processed
Blutrausch,Tyske Ludder,fear,Already processed
Cinnabar,Pram,fear,Already processed
iam POD (0%),青葉市子,fear,Already processed
Человеческое,Театр Яда,fear,Already processed
Haapavesi,Hannu,fear,Already processed
Midna's Theme,近藤浩治,fear,Already processed
Fantasy Fiction,Quallofill,fear,Already processed
Storms Of Fire And Ice,Midnight Odyssey,fear,Already processed
Television,Hans Zimmer,fear,Already processed
Love Child,The Hall of Mirrors,fear,Already processed
Forbidden Mountain,George Bruns,fear,Already processed
Fly High,Bridget St. John,fear,Already processed
Broken Head,Cluster & Brian Eno,fear,Already processed
Follow Her Trace,Technology of Silence,fear,Already processed
Talk Over,Cabaret Voltaire,fear,Already processed
Mephisto,Matt Uelmen,fear,Already processed
Clear Water,Warsaw Village Band,fear,Already processed
Idaho Crop Circles,Michael Hoenig,fear,Already processed
Noir,Vernian Process,fear,Already processed
The Promise (Club),Seabound,fear,Already processed
Balfigore (Before the Feast),Chris & Cosey,fear,Already processed
Beaming,Klara Lewis,fear,Already processed
Up The Sleeve,Pink Reason,sadness,Already processed
Moon Down,Zan-zan-zawa-veia,reflective,Already processed
Beneath Zero,Mathias Grassow,reflective,Already processed
Project: Dronekind,Disexistentsium,sadness,Already processed
Ambulansen,Långben Går På Zoo,sadness,Already processed
New Kittykat,Skerror,sadness,Already processed
Purrr Physicss,Skerror,sadness,Already processed
Volume 2: Untitled 2,Electric Dress,neutral,Already processed
Volume 3: Untitled 2,Electric Dress,neutral,Already processed
Volume 4: Untitled 3,Electric Dress,neutral,Already processed
Savory,Jawbox,reflective,Already processed
Fever Sleeves,Q and Not U,sadness,Already processed
Mr. Clarinet,The Birthday Party,sadness,Already processed
Clara,Scott Walker,sadness,Already processed
La'hov,Mates of State,sadness,Already processed
Recreation Myth,Q and Not U,sadness,Already processed
Rocket Number Nine,Sun Ra,sadness,Already processed
Stranger,Figurine,reflective,Already processed
Pure Intentions,The Mountain Goats,sadness,Already processed
Girl Poison,Angelspit,sadness,Already processed
Pray,FGFC820,sadness,Already processed
If I Should Die,Anita Lane,sadness,Already processed
Deleted,Agonoize,sadness,Already processed
We Are Kant Kino,Kant Kino,neutral,Already processed
Haunted Memories,Fractured,sadness,Already processed
Everytime,Fractured,sadness,Already processed
Stratified Society,Fractured,sadness,Already processed
Cold Eyes,Fractured,sadness,Already processed
Overkill,Solitary Experiments,sadness,Already processed
Enemy Inside,Ice Ages,sadness,Already processed
Becoming One,Fractured,sadness,Already processed
One More Time,Fractured,sadness,Already processed
Psycho2vii,C-Drone-Defect,sadness,Already processed
Touch,DYM,sadness,Already processed
Sin Phony,DYM,neutral,Already processed
Autonomy of the Will,DYM,sadness,Already processed
Perverted Desire,Seelenkrank,sadness,Already processed
Government Stomp!,DYM,sadness,Already processed
Corpus Accido,Die Sektor,sadness,Already processed
Here's To You,System Syn,sadness,Already processed
Beneath the Ashes,Fractured,sadness,Already processed
Disengage,Fractured,sadness,Already processed
Neural Dysorder,C-Drone-Defect,sadness,Already processed
We Bare These Scars,Fractured,reflective,Already processed
Micro-iconic Feature,Eight Frozen Modules,sadness,Already processed
Obsolete,Stray,neutral,Already processed
Lightning Child (DYM's Dying Is Modern Remix),Acylum,neutral,Already processed
ceLLaR d00R,Nexothex,neutral,Already processed
Shave Your Head,The Passage,sadness,Already processed
Anderton's Hall,The Passage,sadness,Already processed
Rise And Fall (Fractured Remix),Solitary Experiments,sadness,Already processed
"Brief But Violent Illness (Puking, Blackouts And Pain)",Mentallo & The Fixer,sadness,Already processed
endeavour,onecyze project,sadness,Already processed
underhurt,onecyze project,sadness,Already processed
perfect enemy,onecyze project,sadness,Already processed
My Salvation,Lthrboots,sadness,Already processed
my world,onecyze project,sadness,Already processed
The Painful Fact,Trümmerwelten,sadness,Already processed
Coma,Raptor System,reflective,Already processed
Decadence By Design,Pail,sadness,Already processed
Hold My Hand,Ylid,sadness,Already processed
Black thursday,Madame B,sadness,Already processed
on the up,Phuq,sadness,Already processed
What Have You Done?,Mars Field,sadness,Already processed
Genie in a Bottle Bank (long version),Desert Island Dicks,sadness,Already processed
me make you feel the way,Phuq,sadness,Already processed
Disused Fairground,James Kealy & His Regal Toes,reflective,Already processed
i never see you but you make me feel so sad,Phuq,sadness,Already processed
California,Mars Field,sadness,Already processed
Fractured,Modern Thieves,sadness,Already processed
The Fall,Raptor System,sadness,Already processed
01- I'm Gonna Booglarize You Baby,Captain Beefheart & His Magic Band,sadness,Already processed
Empty Words [05/24/1981 Peel Session],The Passage,sadness,Already processed
Rise And Fall (FRACTURED RMX),Solitary Experiments,sadness,Already processed
surripere [darkarma's heavy blotter mix],Autechre,sadness,Already processed
Homesick ( Fractured Remix),Solitary Experiments,sadness,Already processed
What Is The Moment Of Truth?,Fractured,sadness,Already processed
Grounded,Pavement,sadness,Already processed
Father,Aphex Twin,sadness,Already processed
The Secret Life of Arabia,David Bowie,sadness,Already processed
Kill You,Korn,sadness,Already processed
Change,Banks,sadness,Already processed
Ticket Man,The Kills,sadness,Already processed
Harold Weathervein,Cursive,sadness,Already processed
Who Would Leave Their Son Out in the Sun?,Have a Nice Life,sadness,Already processed
A Day by Atmosphere Supreme,Nujabes,sadness,Already processed
The Future,Have a Nice Life,sadness,Already processed
Bandito,Twenty One Pilots,sadness,Already processed
Don't Even Sing About It,The Books,sadness,Already processed
Outside,David Bowie,sadness,Already processed
Show Me the Place,Leonard Cohen,sadness,Already processed
Oddfellows Local 151,R.E.M.,sadness,Already processed
Don't Ask for the Water,Ryan Adams,sadness,Already processed
Kingdom Come,David Bowie,sadness,Already processed
Janitor of Lunacy,Nico,sadness,Already processed
Unsaid,Little People,sadness,Already processed
Child Psychology,Black Box Recorder,sadness,Already processed
The Motel,David Bowie,sadness,Already processed
I Wanna Go Back,Onra,sadness,Already processed
Like Spinning Plates (Live),Radiohead,sadness,Already processed
Shake the Shackles,Crystal Stilts,sadness,Already processed
Hurt,Thousand Foot Krutch,sadness,Already processed
Between Us & Them,Moving Units,sadness,Already processed
Videotapes,Blouse,sadness,Already processed
Joseph,Tricky,sadness,Already processed
Sleeping With a Gun Under My Pillow,The Boy Least Likely To,sadness,Already processed
In Power We Entrust the Love Advocated,Dead Can Dance,sadness,Already processed
Five Minutes Away,Prefuse 73,sadness,Already processed
Born Villain,Marilyn Manson,sadness,Already processed
Old Man Kensey,R.E.M.,sadness,Already processed
Crumble,Sage Francis,sadness,Already processed
The Go In The Go-For-It,Grandaddy,sadness,Already processed
Advent,Dead Can Dance,sadness,Already processed
Good Advices,R.E.M.,sadness,Already processed
The Hollow Men,Cocteau Twins,sadness,Already processed
Same Drug,Cold,sadness,Already processed
Magdalene,Akira Yamaoka,sadness,Already processed
Auctioneer (Another Engine),R.E.M.,sadness,Already processed
Save Yourself,Sharon Van Etten,sadness,Already processed
Camera,Pavement,sadness,Already processed
Black Market Blood,Placebo,sadness,Already processed
Burning Photographs,Ryan Adams,sadness,Already processed
You Never Know,Immortal Technique,sadness,Already processed
The Disease,Echo & the Bunnymen,sadness,Already processed
Urban Velvet,Metaform,sadness,Already processed
Falling Down,Travis,sadness,Already processed
Evangeline,The Angels of Light,sadness,Already processed
Freedom Ain't Free,Brother Ali,sadness,Already processed
Ground Control,Sage Francis,sadness,Already processed
Undying Love,Nas,sadness,Already processed
Last to Know,Pink,sadness,Already processed
Storm of Damnation,Bathory,sadness,Already processed
So Much For Suicide,Tiamat,sadness,Already processed
Raft,Pavement,sadness,Already processed
This Is My War,Ceremony,sadness,Already processed
Behave!,Frightened Rabbit,sadness,Already processed
Stepfather Factory,El-P,sadness,Already processed
Avenue of Hope,I Am Kloot,sadness,Already processed
Love Will Fuck Us Apart,Andrew Jackson Jihad,sadness,Already processed
My Sound,Squarepusher,sadness,Already processed
Pack You Up,Black Tambourine,sadness,Already processed
De Profundis (Out of the Depths of Sorrow),Dead Can Dance,sadness,Already processed
Neck On The New Blade,16 Horsepower,sadness,Already processed
Tears in the Morning,The Beach Boys,sadness,Already processed
Dead Faces,Okkervil River,sadness,Already processed
Montreal,of Montreal,sadness,Already processed
Sinister in a State of Hope,"Loney, dear",sadness,Already processed
"Goodnight, Europe",Crippled Black Phoenix,sadness,Already processed
Lonely Boy,Metaform,sadness,Already processed
Sandstorm Woman,Sleepy Sun,sadness,Already processed
Bad Bhang Recipe,Grails,sadness,Already processed
Alas Dies Laughing,Cocteau Twins,sadness,Already processed
Strong Man,16 Horsepower,sadness,Already processed
From DJ Cam,DJ Krush,sadness,Already processed
Boys,Ryan Adams,sadness,Already processed
New Age,Sleepy Sun,sadness,Already processed
Poor Mouth,16 Horsepower,sadness,Already processed
Assassination,dead prez,sadness,Already processed
Never Wed an Old Man,Jon Kennedy,sadness,Already processed
Praying Arm Lane,16 Horsepower,sadness,Already processed
Pumpin' for Jill,Iggy Pop,sadness,Already processed
