track,artist,final_emotion,lyrics
Forced Life,Chimaira,anger,"Images still in my head of you dead
I wish I could take them away instead
I sit in my room alone and cry over my loss
Will anything ever be the same?

I wish I could imagine you happy
A life of ecstasy that would be good enough
To stop the pain that lingers
In my heart I know I would be content

Yeah, it's your forced life
It's your forced life
It's your forced life

Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?

I sit and wonder
While you ponder of pathetic items that bring you happiness
Those things that put a smile to your face
Are the things that kill me inside

I know deep down you have a good heart
But why am I never included in all of this?
I take you in rise you up
Yet my soul stays untouched?

Yeah, it's your forced life
It's your forced life
It's your forced life

Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?

Nothing ever changes in your mind
Nothing ever changes in your mind
Nothing ever changes in your mind
Nothing ever changes in your mind

Nothing ever changes in your mind
Nothing ever changes in your mind
Nothing ever changes in your mind
Nothing ever changes in your mind

Yeah, it's your forced life
It's your forced life
It's your forced life

Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?
Doesn't it feel the same to you?

Nothing ever changes
It's your forced life
It's your forced life
It's your forced life

Stick your hate to me, stick your
I'll find a way to break free
Stick your hate to me, stick your
I'll find a way to break free

Stick your hate to me, stick your
I'll find a way to break free
Stick your hate to me, stick your
I'll find a way to break free"
Take the Mirror,White Lung,anger,"I'm tied to the seat
Stuck with your feet
Coiled tight, dead around my neck
Fat face is right
Sleep through the night
We'll breathe when we're rotten dead

Wipe that look from your face,
I'll drop you back from where you came
Wipe that look from your face,
I'll drop you back from where you came

I want away from you
I want away from you

Today the plan
Is caught in your hand
I can't tell you where to turn
The trees are gone
Tucked up the dawn
We won't wait until you learn

Wipe that look from your face,
I'll drop you back from where you came
Wipe that look from your face,
I'll drop you back from where you came

I want away from you
I want away from you

Once you see it right I'll take the mirror
Once you see it right then I'll take"
Rammstein (Eskimos & Egypt Radio Edit),Rammstein,anger,"Rammstein
Ein Mensch brennt
Rammstein
Fleischgeruch in der Luft

Rammstein
Ein Kind stirbt
Rammstein
Die Sonne scheint

Rammstein
Ein Flammenmeer
Rammstein
Blut gerinnt auf dem Asphalt

Rammstein
Mütter schreien
Rammstein
Die Sonne scheint

Rammstein
Ein Massengrab
Rammstein
Kein Entrinnen

Rammstein
Kein Vogel singt mehr
Rammstein
Und die Sonne scheint

Rammstein
Rammstein
Rammstein
Rammstein
Rammstein"
Floaters In Mud,Sepultura,anger,"Stuck in the ground
Shopping for the support, nothing can be found
The mind floats around
Crashing back and forth, never really stopping

Turn around and try to face yourself
You may think it looks like someone else

Look from outside, they don't heal
I'm passing through, shaking hands
Eyeless, shit-faced, they're not real
Mud in the brain, all insane

Turn around and try to face yourself
You may think it looks like someone else

Raw display of pain
No shelter refugee
No shelter refugee

Floaters in mud

Turn around and try to face yourself
You may think it looks like someone else
Turn around and face yourself (Turn around and face yourself)
Turn around and face yourself (Turn around and face yourself)"
Cold Ascending,Neurosis,anger,"Your eyes are stained - you're shining low
Candles burn on your star - slowdive in
Old stain (slide on)
Brain is cold ascending - crawl on bits
Away - firestarter - crow (slide on)"
Ложь,Lumen,anger,"Твоя сладкая речь страшней, чем картечь
Мне не уберечь головы
И я бросаю свой меч для того, чтобы лечь навсегда
В кровати травы

Твоего рта овал зияет, словно провал
И я так сильно устал видеть бег твоих глаз
Я не ожидал, что не смогу устоять
И, сражённый, упал враньём твоих фраз

Такая наглая ложь
Что я не в силах понять
Как можно так врать?
И я от злости
Забыл, как дышать
Как дышать. Как дышать

Один кричит ""белый"", другой кричит ""чёрный""
А на деле серый - идите к чёрту!
Чаще верю глазам и, всё реже, речи
И липким враньём здесь каждый блещет

Гордо задранный нос, всё как будто всерьёз
Он всегда прав во всём, а если что - не причём
Но из этих речей правды только два слова
Я опять закипел от того, что снова

Такая наглая ложь
Что я не в силах понять
Как можно так врать?
И я от злости
Забыл, как дышать
Как дышать. Как дышать"
Rough Trade,Stiff Little Fingers,anger,"Record boss said we would be a smash
Yeah, go straight to number one
He talked of hits and tours and lots of cash
And all the time it wasm't on
And I beleived every word was true
Yeah I swallowed every line
I believed every word he said
And I didn't find out in time

(Chorus)
We were betrayed, betrayed, betrayed
Betrayed, betrayed by rough trade lies

We quit our jobs and got all set to fly
Your promises had us riding high
But it's a dirty rough tough trade we find
""Yeah we agreed, but you hadn't signed
Sorry, son, gonna have to throw you
Our lawyers say we don't even know you""
Music is money, kids are no-account fools
You trade in us, we get betrayed by you

(Chorus)

And you're sitting there in you're London office
Snug and warm
And you think that you've won but
Just remember this is just round one
We're gonna do it our way
We're gonna make it on our own
Because we've found people to trust
People who put music first

(Chorus)

Why can't you tell us the truth?
Why did you lie to us?"
Dread Prevailed,The Red Chord,anger,"If you had not committed such acts a curse like me would not be sent upon you.
God cannot be captured in house of brick and stone.
Commanding the thoughts of millions.
Now the day of dread has come.
Disfigured there faces? Nothing will save you.
You have the nerve.
You will be added to the pile of friends behind you.
As we storm the ramparts.
Your flesh will be my earth.
Fell the voice of thunder.
The time of dread ash come.
Feel the weight of millions of crashing down on your kingdom.
Armies of million.
I am the law! The bodies fill the void.
You think your sly? You're not.
Mountains and homes crumble.
Your death will be mine.
Bodies lay broken.
Penance fills the air.
The wind will take it all away in time.
All the false icons turned to dust to persecute for the cruelty.
The greed.
Old man speak for yourself.
Not for me.
They satiate.
The indulge.
This is to prove a point.
Armies of millions.
I am the law.
All false icons, Turned to dust.
Don't you dare speak for me.
I can speak on my own.
Dread will prevail.
Dread will prevail."
Save Your Soul,She Wants Revenge,anger,"Tell me lover
Tell me where have you been
I've been sitting in this chair since half past ten
I've been wondering when
You might just walk through the door
And now we'll sit and talk about it

You don't listen
You don't even try very hard
Your good intentions
Well they don't seem to go very far
And now we're going tit for tat
Until somebody draws blood
But no one's going to sleep tonight

Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Cause nothing's going to change my mind
And nothing's going to change your ways

Tell me lover
Tell me where we went wrong
I'd beg forgiveness but I know that your will is strong
And there's the fact that
You're the one that took someone on the side
No no no no no
There's no difference, those omissions bear the sting of the past
Your indiscretions from the start determined if it would last
And now I'm standing on the verge of maybe drawing the line
And no one's going to sleep tonight

Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Cause nothing's going to change my mind
And nothing's going to change your ways

Nothing's going to change my mind
And nothings going to change your ways
Nothing's going to change my mind
And nothing's going to change your ways

Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Save your soul before it's too late
Cause nothing's going to change my mind
And nothing's going to change your ways"
Damien,Diablo,anger,"You take what you can and some more
You take more than they can give
Me, myself and I
That is the only way you know

You are the devil in disguise
The prayer in neon lights
You've always tried to take your chance
Of someone else's misery

Inside you the hunger never sleeps
You're always, you're always gaining more sympathy
You're something, something that makes me creep
You're now reaching supremacy

You don't know the word called shame
You don't even have a clue
I just wish that someone
Would shut your face for good

How low can you go with this
You sleazy son of a bitch
You've crossed the line of decency
But in the end we'll enjoy your tragedy

Inside you the hunger never sleeps
You're always, you're always gaining more sympathy
You're something, something that makes me creep
You're always gaining more sympathy
Reaching supremacy

God only sees (God only sees)
The philosopher who is lost
God only sees (God only sees)
The bitterness and broken trust
God only sees (God only sees)
The prophet blinded by lust
God only sees, God only

Inside you the hunger never sleeps
You're always, you're always gaining more sympathy
You're something, something that makes me creep
You're always gaining more sympathy
Reaching supremacy

God only sees (God only sees)
The philosopher who is lost
God only sees (God only sees)
The bitterness and broken trust
God only sees (God only sees)
The prophets blinded by lust
God only sees, God only sees
Damien"
Paha arkkitehti,Stam1na,anger,"Paha arkkitehti huutaa

Tunnen miehen väkivaltaisen
Hän pelon pilareita mielikuvin rakentaa
Hänellä on tavoite
Nimetä vihollinen

Kaivaa vallit vielä syvemmiksi
Varustaa kodit pommisuojiksi
Asentaa lukkoja takaoviin
Ja ovet takalukkoon

Paha arkkitehti
Rakentaa (Vinot tornit kaupunkiin)
Paha arkkitehti
Purkaa (Ja alkaa uudestaan)

Infrastruktuurin, tämän kulttuurin
Korkeimmat rakenteet
Hän hiekan päälle alustaa
Hänellä on tavoite
Manata perkele pois

Ja pelkoa kylvää
Koska jos hän pyytää, tehtaat syytää
Niin paljon savua, ettei kukaan näe
Mitä kisällit tekee
Mihin aseet suunnataan

Paha arkkitehti
Rakentaa (Vinot tornit kaupunkiin)
Paha arkkitehti
Purkaa (Ja alkaa uudestaan)

Paha arkkitehti
Rakentaa
Paha arkkitehti
Purkaa (Uudestaan)
(Uudestaan)
(Uudestaan)"
I Should've Known Better,Nickel Creek,anger,"It's been a long time comin' and the card were stacked.
It's been a long hard road to hell and back.
Your love meant trouble from the day we met.
You won every hand, I lost every bet.

Now you'd think that I should've known better.
Now I think that I should've seen it come.
My heart sank when I read that letter.
It sank like a stone, it sank like a stone.

A cup of cold coffee, yesterday's mail.
A bad love like this is always bound to fail.
Your love meant trouble from the day we met.
If you want your things, they're on the front step.

Now you'd think that I should've known better.
Now I think that I should've seen it come.
My heart sank when I read that letter.
It sank like a stone, it sank like a stone.

All alone in my kitchen.
All alone in my head.
Somethings you can't take back, once they've been said.
I don't know what this love is for.
All I know is I don't want it anymore.

Now you'd think that I should've known better.
Now I think that I should've seen it come.
My heart sank when I read that letter.
It sank like a stone, it sank like a stone."
Heat,DMX,anger,"Uh yeah yeah
Uh, grrr, uh, hot!
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
The heat is on what's my next move
Do I stick with the score, or get with the door
Feds got the drop in the back of the Uhaul
Snipers on the roof chance of getting away too small
Tell 'em like this look, it's gonna be a shoot out
Whoever make it out meet back at the new house good luck
If I don't see you again peace
Let's handle our business with these government police
You and you go out the front you take the back
You cover the first two and I'll take the sack
Boomer didn't make it, neither did Stan
Now it's three niggas, splitin' four hundred grand (aight)
We all feel the loss but enjoy the profit
The game is the same and nothin' gonna stop it
Most times you make it one time you won't
All a nigga could really do is have a vest under the coat (come on)
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
Me and my two mans gave money twenty grand
For a scam that'll get the condo in the sand
And chances of gettin' caught slim next to none
But now we like three deep need that extra gun
Bump into my man, I remember from up North
I remember he had principles and wasn't nothin' soft
Off to discuss, just what's going dizzy
Everybody got it, aight let's get busy
Run up in the bank bitch, hit the deck
Yo bust money, and get the keys off his neck (come here)
We on the clock, three mintues until we finished
Feds are on the way, but I'm tryin' to see spinach
In and out, duffle bag across the back
Extra long sports coat to cover up the mack
Feds they attack, I spit lead out niggas spread out
Run up on a civilian in his car, make him get out
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
High speed chasin', racin' through the streets
Death's in the air, I can taste it through the heat
My partner's goin' fast I don't think he's gonna last
And if he don't, I'ma hit his wife with his half
But that's the type of nigga I am this ain't just rappin'
I made it, he didn't, but hey, shit happens
What can I do, but go on livin'
Tree in front of the condo, I'll throw on a ribbon
Life goes on, that might sound wrong but hey
We all live by the rules of the game we play
Day to day, death is a possibility
The way I play is a vest stops you from killin' me
It's too hot to be in the heat 'cause it's on
Too hot to be in the streets so I'm gone
Go back to being discreet live long
'Til one day, either me or the heat is gone
Come on!
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
The heat is on (Are y'all really ready to fly)
The heat is on (Are y'all really ready to die)
The heat is on
Have your mother ready to cry
The heat is on (High)
The heat is on (You know)
The heat is on"
Growin' Up,Ice Cube,anger,"Ha ha, that's my shit
Turn it up
Uh, yeah

I hear a beat like this and think about growin' up
House parties with gangbangers showin' up
Represent your hood, everybody throw it up
They say, Cube, get on the mic, nigga, blow it up

I used to be lyrical, political
But now you want it sugarcoated, like cereal
First I met Dre, then I met Yella
Dr. Dre made me rap acapella

Me and Jinx did a show at Dudo's
With K-Dee, I think it was two shows
Then Dre introduced me to E
Cruisin' down the street in his red Jeep

He said, ""Yo, niggaz, we should flip it like this
'Cause them 'Boyz N the Hood' like the gangsta shit""
I put the pen to the pad, young nigga was raw
And told the world how we felt about the law
It was real

I see the happiness, all day every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

I see the happiness, all day, every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

Oh, shit, it's N.W.A.
Them niggaz on tour and they comin' our way
Little Eminem is still tucked away
In that trailer park, just bumpin' our tape

Jerry Heller tried to make his escape
I had to bounce, while other niggaz got raped
Same niggaz turned around and said fuck me
No, fuck you, 'cause I'm down with Chuck D

And I'm 'bout to do a movie up, a classic
When I hit the screen, nigga, it was magic
Never thought I'd see Eazy in a casket
Thanks for everythang, that's on everythang

I learned a lot of game from you
I like your son, he got his name from you
I tell him everythang that he need to know
If he ask my advice, I won't think twice, homey

I see the happiness, all day every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

I see the happiness, all day, every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

From 'Boyz N the Hood', to XXX, too
Everybody wanna know my next move
Fans all around say, ""We love you, Cube""
I wanna take time to say, I love you, too

I love all my fans 'cause they know I'm a man
And not a little boy or some fuckin' play toy
A lot of niggaz say, I grew up on you
And let me know if anybody fuck wit'chu

'Cause you talk a lot of shit about the red, black and blue
And how they treat a nigga called Katrina, did you see her?
White folks worry 'bout them fuckin' misdemeanor
While black people dyin' in that God damn arena

Just because I'm actin', nigga, never stop rappin'
It's in my blood, homey, I'ma keep the party crackin'
Money keep stackin 'til they put me in a casket
Who you think you fuckin' wit? Here's another classic

I see the happiness, all day every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

I see the happiness, all day, every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

I'm Ruthless, I'm Ruthlesso
Street Knowledge, Lench Mob
Westside, uh

I see the happiness, all day every day
I see the pain
Where am I? Growin' up in the hood
Back down memory lane

Uh, that shit, huh"
The Repellent Scars of Abandon and Election,Deathspell Omega,anger,"The feeling of destroying the capacity for inward peace, an insane dance
With the angels of innocence amidst thorns and in frenzy, the warmth of
A divine blessing, a daringness which prevailed over any imaginable fear
Hovering on the brink of a voluntary act of contrition, but soon all pales
Besides the cry this shattering truth wrests from all fellow men, there is
More to it than suffering and sounds of suffering, it is a process that only
The extinction of a divine soul could terminate. The eye can outstare neither
The sun, nor death... if i sought God it was in delirium and in the delight of
Temptation.

The idea of Salvation comes, i believe, from one whom suffering breaks
Apart. He who masters it, on the contrary, needs to be broken, to proceed
On the path towards the rupture.

Nothing of what man can know, to this end, could be evaded without
Degradation, without sin,- is it no burden to bear the repellent scars of
Abandon, of election?- it leaves but a state of supplication and deserted
Expanses, an absorption into despair. The existence of things cannot enclose
The death which it brings to me; the existence is itself projected into my
Death, and it is my death which encloses it. Am I deranged? Over and above
Quietism! Nurtured by the multitude of man's misfortune, a thousand halos
Like torches in the night of the spirit, a thousand traps, pitfalls of brimstone
And the empty sky, prostrated face against the earth in frantic laughter...

I was beyond withstanding my own ignominy. I invoked it and blessed it.
I progressed ever further into vileness and degradation. Am i resurging,
Intact, out of infamy?"
Bad Child,Annihilator,anger,"My father tried to tell me:
'Son just get your feet on the ground
You're in deep, way over your head, just turn your life around'
Poor mother, all I gave to her was pain, I didn't realize
The last thing I remember was the tears running from her eyes

Somethin' happened along the way (bad child)
Somethin' happened they'd always say (bad child)
A four, three, two, one
Go!
Yeah!

Playin' hookey, drinkin' octane, I didn't care anymore - no
Always runnin' against the grain, I was rotten to the core
I could live forever - until they threw me out the door
I was a sleeping on the floor

Somethin' happened along the way - I was a bad child (Bad child)
Somethin' happened they'd always say - I was a little wild
I was a bad child yeah!
Go!

My father tried to tell me:
'Son, just get your feet on the ground
You're in deep, way over your head'
I've turned my life around
My mother was the best to me, I guess I never realized
One thing that I'll never forget was the tears running from her eyes

Somethin' happened along the way - I was a bad child (Bad child)
Somethin' happened they'd always say - I was a little wild (I was a little wild)
Somethin' happened along the way
Now I'm livin' for a better day
Somethin' happened along the way - I was a bad child
Hahahahaha"
I Don't Wanna Go Out,Graham Coxon,anger,"I... don't wanna go out
I... don't wanna stay in
I'll sit inside my box and vandalise my dirty mind

I... don't wanna go out
I... don't wanna stay in
I'll sit inside my room and vandalise my dirty mind
I won't get any food but then I'll eat myself alive

I... am bumming you out
I... am doing you in
This mess is running in and out of every part of me
The less that I am wanting you, the more I want to see
You got a silver bullet, at my heart you're aiming
You're gonna shoot me down if I just start complaining
You only want me when you got me pleading
When you got me on my knees then you should stop my bleeding

Do it, no don't ever make me do it
There's hostility from everyone around, yeah
Do it, no don't ever make me do it
There's hostility from everyone around, yeah

Do it, no don't ever make me do it
There's hostility from everyone around, yeah

Do it, no don't ever make me do it
There's hostility from everyone around, yeah

Do it, no don't ever make me do it
There's hostility from everyone around, yeah"
Cosmogenesis,Obscura,anger,"For evermore the sphere of human thoughts
Reunites the abyss, god and light
Silence fill the emptiness of space
Humandkind degrades the human race

In the crawling inner mourning flame,
A reed of thousands souls regret
To form an eternal wave
Meeting of the spirits

That manmade shell of human fragments
Dissected, skinned show a new truth
Existence wraps into cold dimension
Lifeless breath of old revelation.

Bound into a stillborn level, built with any light
Consciousness, to them describe all sin
Consumed by fire, ascending to the night
Cosmogenesis
Six wings on the left, six wings on the right

Cosmogenesis, rotten universe
Cosmogenesis, void dimension
Cosmogenesis, breed of worlds
Cosmogenesis, final black sermon"
Smoke Ya Later,The Acacia Strain,anger,"The searchlights have stopped,
That means the helicopters
Have stopped searching for me.

I finally got to see the sky. (got to see the sky) x3

And I finally got to see the sky

Bright red with brilliance,
Just like the blood that came
Shooting out of your eyes.

Bright red like brilliance x2
Bright red

I finally got to see the sky x3
And i finally got to see the sky

If you wont look at me you wont look at anyone. x2

The comparison is astounding.
As the grass turned the color of the sky you told me you were sorry.
Turned the color of the sky, you told me you were sorry x2
Turned the color of the sky you told me you were wrong.

But thats what they all say.
Thats what they all say (thats what they all say)

On your knees and tell me you can live without me.

Your empty sockets will serve as my love. x2"
Figure It Out,Maroon 5,anger,"I'm happy you came to me first
Before the bubble burst
I'm happy you answered my calls
I'm bouncing off the walls
Impossible to be tamed
Her need... cellophane
I'm happy you like to play games
Why did you run away?

We could spend some time together
What he had he'll never know
Your boyfriend gives you no repect
And I can see your getting it
So let's figure it out let's go.

I'm happy you're so impulsive
Means that your passionate
I'm happy you're moving so fast
But will it ever last
I know you wanna break free
From this monotony
I'm happy you're coming with me
But by choice it's gotta be

We can spend some time together
What he has he'll never know
Your boyfriend gives you no repect
And I can see your getting it

So figure it out let's go

I'm happy you're changing your speed
Slow down and lay with me
On bottom but always discrete
Kneel down and kiss her feet
I'm happy your going too far
Full strength before we start
Sometimes you make it so hard
Scream loud as we come apart

We can spend some time together
What he had he'll never know
Your boyfriend gives you no repect
And I can see your getting it
So figure it out let's go

We can spend some time together
What he has he'll never know
Your boyfriend gives you no repect
And I can see your getting it
So figure it out let's go
Figure it out let's go
Figure it out let's go
Figure it out let's
Go."
Out On Bail,2Pac,anger,"Oh, I posted bail?
I'm out this motherfucker?
I can go?
Oh, fuck y'all eh, fuck the judge
Fuck the motherfuckin' district attourney and the prosecutor (fuck you!)
And fuck you motherfuckers in the jury box (fuck you!)
Fuck all y'all
Cause I'm out on motherfuckin' bail
Y'all ain't never gonna see me in this motherfucker again
Drop that shit em!
Let these old punk ass bitches know how we runnin' this shit
Niggaz ain't going back to court you stank ass bitches

Im stuck in jail the DA's tryin' to burn me
I'd be out on bail if I had a good attorney
Wanna label me a criminal and cuff me up
Got a pocket full of money so they rough me up

I ain't trippin' in the county and I'm mad as fuck
Got a record so they put me with the baddest bunch
Everybody wanna talk cause I'm rappin'
They askin' me what happened
Is it true you did a flick with Janet Jackson

I can't sleep they takin' polaroids
And I'm tryna to use the phone but they makin' noise
Man I wish I had my glock cause it's major
I'm makin' shanks out the plastics in razors

These motherfuckers won't leave me alone that's my word
Bout to turn a violation to a motherfuckin' murder
I'm makin' collect calls to my old bitches
Send mo' pictures and make me some more riches

To all the suckers on the block talkin' shit while I was locked up
Be prepared to get socked up
Cause the game is deep and the fame is brief
And you bullshittin' bitches ain't changin' me
I came straight up out the gutta I was saved from hell
I'm a thug I was raised in jail
Now I'm out on bail

Out on Bail (You know what fuckin' time it is)
ThugLife will never fail (I'm out on bail)
Thuglife niggaz (I'm going straight to 50, 000!)
Thuglife niggaz (I'm out on bail)
Out on Bail (Hey, hand me some motherfuckin' Colt 40's from the fridge nigga)
ThugLife will never fail (Cause I'm out on bail)
Thuglife niggaz (Hey, pass me my motherfuckin' Rolex)
Thuglife niggaz (Yes bitch that's a President)

Stuck in jail and mad as a bitch
I'd be out on bail if it wasn't for the snitch
Runnin' wild thru the streets like I'm loco
And fuck the punk police and they chokeholds

I got no love in my heart cause I'm heartless
Mobbin' in the park after dark wanna start shit
Rippin' up the scene as a teen I was at it (but hey)
And sellin' products to the addicts cause they gotta have it

I was a well-known thug and I gotta lotta love
Hangin out with the OG's shootin' up the clubs
And mama told me don't hang with the homies
But they got me if they need me then it's on G

Got me sittin' in the cell a five by seven
Will I finally get to go to ghetto heaven
Got my bitches on the outside writin' me letters
And they tell me they love me and the shit you'll get better
I don't believe her cause I just got the news on the wire
Take it how you want it but your bitch is on fire

I gotta be a player so I stay strong
Cause I know that I won't be away long
And when I finally do hit the fuckin' streets I'ma handle this
A thug nigga gettin' scandalous
I'm on bail

Out on Bail
ThugLife (see) will never fail (Out on bail!)
Thuglife niggaz (You know what time it is)
Thuglife niggaz (I'm out on bail)
Out on Bail (Y'all don't need to know about...)
ThugLife will never fail (You know, Out on bail)
Thuglife niggaz (Y'all Blow that shit - Get me up out this)
Thuglife niggaz (Yo, EM! Get me up out of this motherfucker man!)
Out on Bail (These motherfuckers are harrasing me and that ain't cool)
ThugLife will never fail
Thuglife niggaz
Thuglife niggaz
Out on bail
I'm out on bail, I'll see ya motherfuckers at the next show, 2pac, the media is my bitch
It's that famous shit, you know?
Real thug shit
Real live thug shit, genuine, you know what I'm sayin'
I wouldn't waste your motherfuckin' time with no bullshit baby
Trust me, It's that real shit
I'm talkin' about that shit you never tell your grandkids about, you know?
I ran with a thug nigga, believe that
This my motherfuckin' nigga Em on dem motherfuckin' boards in case your wonderin'
We doin' this shit hell motherfuckin' yeah
An ounze of that shit sittin' in your motherfuckin' lac
Now press rewind nigga!"
Rise,Primal Scream,anger,"A life of work is a life of crime
You pay your taxes, you serve your time
All that money, where does it go?
Schools, prisons, hospitals, roads

Government funding of military science
Genetically engineered ultraviolent
DNA, killer genes to program microchips, marines
See stealth bombers and tomahawks on CNN, pay-per-view war

Rise, rise
Rise, rise
Rise, rise
Rise, rise

Hey, wage slave, where's your profit share?
They got you down, they're gonna keep you there
Freeze your mind, metamorphose
Cocaine karma in the heroin zone

Multinational life is cheap
Soldiers, workers, maggots meat
Get on up, protest riot
Are you collateral damage or a legitimate target?

Rise, rise
Rise, rise
Rise, rise
Rise, rise

Sweet 16 dehumanized, deaths head factory suicide
Sweet 16 dehumanized, deaths head factory suicide
Sweet 16 dehumanized, deaths head factory suicide
Sweet 16 dehumanized, deaths head factory suicide

Rise, rise
Rise, rise
Rise, rise
Rise, rise"
Unfulfilled,Quicksand,anger,"To stand the test of time,
To stand alone.
To be without the glue,
That keeps us glued together.

And feeling so excrementable.
It only goes to show you,
How many ways you don't know you.
When the bad sets in,

I could use some sleep.
Resting, falling,
Falling deeper than deep.
We miss the point to carry on,

We miss the point.
To carry on where.
Things you love but did not get.
And all the times you've been upset by,

Unfulfilled dreams and visions,
And the guilt for your wrong decisions.
It's so hard to pry away.
Pry out from under all the lies,

And distractions of the world,
You've seen what they can do,
But you can't see your way out.
We miss the point to carry on.

All thing fall through.
That how it feels, when you hear the sound of Disappointment.
So unsatisfied,
When the sight's set higher.

Some can't achieve, don't believe,
There is light at the end at all.
There's no light.
Time to reach out for what's real,

It's easy to miss, insist,
That you shouldn't always follow the first thing you feel."
Nothing Dreadful Ever Happens,Every Time I Die,anger,"Forget everything i'm about to say.
It's important you appear startled.
I didn't survive the crash.
This is nothing personal.
I just had to stop shaking.
I'm sorry, but i don't feel as if i'm in any shape to comfort you."
Talkin' 'Bout You,The Animals,anger,"The Animals
Miscellaneous
Talkin' 'Bout You

Ah ah ah ah da da dam da
Ah ah ah da dam da da
Ah ah ah ah ah ah ah
Ah ah ah ah ah ah...
You always loved me (talkin' 'bout you)
In my way (talkin' 'bout you)
Nobody but you (talkin' 'bout you)
Talkin' 'bout you (talkin' 'bout you)
You always loved me (talkin' 'bout you)
In my way (talkin' 'bout you)
Nobody but you (talkin' 'bout you)
I do mean you... you, you, you (talkin' 'bout you)
You always loved me (talkin' 'bout you)
In my way (talkin' 'bout you)
You always stay (talkin' 'bout you)
Every night and every day (talkin' 'bout you)
Nobody but you (talkin' 'bout you)
I do mean you (talkin' 'bout you)
Talkin' 'bout you (talkin' 'bout you)
Oh, oh, yeah (talkin' 'bout you)
I'm gonna talk (talkin' 'bout you)
Talkin' 'bout you (talkin' 'bout you)
Every day (talkin' 'bout you)
Every night (talkin' 'bout you)
You know on Monday (talkin' 'bout you)
I'm gonna talk (talkin' 'bout you)
On Tuesday (talkin' 'bout you)
I'm gonna talk (talkin' 'bout you)
All day Wednesday (talkin' 'bout you)
I'm gonna talk (talkin' 'bout you)
Every day
Every day
Every night
It's all right
Gonna talk
Talkin' bout you
Tell my mother
Tell my brother
Tell my sister
Tell my father (shout)
All right now (shout)
Come on (shout)
You make me (shout)
Jump up now (shout)
You're making me (shout)
I'm gonna (shout)
Jump up now (shout)
Come on now (shout)
Everybody (shout)
Everybody (shout)"
"Snap Your Fingers, Snap Your Neck",Demon Hunter,anger,"Nothing breeds more contempt for this world
Than the memories now formed
Every moment a new seed
Is grown to no reason, the trouble unfolds
For the trials of today
I'm no jury, really don't care how you feel
The pleasant notion of miraculous change
Drifts into multiple jeers

Jeers
Jeers

You want the good life
You break your back
You snap your fingers
You snap your neck

Suckers drip through my hands
Washed of moments unborn
All the spaces between bleed
A tribute to a sacrament never exposed
A message to the forces
I have no pity, don't know how thankful to feel
Expectations of my daily bread
Gives me the hunger to steal

You want the good life
You break your back
You snap your fingers
You snap your neck

You want the good life
You break your back
You snap your fingers
You snap your neck

You want the good life
You break your back
You snap your fingers
You snap your neck

You want the good life
You break your back
You snap your fingers
You snap your neck

You want the good life
You break your back
You snap your fingers
You snap your neck

Snap your fingers, snap your neck
Snap your fingers, snap your neck
Snap your fingers, snap your neck
Snap your fingers, snap your neck"
