track,artist,final_emotion
Ten Storey Love Song,The Stone Roses,joy
The False Contender,Camera Obscura,reflective
Hold On,Angus & Julia Stone,neutral
A Dedication,Washed Out,calm
Paradise,Wild Nothing,excitement
Grow Till Tall,Jónsi,reflective
Firesuite,Doves,calm
Tears in the Typing Pool,Broadcast,reflective
Montana,Tycho,reflective
Falling,Julee Cruise,reflective
For the Damaged Coda,Blonde Redhead,reflective
Für Hildegard Von Bingen,Devendra Banhart,joy
The Other Side of Mt. Heart Attack,Liars,joy
Cosmogony,Björk,reflective
Tugboat,Galaxie 500,joy
Intro//A Cosmic Drama,Flying Lotus,joy
The Boxer,Editors,neutral
Sway,Lostprophets,reflective
The Word 'Hurricane',Air,calm
Dark Star,Poliça,calm
Free as a Bird,The Beatles,reflective
Champagne Coast,Blood Orange,joy
Beauty Lies in the Eye,Sonic Youth,excitement
The Suburbs,Mr. Little Jeans,joy
Life In The Vivid Dream,Grimes,sadness
Childhood,Beach House,calm
Falling Slowly,Glen Hansard,joy
Ghost Mountain,The Unicorns,joy
Art Decade,David Bowie,reflective
Shadows,Au Revoir Simone,joy
Party Talk,Craft Spells,joy
How Do,Sneaker Pimps,joy
Black Rainbow,St. Vincent,joy
Dragonflys,Devendra Banhart,joy
Meet Me By The Water,Rachael Yamagata,calm
Bear Hides and Buffalo,CocoRosie,joy
Wolf & I,Oh Land,joy
What Would I Want? Sky,Animal Collective,joy
Indoor Swimming at the Space Station,Eluvium,joy
The Glorious Nosebleed,Circa Survive,reflective
I'm Not,Panda Bear,calm
Hengilás,Jónsi,reflective
Cat Piano,Seabear,calm
Movie Theme,Beck,calm
When We're Dancing,Twin Shadow,joy
Senior Living,Röyksopp,reflective
A Punchup at a Wedding. (No No No No No No No No.),Radiohead,reflective
The Cage,Travis,calm
Stork & Owl,TV on the Radio,reflective
Sutphin Boulevard,Blood Orange,joy
Shine,Depeche Mode,joy
Honey or Tar,CocoRosie,reflective
Squares,The Beta Band,calm
The Lucky One,Au Revoir Simone,joy
Where is my mind,Maxence Cyrin,reflective
Scatterbrain. (As Dead as Leaves.),Radiohead,reflective
Quiet,Rachael Yamagata,reflective
The Sea Is Calm,CocoRosie,reflective
The Morning Fog,Kate Bush,reflective
If My Heart Was a House,Owl City,joy
Dead To Me,Kali Uchis,reflective
Sleep,Poets of the Fall,calm
Once Upon a Dream,Lana Del Rey,reflective
Rosa,Grimes,joy
American Daydream,Electric Guest,calm
My Juvenile,Björk,joy
Easy/Lucky/Free,Bright Eyes,reflective
Blinking Pigs,Little Dragon,joy
Electric Blue,Arcade Fire,joy
From the Sun,Unknown Mortal Orchestra,joy
Acrid Avid Jam Shred,Aphex Twin,reflective
Never Follow Suit,The Radio Dept.,excitement
She's My Baby,Mazzy Star,reflective
Lonely Press Play,Damon Albarn,reflective
Holes,Mercury Rev,calm
Entropy,Grimes,reflective
Turning Tabels,Adele,joy
Ezra,Flume,joy
Hey Mama Wolf,Devendra Banhart,joy
Crime,Real Estate,joy
Mandala,Circa Survive,reflective
Love,Daughter,reflective
I Wish I Was the Moon,Neko Case,reflective
Ready For The World,How to Dress Well,joy
Half Asleep,School of Seven Bells,reflective
Drifter,Wild Nothing,joy
Club Montepulciano,Hooverphonic,joy
The Waxen Pith,Aphex Twin,excitement
Unreflected,Mazzy Star,reflective
Virus,Björk,reflective
Constant Surprises,Little Dragon,joy
The Prince of Parties,Flight of the Conchords,joy
Im Not,Panda Bear,reflective
Keep Quiet,Hot Chip,calm
Fallen Snow,Au Revoir Simone,joy
Alphabetical,Phoenix,calm
Dilettante,St. Vincent,excitement
Sing Sang Sung,Air,calm
Kemikal Girl,Flunk,joy
Some Velvet Morning,Slowdive,reflective
The Stars in Spring,Epic45,joy
I Wanna Go,Summer Heart,joy
Hex Girlfriend,Neon Indian,calm
Outer,Grimes,sadness
Frou-Frou Foxes in Midsummer Fires,Cocteau Twins,calm
Lull,Radiohead,calm
Grandloves (feat. Young Magic),Purity Ring,joy
Silver Trembling Hands,The Flaming Lips,reflective
Nowhere Near,Yo La Tengo,joy
Too Real,Black Rebel Motorcycle Club,joy
Lissoms,Toro y Moi,joy
Coming Down,Dum Dum Girls,joy
Sleep Baby Sleep,BROODS,joy
Anthems For A Seventeen-year-old Girl,Broken Social Scene,joy
Wasted,Mazzy Star,reflective
David,The Radio Dept.,joy
One More Time,The Cure,reflective
Bisounours,CocoRosie,reflective
Beautiful Calm Driving,Sia,calm
Spring Hall Convert,Deerhunter,joy
Strange Things Will Happen,The Radio Dept.,reflective
Biggy,Warpaint,sadness
Snow & Taxis,Gold Panda,joy
Blank Pages,The Album Leaf,calm
Dye,Tycho,calm
Icarus,White Hinterland,reflective
Devotion,Jessie Ware,reflective
Dead Things,Emilíana Torrini,joy
Poison Cup,M. Ward,calm
Keen on Boys,The Radio Dept.,joy
Pessimist,Wild Nothing,neutral
Goodnight Lovers,Depeche Mode,reflective
Corporeal,Broadcast,joy
All I Know,Washed Out,excitement
Behind the Drapes,Mew,reflective
Lifted Up (1985),Passion Pit,joy
Same Dream China,Gold Panda,calm
Beach,Mew,joy
La la la,The Bird and the Bee,joy
Ceremony,Galaxie 500,reflective
Fog,Radiohead,reflective
The Sparrow Looks Up at the Machine,The Flaming Lips,neutral
sever,iamamiwhoami,sadness
Thanks Vision,Toro y Moi,calm
Perfection,Oh Land,joy
The Land Between Solar Systems,múm,joy
24 Hours,Sky Ferreira,reflective
Arrival of the Birds,The Cinematic Orchestra,reflective
5-4=Unity,Pavement,joy
Easy,Emilíana Torrini,reflective
Black Lake,Emancipator,reflective
All Dried Up,Phantogram,sadness
Introducing Palace Players,Mew,joy
Wildflower,Beach House,joy
Tomorrow,Ladytron,reflective
My Ma,Girls,joy
Ask Her to Dance,Coconut Records,calm
Heartsigh,Purity Ring,sadness
Quand Vas Tu Rentrer?,Melody's Echo Chamber,joy
Now There's That Fear Again,múm,reflective
Mohammed,The Dandy Warhols,reflective
Weregild,Grimes,sadness
Tongues,Joywave,reflective
See In You,The Album Leaf,reflective
♥,Baths,neutral
Marble Halls,Enya,calm
Float,Pacific Air,joy
Good Morning Revival,Good Charlotte,calm
The Noose of Jah City,King Krule,reflective
Nothing Matters When We're Dancing,The Magnetic Fields,joy
Isn't It a Pity,Galaxie 500,reflective
Bored Games,Wild Nothing,joy
Dream Fortress,Grimes,neutral
"Road, River and Rail",Cocteau Twins,sadness
DMT,XXYYXX,joy
Touch,Shura,calm
Running to the Sea,Röyksopp,joy
Fulfill the Dream,Minus the Bear,joy
Today Has Been Ok,Emilíana Torrini,reflective
Lullaby,Sia,calm
Wild Horses,The Sundays,reflective
When We Fall,Grouper,reflective
Nice Day For A Sulk,Belle and Sebastian,calm
Celia's Dream,Slowdive,calm
Inner Flight,Primal Scream,reflective
Country Yard,The Vines,reflective
Judas,The Verve,reflective
10:37,Beach House,joy
Three Blocks,Real Estate,calm
Only in My Dreams,Ariel Pink's Haunted Graffiti,calm
La Petite Fille De La Mer,Vangelis,joy
Wow,Beck,joy
Iced Cooly,Boards of Canada,reflective
Moments with Oliver,Rachael Yamagata,calm
For 12,Other Lives,reflective
Apologetic Shoulder Blades,Baths,joy
Emancipation,Helios,reflective
Teese,Warpaint,reflective
Waving Flags,British Sea Power,joy
On My Own,Ulrich Schnauss,reflective
A Violent Yet Flammable World,Au Revoir Simone,joy
Lemonade,Braids,joy
Heart,Stars,joy
So Tonight That I Might See,Mazzy Star,joy
Little Bird,Imogen Heap,reflective
First Love Never Die,SoKo,reflective
When Will You Come Home,Galaxie 500,calm
White Lips Kissed,Mew,reflective
Melissa Juice,Boards of Canada,joy
Enchanted,Patrick Wolf,calm
"Kick, Push II",Lupe Fiasco,reflective
Isn't It A Lovely Night?,The Decemberists,reflective
In Ear Park,Department of Eagles,joy
Blue Moon,Elvis Presley,reflective
Zoetrope,Boards of Canada,calm
Sunshine,CocoRosie,joy
"""En Gallop""",Joanna Newsom,calm
I'll Take You On,Howie Day,calm
Against Privacy,Cold War Kids,neutral
Oh Yeah,Bat for Lashes,sadness
Let Me Go,Phantogram,joy
"Cry, Cry",Mazzy Star,reflective
Ghosting,Freelance Whales,calm
Surf's Up,The Beach Boys,neutral
Fools In Love,Inara George,calm
Saturdays (Reprise),Cut Copy,joy
Feel Good Lost,Broken Social Scene,joy
Your Skull Is Red,Team Sleep,reflective
Public Displays of Affection,Morcheeba,calm
Snowstorm,Galaxie 500,neutral
Song of Los,Apparat,joy
I Ran Away,Coldplay,joy
I Was a Landscape in Your Dream,of Montreal,reflective
Into The Sea,The Album Leaf,reflective
Hot Dreams,Timber Timbre,joy
Vanishing,Architecture in Helsinki,joy
Hideaway,Karen O and the Kids,reflective
Autobahn Music Box,Cut Copy,joy
Hurting,Friendly Fires,joy
Rafting Starlit Everglades,Baths,joy
Broken Arrow,The Album Leaf,reflective
Moon Pulls,múm,reflective
The Bottom Line,Depeche Mode,joy
Tonight,The Avalanches,joy
Through the Grass,Wild Nothing,excitement
Adversity,Beach Fossils,sadness
Katy Song,Red House Painters,neutral
Ballad Of Sister Sue,Slowdive,neutral
My Love,The Bird and the Bee,excitement
Suburban Dogs,Real Estate,reflective
Saturday,Yo La Tengo,reflective
Some Velvet Morning,Nancy Sinatra,reflective
Away With Murder,Camera Obscura,reflective
Close,Télépopmusik,joy
Easy Tiger,Depeche Mode,calm
Get Lost,Patrick Wolf,joy
Coming home,Röyksopp,reflective
Where Do You Run To,Vivian Girls,joy
Crystal Ball,Grimes,excitement
Weight,Isis,joy
Know Me,Frankie Rose,reflective
"Hold On, Be Strong",OutKast,reflective
Clash The Truth,Beach Fossils,reflective
Tidal,Imogen Heap,excitement
Cold Nites,How to Dress Well,joy
A Dream,Cut Copy,joy
Arms,Seabear,joy
REALiTi (demo),Grimes,reflective
Scarlet Ribbons,Róisín Murphy,joy
Rattlesnakes,Emancipator,reflective
Stay Now,Jem,calm
Octet,Deerhunter,reflective
The Crystal Cat,Dan Deacon,reflective
Collapsing at Your Doorstep,Air France,joy
Let's Save Tony Orlando's House,Yo La Tengo,calm
Swoon,Imogen Heap,excitement
James,Camera Obscura,reflective
Out of Sight,Moderat,excitement
Librarian,My Morning Jacket,joy
Strange Nostalgia for the Future,Cut Copy,reflective
This Isn't Our Parade,Santigold,reflective
Sea Song,Doves,joy
Swallow It,Brandon Flowers,joy
Kill Kill,Lana Del Rey,excitement
Shade and Honey,Sparklehorse,calm
Hall,Baths,joy
Ones Who Love You,Alvvays,excitement
Goddess On A Hiway,Mercury Rev,joy
On the Floor,Brandon Flowers,joy
Good Day Sunshine,Slowdive,sadness
Drifting In and Out,Porcelain Raft,sadness
Asleep and Dreaming,The Magnetic Fields,calm
Ochrasy,Mando Diao,joy
Little Dreams,Ellie Goulding,joy
Station Approach,Elbow,joy
Will You Come and Fetch Me,of Montreal,excitement
Echo's Answer,Broadcast,reflective
Apogee,Tycho,joy
I'll Meet You There,Owl City,calm
"Holy Fucking Shit: 40,000",Have a Nice Life,joy
Vacation,Beach Fossils,joy
Today Is the Day,Yo La Tengo,calm
Asleep On A Train,Radical Face,joy
The Sensual World,Kate Bush,excitement
Marilyn,Bat for Lashes,sadness
Solstice,Björk,sadness
The Carnival Is Over,Dead Can Dance,reflective
Winter Beats,I Break Horses,calm
Fragment II,Library Tapes,reflective
Turning Into Stone,Phantogram,joy
Sordid Affair,Röyksopp,neutral
Lonely Hearts Club,Marina & the Diamonds,excitement
Street,Jamie Woon,joy
Days of Candy,Beach House,excitement
To Die in L.A.,Lower Dens,joy
We Might Feel Unsound,James Blake,calm
Take Care,Hot Chip,joy
Epistemology,M. Ward,joy
Wings,Haerts,joy
Wherever I Go,The Album Leaf,calm
Safe in the Steep Cliffs,Emancipator,reflective
Dancing Behind My Eyelids,múm,reflective
Fuzzy Blue Lights,Owl City,joy
Clair De Lune,Flight Facilities,joy
Rejoicing in the Hands,Devendra Banhart,reflective
fountain,iamamiwhoami,joy
Inner Meet Me,The Beta Band,calm
Drop,Cornelius,joy
Erik's Song,Slowdive,reflective
Louise Louisa,Mew,joy
Hawaii,Blackbird Blackbird,reflective
Gemini,Wild Nothing,joy
Angel Down,Lady Gaga,neutral
Disappear,Mazzy Star,reflective
Old Piano,Frou Frou,reflective
Mango,Sascha Funke,reflective
Vokuro,Björk,reflective
A Song for Our Grandfathers,Future Islands,joy
Little Eyes,Yo La Tengo,calm
Believer,John Maus,reflective
Pandora,Cocteau Twins,reflective
Real Life,Tanlines,reflective
Kolniður,Jónsi,calm
The Stars,Patrick Wolf,joy
Rock and Roll Night Club,Mac DeMarco,reflective
Rugla,Amiina,calm
Stomach Song,Broken Social Scene,joy
All Around and Away We Go,Twin Sister,joy
All The Flowers,Bibio,joy
Sagrad прекрасный,Grimes,reflective
Donimo,Cocteau Twins,joy
Come Down to Us,Burial,joy
Off You,The Breeders,reflective
Lazy Lover,Brazilian Girls,excitement
Thursday's Child,David Bowie,calm
I Don't Like It Like This,The Radio Dept.,joy
Incantations,Massive Attack,reflective
The Haunted Man,Bat for Lashes,sadness
Jag vet en dejlig rosa,Robyn,reflective
Dark Halls,Au Revoir Simone,reflective
Sabali,Amadou & Mariam,joy
"Georgia, Georgia",Elliott Smith,neutral
Find You,Zedd,joy
Trinity's Crying,CocoRosie,joy
Fok,Ólafur Arnalds,reflective
Know the Way (outro),Grimes,joy
I Couldn't Sleep,Au Revoir Simone,calm
Waves,Nouvelle Vague,reflective
Washington School,Atlas Sound,reflective
I'd Like to Walk Around in Your Mind,Vashti Bunyan,calm
Blue Skied An' Clear,Slowdive,calm
Worrywort,Radiohead,calm
A Century of Fakers,Belle and Sebastian,joy
Rhymes Of An Hour,Mazzy Star,calm
You Won't Be Missing That Part of Me,Melody's Echo Chamber,excitement
Careless Love,Camera Obscura,joy
Time and Space,The Cinematic Orchestra,joy
Avenue,Agnes Obel,reflective
Gallows,CocoRosie,sadness
Fortune,Little Dragon,calm
Lost It To Trying,Son Lux,reflective
Placeholder,Elliott Smith,sadness
Ugla,Amiina,joy
Altibzz,Autechre,reflective
Bobby,Youth Lagoon,joy
Backyards,Broken Social Scene,reflective
34 Ghosts IV,Nine Inch Nails,joy
Dreaming,Goldfrapp,joy
Kid Klimax,Atlas Sound,joy
Quitters Raga,Gold Panda,joy
Never Gonna Change,BROODS,joy
Messes of Men,mewithoutYou,joy
Second Skin,The Chameleons,reflective
Lady Daydream,Twin Sister,calm
Drive You Home,Garbage,reflective
Departure,Baths,sadness
The Yellow Windows of the Evening Train,Porcupine Tree,calm
New Disaster,Elliott Smith,neutral
Lazy Calm,Cocteau Twins,sadness
Someday,Tegan and Sara,joy
I've Been Trying,DJ Shadow,joy
Untangle,Four Tet,joy
Stars,Au Revoir Simone,joy
Brighter,Slowdive,reflective
Sao Paulo,Morcheeba,reflective
Rainbow,Oh Land,joy
My Warm Blood,The Microphones,joy
Birds and the Bees,The Bird and the Bee,calm
K/Half Noise,múm,calm
Gravity,Jamie Woon,joy
Silas the Magic Car,Mew,calm
Lunar Sea,Camera Obscura,calm
Anywhere Anyone,Dntel,reflective
Iamundernodisguise,School of Seven Bells,sadness
The Selfish Giant,Damon Albarn,joy
Heaven,I Monster,joy
Golden Age,Beach Fossils,joy
Ones,Islands,reflective
Need You Tonite,Mylo,calm
Another Likely Story,Au Revoir Simone,calm
Miracle,CocoRosie,calm
Bleed,Animal Collective,neutral
Bisou Magique,Melody's Echo Chamber,joy
Jetstream,Doves,reflective
Endless Shore,Melody's Echo Chamber,joy
Dream,Michael Bublé,calm
To the Lighthouse,Memoryhouse,calm
Swingin' Party,Kindness,joy
While The Cold Winter Waiting,Trentemøller,reflective
City Bird,of Montreal,calm
Home,Sheryl Crow,reflective
Planet Health,Chairlift,reflective
Before We Begin,Broadcast,joy
Grandloves,Purity Ring,reflective
Bill Murray,Phantogram,calm
Stranger Than Earth,Purity Ring,reflective
Swan Song,Grimes,neutral
The Missing,Deerhunter,joy
Landslide,Oh Wonder,joy
Don't See The Sorrow,Au Revoir Simone,calm
Scribbled paper,Little Dragon,joy
First Love Song,Luke Bryan,joy
Bed Space,Darwin Deez,excitement
Obscured,The Smashing Pumpkins,reflective
No Excuses,Air France,joy
Gambang,Grimes,reflective
Be My Angel,Mazzy Star,reflective
Take Everything,Mazzy Star,reflective
No Right Thing,Blood Orange,joy
BTSK,MS MR,joy
Explode,Uh Huh Her,excitement
Beauty Mark,Charlotte Gainsbourg,joy
Farewell / Goodbye,M83,calm
Spirits,Jamie Woon,excitement
Missing You,Slowdive,calm
If I Didn't Care,The Ink Spots,joy
Sorglega,Sigur Rós,reflective
Fuck Em Only We Know,Banks,reflective
Rheya,Wild Nothing,joy
Ralome,Plaid,reflective
Early Birdie,Owl City,calm
Stay Golden,Au Revoir Simone,calm
Beauty*2,Ladytron,reflective
What Me Worry?,St. Vincent,joy
Aegina Airlines,The Dead Texan,joy
Words I Don't Remember,How to Dress Well,reflective
Brainville,The Flaming Lips,calm
Enough,Cat Power,reflective
Me And Jane Doe,Charlotte Gainsbourg,joy
Paracosm,Washed Out,reflective
Always A Relief,The Radio Dept.,calm
Autumn Shade II,The Vines,joy
You Stopped Making Sense,The Radio Dept.,reflective
Sleeps With Butterflies,Tori Amos,joy
Sun & Ice,The Field,joy
Who'd You Kill Now?,Frightened Rabbit,calm
A Calf Born In Winter,Khruangbin,calm
Scenic World (Version),Beirut,joy
Down Side Of Me,CHVRCHES,excitement
The Storm,Doves,calm
The Body,The Pains of Being Pure at Heart,joy
Am I Only,Black Rebel Motorcycle Club,sadness
Bluebeard,Cocteau Twins,joy
Blue Bell Knoll,Cocteau Twins,reflective
Whenever,Black Eyed Peas,excitement
Ain’t Your Right,Sky Ferreira,reflective
Change of Heart,El Perro del Mar,reflective
∆∆∆∆Rasik∆∆∆∆,Grimes,reflective
The Artifact & Living,Michael Andrews,joy
Cigarette in Your Bed,My Bloody Valentine,excitement
Seoul,Amiina,calm
New Terrain,Mew,joy
Here Sometimes,Blonde Redhead,calm
Mayla,Edward Sharpe & The Magnetic Zeros,excitement
How Lester Lost His Wife,of Montreal,excitement
Motion Picture Soundtrack,Radiohead,reflective
Starálfur,Sigur Rós,reflective
Pagan Poetry,Björk,joy
Go Outside,Cults,joy
When I Grow Up,Fever Ray,reflective
Flugufrelsarinn,Sigur Rós,reflective
Lazuli,Beach House,reflective
Orinoco Flow,Enya,reflective
May It Be,Enya,calm
Swept Away,The xx,reflective
Heysátan,Sigur Rós,reflective
Avalon,Sigur Rós,reflective
Daily Routine,Animal Collective,joy
Revival,Deerhunter,reflective
In the Morning of the Magicians,The Flaming Lips,reflective
Obedear,Purity Ring,sadness
Be a Body (侘寂),Grimes,sadness
Hey Now,London Grammar,reflective
Caribbean Blue,Enya,calm
The Ice Is Getting Thinner,Death Cab for Cutie,reflective
An Ending (Ascent),Brian Eno,reflective
Undertow,Warpaint,calm
Vowels = Space and Time,Grimes,reflective
Mílanó,Sigur Rós,reflective
Like Someone in Love,Björk,joy
Atlantic,Keane,reflective
Visiting Statue,Grimes,sadness
Like Real People Do,Hozier,sadness
Love Is to Die,Warpaint,sadness
Prescilla,Bat for Lashes,neutral
Symphonia IX (My Wait Is U),Grimes,neutral
Peace of Mind,Bat for Lashes,neutral
Aurora,Björk,sadness
Með suð í eyrum,Sigur Rós,reflective
Ameno,Era,reflective
The Moment I Said It,Imogen Heap,reflective
Are You a Hypnotist??,The Flaming Lips,reflective
Near Light,Ólafur Arnalds,sadness
Lorelei,Cocteau Twins,joy
Unison,Björk,joy
Crawlersout,Purity Ring,sadness
Heaven or Las Vegas,Cocteau Twins,reflective
On the Sea,Beach House,sadness
Viðrar vel til loftárása,Sigur Rós,joy
Belispeak,Purity Ring,sadness
Angel Echoes,Four Tet,reflective
Nocturne,Secret Garden,calm
Two Planets,Bat for Lashes,joy
Ekki Múkk,Sigur Rós,sadness
Special,Mew,joy
Sun in My Mouth,Björk,joy
Video Girl,FKA twigs,excitement
Writer In the Dark,Lorde,sadness
Loft Music,The Weeknd,reflective
Pleasure Is All Mine,Björk,neutral
Hard to Find,The National,reflective
Crystalline,Björk,sadness
Melon Yellow,Slowdive,reflective
Give A Little Love,Noah and the Whale,joy
The Mystic's Dream,Loreena McKennitt,calm
Heysatan,Sigur Rós,reflective
Lights On,FKA twigs,neutral
A Day Without Rain,Enya,reflective
We No Who U R,Nick Cave & The Bad Seeds,sadness
Sugar For The Pill,Slowdive,sadness
Eyes,The Naked and Famous,sadness
Anywhere Is,Enya,calm
Chord Left,Agnes Obel,neutral
Some Things Last a Long Time,Beach House,neutral
Elephants,Warpaint,reflective
Adelma,Grizzly Bear,sadness
Water Me,FKA twigs,sadness
Preface,FKA twigs,neutral
Apply,Glasser,reflective
"How Big, How Blue, How Beautiful",Florence + the Machine,reflective
Hanging On,Active Child,reflective
The Interview,AFI,reflective
A Reminder,Radiohead,reflective
Set Your Arms Down,Warpaint,sadness
Skellig,Loreena McKennitt,sadness
Lose It,Austra,reflective
Caught a Long Wind,Feist,reflective
Metal & Dust,London Grammar,reflective
Boadicea,Enya,calm
Dauðalogn,Sigur Rós,sadness
Now We Are Free,Lisa Gerrard,reflective
Pitch the Baby,Cocteau Twins,sadness
Adrift,Tycho,reflective
This Woman's Work,Kate Bush,reflective
Nightmusic (feat. Majical Cloudz),Grimes,sadness
I See Who You Are,Björk,joy
K-Hole,CocoRosie,reflective
Deer Stop,Goldfrapp,reflective
Bells Ring,Mazzy Star,neutral
Lemonade,CocoRosie,reflective
Moon,Björk,sadness
In Church,M83,reflective
Shyer,London Grammar,neutral
Rachel's Song,Vangelis,reflective
Please Don't Say You Love Me,Gabrielle Aplin,reflective
Fifty-Fifty Clown,Cocteau Twins,sadness
The Celts,Enya,joy
We Were Born the Mutants Again With Leafling,of Montreal,neutral
Laughing With a Mouth of Blood,St. Vincent,neutral
The Host of Seraphim,Dead Can Dance,reflective
Home,Daughter,calm
You Caught the Light,CHVRCHES,sadness
Things Left Unsaid,Pink Floyd,reflective
Dorian,Agnes Obel,reflective
Ísjaki,Sigur Rós,sadness
You Can Count on Me,Panda Bear,reflective
Ivo,Cocteau Twins,joy
Second to Numb,Kings of Convenience,reflective
Gone,M83,reflective
Girls Chase Boys,Ingrid Michaelson,reflective
Tokka,Agnes Obel,sadness
"Now, Now",St. Vincent,reflective
Know the Way,Grimes,sadness
Daydream,Beach Fossils,neutral
The Last Man,Clint Mansell,reflective
Abandon Window,Jon Hopkins,reflective
Hrafntinna,Sigur Rós,sadness
Mexico,The Staves,reflective
Mysteries,Beth Gibbons & Rustin Man,reflective
Slomo,Slowdive,sadness
Thunderbolt,Björk,reflective
Leaving Nara,alt-J,sadness
"On a White Lake, Near a Green Mountain",M83,joy
Closer,FKA twigs,reflective
We're All Thieves,Circa Survive,sadness
Amanaemonesia,Chairlift,joy
13 Angels Standing Guard 'round the Side of Your Bed,A Silver Mt. Zion,reflective
Stormur,Sigur Rós,reflective
One by One,Enya,calm
Last Night at the Jetty,Panda Bear,reflective
Shepherd Moons,Enya,calm
Catch the Breeze,Slowdive,sadness
Divano,Era,sadness
I Wear Your Ring,Cocteau Twins,joy
Push the Sky Away,Nick Cave & The Bad Seeds,sadness
Persephone,Cocteau Twins,sadness
Ascend to Oblivion,God Is An Astronaut,reflective
Complex Heaven,Brian Eno,reflective
Noise,M83,reflective
Damage,Yo La Tengo,reflective
Vaporous,Elsiane,calm
Crazy For You,Slowdive,reflective
Hello Earth,Kate Bush,reflective
Champagne Year,St. Vincent,sadness
China Roses,Enya,calm
(One of Those) Crazy Girls,Paramore,neutral
The Haunting Idle,The War on Drugs,neutral
At My Heels,Twin Shadow,reflective
A Quick One Before the Eternal Worm Devours Connecticut,Have a Nice Life,reflective
The Mass,Era,reflective
Song to the Siren,This Mortal Coil,reflective
The Mummers' Dance,Loreena McKennitt,sadness
King of the Mountain,Kate Bush,reflective
Ny Batteri,Sigur Rós,reflective
Fotzepolitic,Cocteau Twins,sadness
All Of My Thoughts,Spiritualized,reflective
Flickers,London Grammar,reflective
Without a Word,Birdy,sadness
Banner (Acoustic),Lights,sadness
Says,Nils Frahm,sadness
Stay With Me,Clint Mansell,reflective
Swan Song,Lana Del Rey,sadness
Spanish Air,Slowdive,reflective
Rutti,Slowdive,reflective
Tomboy,Panda Bear,sadness
Saltarello,Dead Can Dance,sadness
Sigur 1 (Untitled),Sigur Rós,reflective
Just the Same But Brand New,St. Vincent,reflective
You’re So Very Far Away,Clem Leek,sadness
Where We Belong,Passion Pit,reflective
Spring 2008,Architecture in Helsinki,calm
Wolf in the Breast,Cocteau Twins,sadness
Morning Theft,Jeff Buckley,reflective
Tango to Evora,Loreena McKennitt,reflective
Moving,Kate Bush,neutral
Natural Cause,Emancipator,reflective
Beetles,Warpaint,neutral
The Memory Of Trees,Enya,calm
Map,The Microphones,sadness
Everyday,Yo La Tengo,neutral
Cantara,Dead Can Dance,sadness
Train Song,Vashti Bunyan,calm
Ebudae,Enya,calm
The Blue Notebooks,Max Richter,reflective
Sinking,The Cure,neutral
The Curse,Agnes Obel,reflective
We Were Sparkling,My Brightest Diamond,reflective
Hollow,Björk,sadness
Beauties Can Die,M83,calm
Tender Buttons,Broadcast,sadness
Bass Down Low,Dev,reflective
Misere Mani,Era,sadness
Here With Me,Susie Suh,sadness
Echoes of Silence,The Weeknd,sadness
09-15-00 (Part Two),Godspeed You! Black Emperor,reflective
In Perfect Harmony,Within Temptation,calm
Horses of the Sun,Bat for Lashes,sadness
Exile,Enya,reflective
Subway,Yeah Yeah Yeahs,sadness
Turkey Dog Coma,Flying Lotus,sadness
Burgundy,Warpaint,reflective
Tempus Vernum,Enya,reflective
On My Way Home,Enya,calm
Dögun,Sigur Rós,reflective
Subotnick,Caribou,neutral
Tropical Disease,Air,neutral
Sacrifice,Björk,sadness
Some Things Last a Long Time,Daniel Johnston,reflective
Cursum Perficio,Enya,neutral
PBS,Tycho,sadness
Otterley,Cocteau Twins,sadness
Annabel,Goldfrapp,sadness
Era,Era,calm
Fuel to Fire,Agnes Obel,sadness
Turtles,Flying Lotus,sadness
The Dreaming,Kate Bush,reflective
Beskhu3epnm,Aphex Twin,sadness
Magic Mountain,Blonde Redhead,reflective
Cool Waves,Spiritualized,reflective
Evenstar,Howard Shore,reflective
The Riot's Gone,Santigold,sadness
One of Those Summer Days,Rhye,sadness
Daníell in the Sea,Jónsi & Alex,calm
Journal of Ardency,Class Actress,joy
Sugar Hiccup,Cocteau Twins,sadness
How Could I Forget?,The Faint,sadness
A Wall,Bat for Lashes,sadness
Enae Volare Mezzo,Era,reflective
Fifth Ave,Gold Panda,sadness
Ephemera,Delphic,reflective
Stick to My Side,Pantha du Prince,sadness
Pink Steam,Sonic Youth,reflective
Untitled 1,Sigur Rós,reflective
Alsatian Darn,Panda Bear,neutral
Sleep,Conjure One,reflective
The Flower Called Nowhere,Stereolab,sadness
Enigma of the Absolute,Dead Can Dance,sadness
Holy Dread!,Clint Mansell,sadness
Enae Volare,Era,reflective
"Waves, waves, waves",M83,reflective
Waves,Slowdive,reflective
Severance,Dead Can Dance,sadness
Anywhere Out of the World,Dead Can Dance,sadness
Yulunga (Spirit Dance),Dead Can Dance,reflective
Moment Of Hesitation,Flying Lotus,sadness
Lulled By Numbers,IAMX,reflective
Augustine,Blood Orange,reflective
Country Rain,Slowdive,reflective
Ultraviolet,FKA twigs,reflective
River,Enya,calm
Dust It Off,The Dø,sadness
Criost Liom,Dagda,sadness
Sentence,Era,calm
Crescent,Dead Can Dance,reflective
Try to Be,Blue Hawaii,sadness
Shadow to Light,Amethystium,reflective
Surfer's Hymn,Panda Bear,reflective
Hopscotch,CocoRosie,reflective
Drone,Panda Bear,sadness
Hjartað Hamast,Sigur Rós,reflective
World ♡ Princess,Grimes,sadness
