track,artist,track_clean,artist_clean,final_emotion
Red Haired Boy/ Cluck Old Hen/ Lightning On The Lake,Perpetual e-Motion,red haired boy cluck old hen lightning on the lake,perpetual emotion,anger
If Madonna Calls (Junior's House Mix),Junior Vasquez,if madonna calls juniors house mix,junior vasquez,anger
A Little Bit More (Hurley's Radio Edit),Kym Sims,a little bit more hurleys radio edit,kym sims,anger
FIRE ~INTRODUCTION FOR Yunique❤~,JPopYuna,fire introduction for yunique,jpopyuna,anger
"Catch Me (12"" Version)",Betty Boo,catch me 12 version,betty boo,anger
The Comfort Zone (Frankie's Comfortable Mix),Vanessa Williams,the comfort zone frankies comfortable mix,vanessa williams,anger
Unusual You (PortuX-3891's Angels Rise Above Radio Edit),Britney Spears,unusual you portux3891s angels rise above radio edit,britney spears,anger
Industrial,Blasted Mechanism,industrial,blasted mechanism,anger
Got To Be Free (E-Smoove's Groovy Mix),49ers,got to be free esmooves groovy mix,ers,anger
Elements of Vogue (David dePino Mix),David Ian Xtravaganza,elements of vogue david depino mix,david ian xtravaganza,anger
Give It To You (Momo's Klub Mix),Martha Wash,give it to you momos klub mix,martha wash,anger
Не обижай меня,Art Voyage,не обижай меня,art voyage,anger
Panic,"Fuck, The Retarded Girl",panic,fuck the retarded girl,anger
Father Kelly's / As It Happened,Giant Robot Dance,father kellys as it happened,giant robot dance,anger
Gettin' Out (Extended Version),S.l.d.,gettin out extended version,sld,anger
Turn It Out (The Bomb Mix),Labelle,turn it out the bomb mix,labelle,anger
Pacha NYC Podcast: 23 | Jonathan Peters Halloween (Part 1),Pacha NYC,pacha nyc podcast 23 jonathan peters halloween part 1,pacha nyc,anger
I Must Be Free (DJ Pierre's Club Pitch Mix),Kym Sims,i must be free dj pierres club pitch mix,kym sims,anger
Turn It Out (Miss Thing's Runway Dub),Labelle,turn it out miss things runway dub,labelle,anger
Take My Advice (Hurley's Extended Mix),Kym Sims,take my advice hurleys extended mix,kym sims,anger
Beautiful Stranger (Gogh's Old Skool Classic House Mix),Madonna,beautiful stranger goghs old skool classic house mix,madonna,anger
Mix The Vibe: Club 69 (Continuous Mix),Peter Rauhofer,mix the vibe club 69 continuous mix,peter rauhofer,anger
Obscurité,"Fuck, The Retarded Girl",obscurité,fuck the retarded girl,anger
A Little Bit More (Hurley's Extended Mix),Kym Sims,a little bit more hurleys extended mix,kym sims,anger
Rambler From Clare/Seeking Turf,The Great Bear Trio,rambler from clareseeking turf,the great bear trio,anger
Live In Manchester (Part One),N-Joi,live in manchester part one,njoi,anger
Untitled (from split with Wolverine Carcass),"Fuck, The Retarded Girl",untitled from split with wolverine carcass,fuck the retarded girl,anger
Circles (Classic Club Mix),Saffron,circles classic club mix,saffron,anger
My Love Is For Real (E-Smoove Fever Mix),Paula Abdul,my love is for real esmoove fever mix,paula abdul,anger
She Ain't Got...,LeToya,she aint got,letoya,anger
Glammer Girl (Ya Ya),The Look,glammer girl ya ya,the look,anger
Kitten Is High,Miss Kittin,kitten is high,miss kittin,anger
Catch Me (David's Instrumental),Betty Boo,catch me davids instrumental,betty boo,anger
Thing Goin' On (MK Underground Dub),Betty Boo,thing goin on mk underground dub,betty boo,anger
One Love (Shades Of Rhythm Mix),Saffron,one love shades of rhythm mix,saffron,anger
"1ère suite ""Airs pour les driades et les bergers"" : III. Air pour les faunes et les driades",Marin Marais,ère suite airs pour les driades et les bergers iii air pour les faunes et les driades,marin marais,anger
Two Against One,Acid Farm,two against one,acid farm,anger
Don't Scandalize My Name (Hurley's Deep Remix),Kym Mazelle,dont scandalize my name hurleys deep remix,kym mazelle,anger
These Are My People (Vocal),Members of the House,these are my people vocal,members of the house,anger
Sunshine & Love (Far Island Mix),Happy Mondays,sunshine love far island mix,happy mondays,anger
Warning! (Tony Humphries Zanzibar Mix),Adeva,warning tony humphries zanzibar mix,adeva,anger
Blue Mambo,Sun City Girls,blue mambo,sun city girls,anger
I Got My Education (Bootleggers Response),Uncanny Alliance,i got my education bootleggers response,uncanny alliance,anger
The Best Things In Life Are Free (CJ's U.K. 12'' Mix),Luther Vandross & Janet Jackson,the best things in life are free cjs uk 12 mix,luther vandross janet jackson,anger
Somebody (dance mix),Close II You,somebody dance mix,close ii you,anger
Such Fools As We,Totalwar,such fools as we,totalwar,anger
Happy Bizness,Roach Motel,happy bizness,roach motel,anger
Verdi: Macbeth - Act 2: Shi Oso Mandarvi A Noi?,"Piero Cappuccilli, Shirley Verrett, Etc.; Claudio Abbado: Orchestra & Chorus Of La Scala Milan",verdi macbeth act 2 shi oso mandarvi a noi,piero cappuccilli shirley verrett etc claudio abbado orchestra chorus of la scala milan,anger
Girls (Who Run The World),Beyoncé,girls who run the world,beyoncé,anger
Kiss My Piano (7th Kiss Remix),Emily Heyl,kiss my piano 7th kiss remix,emily heyl,anger
World Party (Planet Rap Mix),2 For Joy,world party planet rap mix,for joy,anger
That Heat,Sergio Mendes/will.i.am/Erykah Badu,that heat,sergio mendeswilliamerykah badu,anger
My piano,Noell Abedul,my piano,noell abedul,anger
As I Am (Sound Factory Mix),Sound of One,as i am sound factory mix,sound of one,anger
We Gotta Love (Band Of Gypsies Mix),Kym Sims,we gotta love band of gypsies mix,kym sims,anger
Just Like A Queen (Vogue Like A Queen Mix),Ellis D,just like a queen vogue like a queen mix,ellis d,anger
Just A Little Bit Of Love (k klassik klub mix),Rebekah Ryan,just a little bit of love k klassik klub mix,rebekah ryan,anger
(I'm Under) Love Strain (Kupper's Timeless Treatment),Clubland,im under love strain kuppers timeless treatment,clubland,anger
Throw You Down (Down For The Count Dub),Thelma Houston,throw you down down for the count dub,thelma houston,anger
To Live or Die [*],H.W.A.,to live or die ,hwa,anger
Goodbye To Love (MK Mix),Pandella,goodbye to love mk mix,pandella,anger
Deeper Love (Hard Club Mix),Ultra Naté,deeper love hard club mix,ultra naté,anger
Workout (Workin' Dub),Frankie Knuckles featuring Roberta Gilliam,workout workin dub,frankie knuckles featuring roberta gilliam,anger
Pretty Mess (Dave Aude Club Mix) [John Cruz Video Edit],Erika Jayne,pretty mess dave aude club mix john cruz video edit,erika jayne,anger
6 To 8 Marches,Highland Pipes & Drums,to 8 marches,highland pipes drums,anger
"I Wanna Sing (Poppo And Kupper's 12"" Mix)",Sabrina Johnston,i wanna sing poppo and kuppers 12 mix,sabrina johnston,anger
What in the Hell Were You Two Doing in my Camper,Tom Anderson,what in the hell were you two doing in my camper,tom anderson,anger
This Is It (Murk Boys Miami Heat Mix),Dannii Minogue,this is it murk boys miami heat mix,dannii minogue,anger
Give You Myself (Massimino 1993 Club Mix),SIMA,give you myself massimino 1993 club mix,sima,anger
Shake Your Body  Bad Tour Yokohama 1987,Michael Jackson,shake your body bad tour yokohama 1987,michael jackson,anger
Hateful Head Helen (Helen's in the House Mix),Hateful Head Helen,hateful head helen helens in the house mix,hateful head helen,anger
The Rachel Tune (The Delightful Box Mix),2 For Joy,the rachel tune the delightful box mix,for joy,anger
Strut it!,Leona Philippo,strut it,leona philippo,anger
Beautiful Stranger (Gogh's Old Skool Classic Dub),Madonna,beautiful stranger goghs old skool classic dub,madonna,anger
Boulevard of Broken Songs [Green Day vs. Oasis vs. Travis vs. Aerosmith vs. Eminem],Party Ben,boulevard of broken songs green day vs oasis vs travis vs aerosmith vs eminem,party ben,anger
Қайтар Жүрегімді,KeshYou,қаитар жүрегімді,keshyou,anger
DJ Bertrand's set N° 77 : A quiet reprise,DJ Bertrand,dj bertrands set n 77 a quiet reprise,dj bertrand,anger
Descongélate (Durante 5'55 a 75º),Alaska y Dinarama,descongélate durante 555 a 75º,alaska y dinarama,anger
A Shade Shady (Now Prance) (DJ Pierre Club Mx),RuPaul,a shade shady now prance dj pierre club mx,rupaul,anger
Melody & Harmony (Chapter 3),Stories In Dubh feat. Jackie B,melody harmony chapter 3,stories in dubh feat jackie b,anger
"Sound Factory, March 15, 1992 [1/2]",Junior Vasquez,sound factory march 15 1992 12,junior vasquez,anger
"Living For Your Love (Marshall Jefferson 12"" Mix)",Big Fun,living for your love marshall jefferson 12 mix,big fun,anger
Dirty Picture (feat. Ke$Ha) [Dave Audé Club Mix],Taio Cruz,dirty picture feat keha dave audé club mix,taio cruz,anger
Friday Fierce 12-31-2010,Brian Ashby,friday fierce 12312010,brian ashby,anger
Peace...Inside My Heart,Dirty Trick,peaceinside my heart,dirty trick,anger
Friday Fierce 04-01-2011,Brian Ashby,friday fierce 04012011,brian ashby,anger
mother mourns the death of child and country,Carahanni,mother mourns the death of child and country,carahanni,anger
Love on top of Love - Killer Kiss (The Cole & Clivilles Garage House Mix),Grace Jones,love on top of love killer kiss the cole clivilles garage house mix,grace jones,anger
Friday Fierce 03-11-2011,Brian Ashby,friday fierce 03112011,brian ashby,anger
So Fierce,FIERCE (Serie),so fierce,fierce serie,anger
Det Eneste Jeg Har Brug For,Karen Rosenberg,det eneste jeg har brug for,karen rosenberg,anger
Could a Wah,Chicken,could a wah,chicken,anger
DJ Bertrand's set N° 61 : The Black Day Megamix,DJ Bertrand,dj bertrands set n 61 the black day megamix,dj bertrand,anger
Black Widow (Rennie Pilgrem Mix),Überzone & Rennie Pilgrem,black widow rennie pilgrem mix,überzone rennie pilgrem,anger
Fire (Soulweekender Remix),Victor Davies,fire soulweekender remix,victor davies,anger
I Got What You Want (Thump'n Dub),Kenya Travitt,i got what you want thumpn dub,kenya travitt,anger
DJ Bertrand's set N° 64 : From funky soul to hardcore house,DJ Bertrand,dj bertrands set n 64 from funky soul to hardcore house,dj bertrand,anger
Drop a House (Tribal Mix),Urban Discharge Feat. She,drop a house tribal mix,urban discharge feat she,anger
Hvis Sandheden Skal Frem,Karen Rosenberg,hvis sandheden skal frem,karen rosenberg,anger
It's HAIRY SACK!!,Beavis,its hairy sack,beavis,anger
Nothing,Santiago And Bushido,nothing,santiago and bushido,anger
What Can I Do For You?,Labelle (featuring Patti Labelle),what can i do for you,labelle featuring patti labelle,anger
Freedom (Frankie Knuckles ''The Shit'' Mix),Robert Miles Featuring Kathy Sledge,freedom frankie knuckles the shit mix,robert miles featuring kathy sledge,anger
07 - lose my breath,Destiny's Child,lose my breath,destinys child,anger
Promise Ring,Tiffany Evans featuring Ciara,promise ring,tiffany evans featuring ciara,anger
I Want To Thank You (Bad Yard Club Mix),Robin S.,i want to thank you bad yard club mix,robin s,anger
I Want To Thank You (Radio Edit),Robin S,i want to thank you radio edit,robin s,anger
Get Money,Cassidy Ft. Larsiny,get money,cassidy ft larsiny,anger
Big че,Svetlana Loboda,big че,svetlana loboda,anger
Chickenfight,Kid606,chickenfight,kid606,anger
Symphony No. 7: III. Scherzo - Sehr Schnell,Bernard Haitink & Chicago Symphony Orchestra,symphony no 7 iii scherzo sehr schnell,bernard haitink chicago symphony orchestra,anger
Coming Down (DJ Acucrack Batgr,Acumen Nation,coming down dj acucrack batgr,acumen nation,anger
Swords,Zola Jesus,swords,zola jesus,anger
U.S.S.A.,Butthole Surfers,ussa,butthole surfers,anger
Deep Talks,Chelsea Wolfe,deep talks,chelsea wolfe,anger
Odessa,Zola Jesus,odessa,zola jesus,anger
Turmoil,Combichrist,turmoil,combichrist,anger
Hexagons IV,Esben and the Witch,hexagons iv,esben and the witch,anger
Keman Rhythm,Two Fingers,keman rhythm,two fingers,anger
I Remember A Time When Once You Used To Love Me,Dirty Three,i remember a time when once you used to love me,dirty three,anger
I Offered It Up To The Stars & The Night Sky,Dirty Three,i offered it up to the stars the night sky,dirty three,anger
My Babylon,Nurzery [Rhymes],my babylon,nurzery rhymes,anger
73 Yips,Aphex Twin,yips,aphex twin,anger
Dawn of Man,Combichrist,dawn of man,combichrist,anger
Vuosi 2008,Turmion Kätilöt,vuosi 2008,turmion kätilöt,anger
My Station Rock,Merzbow,my station rock,merzbow,anger
One Night Stand,Alien Vampires,one night stand,alien vampires,anger
Blood Bath,Alien Vampires,blood bath,alien vampires,anger
Welcome to Drexciya,Drexciya,welcome to drexciya,drexciya,anger
Jerusalem,Heimataerde,jerusalem,heimataerde,anger
Mum-Man,LFO,mumman,lfo,anger
"Mummy, I've Had an Accident...",LFO,mummy ive had an accident,lfo,anger
Radio Waves II,Van She,radio waves ii,van she,anger
Freakmachine,Tied & Tickled Trio,freakmachine,tied tickled trio,anger
Existence,Destroid,existence,destroid,anger
The Convent Burns,Alien Vampires,the convent burns,alien vampires,anger
Corroding Conscience (Feindflug remix),Grendel,corroding conscience feindflug remix,grendel,anger
Sperrfeuer,Feindflug,sperrfeuer,feindflug,anger
Hate My Way,Kristin Hersh,hate my way,kristin hersh,anger
Anatoles,Vitalic,anatoles,vitalic,anger
4-22-05,Fantômas,2205,fantômas,anger
Ritual,Hexperos,ritual,hexperos,anger
Closer,Collapse Under the Empire,closer,collapse under the empire,anger
Blue Orb,カヒミ・カリィ,blue orb,カヒミカリィ,anger
The Gaels,Artesia,the gaels,artesia,anger
The World You Live In...,Tamtrum,the world you live in,tamtrum,anger
Pink,Boris with Merzbow,pink,boris with merzbow,anger
Self-Portrait,Anoice,selfportrait,anoice,anger
Descent,Soman,descent,soman,anger
Looping Jane (Beat mix),Merzbow,looping jane beat mix,merzbow,anger
Memory Repeating,Prurient,memory repeating,prurient,anger
"Prelude in C-Sharp Minor, Op. 3, No. 2",Sergei Rachmaninoff,prelude in csharp minor op 3 no 2,sergei rachmaninoff,anger
Sun Baked Snow Cave,Boris with Merzbow,sun baked snow cave,boris with merzbow,anger
Destroy Me (Redestruction by Kiew),Unter Null,destroy me redestruction by kiew,unter null,anger
Skullfucker,Terrorfakt,skullfucker,terrorfakt,anger
Complication,Aslan Faction,complication,aslan faction,anger
Returning Truth,Prurient,returning truth,prurient,anger
Bonewhite Light,Destroid,bonewhite light,destroid,anger
Peter B. Beautiful,Doormouse,peter b beautiful,doormouse,anger
Candyman,カヒミ・カリィ,candyman,カヒミカリィ,anger
The Invilid,DYM,the invilid,dym,anger
God Hates to Ball,Doormouse,god hates to ball,doormouse,anger
Industrializer,Alien Vampires,industrializer,alien vampires,anger
Subject,Prurient,subject,prurient,anger
Lust End,Prurient,lust end,prurient,anger
Final Fantasy 7 Opressed Swamp Dub OC ReMix,Isopropyl,final fantasy 7 opressed swamp dub oc remix,isopropyl,anger
Erotikon,Deutsch Nepal,erotikon,deutsch nepal,anger
Heta rae,Sui Generis Umbra,heta rae,sui generis umbra,anger
Far from Humans (featuring Suicide Commando),Alien Vampires,far from humans featuring suicide commando,alien vampires,anger
Seishi Seppuku Kei,Merzbow,seishi seppuku kei,merzbow,anger
Artificial Intelligence,Alien Produkt,artificial intelligence,alien produkt,anger
Bring The Rain,Uberbyte,bring the rain,uberbyte,anger
Alva Myrdal,Covenant,alva myrdal,covenant,anger
N.A.S.A. (TBase Mix by XP8),T3CHN0PH0B1A,nasa tbase mix by xp8,t3chn0ph0b1a,anger
Emission,Merzbow,emission,merzbow,anger
Animal,Terrorfakt,animal,terrorfakt,anger
Rähinä I / Mayhem I,Pan Sonic,rähinä i mayhem i,pan sonic,anger
Stepping Off,Jason Forrest,stepping off,jason forrest,anger
To Composer John Cage,Anthony Braxton,to composer john cage,anthony braxton,anger
World Of Shit,Sam,world of shit,sam,anger
Hijos de Cain,Reaxion Guerrilla,hijos de cain,reaxion guerrilla,anger
Exasperating (Die In Progress Remix),The Leech,exasperating die in progress remix,the leech,anger
Burn,Lahannya,burn,lahannya,anger
alcohol,カヒミ・カリィ,alcohol,カヒミカリィ,anger
軌跡,志方あきこ,軌跡,志方あきこ,anger
Convert,Dioxyde,convert,dioxyde,anger
片恋,志方あきこ,片恋,志方あきこ,anger
MKSearch,Sam,mksearch,sam,anger
Broken Spears,Uberbyte,broken spears,uberbyte,anger
Subterfugue for 3 Absynths,Covenant,subterfugue for 3 absynths,covenant,anger
修羅の花,梶芽衣子,修羅の花,梶芽衣子,anger
Bound In Hate,Life Cried,bound in hate,life cried,anger
Harriet,Kissy Sell Out,harriet,kissy sell out,anger
In this place,The Leech,in this place,the leech,anger
MARS ATTACKS!,Coaltar of the Deepers,mars attacks,coaltar of the deepers,anger
The Flesh is Weak,The Leech,the flesh is weak,the leech,anger
Kpaligoth,Ruins,kpaligoth,ruins,anger
flexen,Microstoria,flexen,microstoria,anger
Das Mandat,Schwarzblut,das mandat,schwarzblut,anger
Field of the Dead,Detroit Diesel,field of the dead,detroit diesel,anger
Mutter Bitte,Die Braut,mutter bitte,die braut,anger
アオイロ缶詰,志方あきこ,アオイロ缶詰,志方あきこ,anger
Bender,DYM,bender,dym,anger
久遠の海,志方あきこ,久遠の海,志方あきこ,anger
Alaska,Monolake,alaska,monolake,anger
New Wave Dust,John Wiese,new wave dust,john wiese,anger
King of the Delta Blues,Steven Wilson,king of the delta blues,steven wilson,anger
Unicorn MF (Black Sun Empire Remix),Eye-D,unicorn mf black sun empire remix,eyed,anger
トーキョーシティ・アンダーグラウンド,パスピエ,トーキョーシティアンダーグラウンド,パスピエ,anger
Fams,Twilight Circus Dub Sound System,fams,twilight circus dub sound system,anger
Worth It (Arveene & Misk Remix),Zombie Nation,worth it arveene misk remix,zombie nation,anger
Wahhabi Money Flows,Vatican Shadow,wahhabi money flows,vatican shadow,anger
追想花,志方あきこ,追想花,志方あきこ,anger
Don't Feed The Robots (radio edit),Implant,dont feed the robots radio edit,implant,anger
Lähetys / Transmission,Pan Sonic,lähetys transmission,pan sonic,anger
100% Pure Cocaine,Extize, pure cocaine,extize,anger
L.A. Blues - Remastered,The Stooges,la blues remastered,the stooges,anger
You die,Haus Arafna,you die,haus arafna,anger
To My Friend Kenny McKenny,Anthony Braxton,to my friend kenny mckenny,anthony braxton,anger
Maururu Roa,ルルティア,maururu roa,ルルティア,anger
Dumelang,Synkro,dumelang,synkro,anger
Beautiful Thunderbolt (Moon Gazing in Your Skull),Jefre Cantu-Ledesma,beautiful thunderbolt moon gazing in your skull,jefre cantuledesma,anger
Blutgeld (Part II),Cyborg Attack,blutgeld part ii,cyborg attack,anger
Buzz Chamber,Sam,buzz chamber,sam,anger
EBGM,DYM,ebgm,dym,anger
hallelujah,ルルティア,hallelujah,ルルティア,anger
Suicide Noise,Gein,suicide noise,gein,anger
An Accident Of History,Salome,an accident of history,salome,anger
Fuck Me Jesus,RoughSketch,fuck me jesus,roughsketch,anger
"Sex, Drogen und Industri (remixed by Soman)",Combichrist,sex drogen und industri remixed by soman,combichrist,anger
Dead By Dawn,Coaltar of the Deepers,dead by dawn,coaltar of the deepers,anger
3.3.11,Rainbowdragoneyes,311,rainbowdragoneyes,anger
Still Lives,XP8,still lives,xp8,anger
Killing An Arab,Coaltar of the Deepers,killing an arab,coaltar of the deepers,anger
Ultra Cocker,Hanatarash,ultra cocker,hanatarash,anger
Access and Amplify (Hudlager remix),Icon of Coil,access and amplify hudlager remix,icon of coil,anger
Decapitated Crawl,Coffins,decapitated crawl,coffins,anger
The Freakshow,Project Rotten,the freakshow,project rotten,anger
perversion,Obszön Geschöpf,perversion,obszön geschöpf,anger
Beat Around The Bushes,Komor Kommando,beat around the bushes,komor kommando,anger
A Graveyard Of Elephants,Opir,a graveyard of elephants,opir,anger
Stadium Des Zerfalls,Tyske Ludder,stadium des zerfalls,tyske ludder,anger
Soft Crack,Prurient,soft crack,prurient,anger
Hammers Out of the Unutterable Palace,The Synthetic Dream Foundation,hammers out of the unutterable palace,the synthetic dream foundation,anger
Stahl City,Die In Progress,stahl city,die in progress,anger
Stargazer,Pascal FEOS,stargazer,pascal feos,anger
Dogday,Genocide Organ,dogday,genocide organ,anger
All is splashing now,カヒミ・カリィ,all is splashing now,カヒミカリィ,anger
A night in silence,Jack or Jive,a night in silence,jack or jive,anger
City of Straw,Sightings,city of straw,sightings,anger
The Walls Of The City Shake (Featuring David Grubbs),Jason Forrest,the walls of the city shake featuring david grubbs,jason forrest,anger
Wounded And Dead,Noizenecio,wounded and dead,noizenecio,anger
New Dawn,Noctis Null,new dawn,noctis null,anger
LOST CHILDREN,志方あきこ,lost children,志方あきこ,anger
Rash,The Legendary Pink Dots,rash,the legendary pink dots,anger
Push Over,Heatbeat,push over,heatbeat,anger
The Sound ov the Shell,Asche,the sound ov the shell,asche,anger
Arcadia,志方あきこ,arcadia,志方あきこ,anger
Trigger Happy,aktivehate,trigger happy,aktivehate,anger
Selected for Bleeding,Aslan Faction,selected for bleeding,aslan faction,anger
Harbingers,Cisfinitum,harbingers,cisfinitum,anger
St. Anger (Amended Version),Metallica,st anger amended version,metallica,anger
Tears of blood,Jack or Jive,tears of blood,jack or jive,anger
C.H.I.V.E.R.S.,Mr. Oizo,chivers,mr oizo,anger
Catch 22,Merzbow,catch 22,merzbow,anger
Maggot's Confession II,Deathcamp Project,maggots confession ii,deathcamp project,anger
Omen reprise (denu remix),The Prodigy,omen reprise denu remix,the prodigy,anger
Dein Geruch,Die In Progress,dein geruch,die in progress,anger
Sample Start,Covenant,sample start,covenant,anger
Till Death,Brotherhood,till death,brotherhood,anger
Buonanotte,志方あきこ,buonanotte,志方あきこ,anger
Air Wristcut,RoughSketch,air wristcut,roughsketch,anger
空蝉,志方あきこ,空蝉,志方あきこ,anger
ay carumba!!!!,teranoid & MC Natsack,ay carumba,teranoid mc natsack,anger
Mephisto (Life Cried Remix),Terrorfakt,mephisto life cried remix,terrorfakt,anger
Detect,Erode,detect,erode,anger
Les Leçons de Français,カヒミ・カリィ,les leçons de français,カヒミカリィ,anger
Molotov 1502,Bass Communion,molotov 1502,bass communion,anger
The Super Cooooke!!!!!,RoughSketch,the super cooooke,roughsketch,anger
The Velvet Machina,Psyborg Corp.,the velvet machina,psyborg corp,anger
No Noise,Hanatarash,no noise,hanatarash,anger
Der Schwarze Tod,Schwarzblut,der schwarze tod,schwarzblut,anger
Screaming Fuck,Die In Progress,screaming fuck,die in progress,anger
DC-10 (feat. Sonic Sum),Techno Animal,dc10 feat sonic sum,techno animal,anger
Drugs vs. Violence,Implant,drugs vs violence,implant,anger
We Are The Night,Extize,we are the night,extize,anger
Arabesque,ルルティア,arabesque,ルルティア,anger
Anal Killing,Grunt,anal killing,grunt,anger
Leyre,志方あきこ,leyre,志方あきこ,anger
ti ecroF,NorthBorne,ti ecrof,northborne,anger
Silent Fuck,Die In Progress,silent fuck,die in progress,anger
Heroin (Album Version (Mono)),The Velvet Underground,heroin album version mono,the velvet underground,anger
the moon from below,Betwixt & Between,the moon from below,betwixt between,anger
ROLLER COASTER,Red Bacteria Vacuum,roller coaster,red bacteria vacuum,anger
Last Seven Plagues,Maurizio Bianchi,last seven plagues,maurizio bianchi,anger
The Beat That Goes Ping,Komor Kommando,the beat that goes ping,komor kommando,anger
Act Global,Winterkälte,act global,winterkälte,anger
Neutral,Christian Marclay,neutral,christian marclay,anger
barricades,100Blumen,barricades,blumen,anger
CombiChrist--Kiss the Blade,Combichrist,combichristkiss the blade,combichrist,anger
Still Be Your Girl,カヒミ・カリィ,still be your girl,カヒミカリィ,anger
unwanted answer p3 (live),ryadeum,unwanted answer p3 live,ryadeum,anger
Compass Rose,The Goslings,compass rose,the goslings,anger
Too Tired to Consume,[de:ad:cibel],too tired to consume,deadcibel,anger
Untitled (Hidden Track),Sam,untitled hidden track,sam,anger
Metel,Cylob,metel,cylob,anger
Paradoxical Silence,Betwixt & Between,paradoxical silence,betwixt between,anger
Ad Silentia Luna Amica Mea,Luc Arbogast,ad silentia luna amica mea,luc arbogast,anger
Into The Future,Bone Thugs-N-Harmony,into the future,bone thugsnharmony,anger
Antikrist,Komor Kommando,antikrist,komor kommando,anger
The Rapture,Evol Intent,the rapture,evol intent,anger
Like Some Ancient Deeds,Die In Progress,like some ancient deeds,die in progress,anger
片翼の鳥 -instrumental-,志方あきこ,片翼の鳥 instrumental,志方あきこ,anger
Ongaku Orx013,kenta-v.ez.,ongaku orx013,kentavez,anger
014,Fennesz,,fennesz,anger
Justification / the Circle Remains Closed,Ride For Revenge,justification the circle remains closed,ride for revenge,anger
Das Blut unserer Zeit,Die In Progress,das blut unserer zeit,die in progress,anger
thrash up disturbace #4,Coaltar of the Deepers,thrash up disturbace 4,coaltar of the deepers,anger
armour fell asleep,Chelsea Wolfe,armour fell asleep,chelsea wolfe,anger
Blues'N'Tubes,Komor Kommando,bluesntubes,komor kommando,anger
Untitled 4,Apoptygma Berzerk,untitled 4,apoptygma berzerk,anger
Rules Of Enragement,Lewis Black,rules of enragement,lewis black,anger
The Shriek She Made When She Died Was Erased By The Sound of Lightning,Venetian Snares,the shriek she made when she died was erased by the sound of lightning,venetian snares,anger
Ordain And Establish,Opir,ordain and establish,opir,anger
Jerusalem syndrom,[de:ad:cibel],jerusalem syndrom,deadcibel,anger
ひらいてさんぜ,志方あきこ,ひらいてさんぜ,志方あきこ,anger
Die Höhle des Löwe,Die In Progress,die höhle des löwe,die in progress,anger
Lolita Go Home,カヒミ・カリィ,lolita go home,カヒミカリィ,anger
Poise,Surgeon,poise,surgeon,anger
時に埋もれた言葉,志方あきこ,時に埋もれた言葉,志方あきこ,anger
Harmonia ～見果てぬ地へ～,志方あきこ,harmonia 見果てぬ地へ,志方あきこ,anger
Unam Sanctam,POLY CALAMITY,unam sanctam,poly calamity,anger
Perpetual Motion,Phobium,perpetual motion,phobium,anger
BUTTHOLE MADNESS,Loli Battle Machine,butthole madness,loli battle machine,anger
Emperors Corpse Enclosed In The Plaster Wall,Prurient,emperors corpse enclosed in the plaster wall,prurient,anger
Xfixiation (Remix by SITD),Tactical Sekt,xfixiation remix by sitd,tactical sekt,anger
調和 ～大地の讃歌～,志方あきこ,調和 大地の讃歌,志方あきこ,anger
In the Flood With the Flood,Father Murphy,in the flood with the flood,father murphy,anger
調和 ～Harmonia～,志方あきこ,調和 harmonia,志方あきこ,anger
The Return of the Pagan Fullmoon,Uruk-Hai,the return of the pagan fullmoon,urukhai,anger
The Long Way Home,Die In Progress,the long way home,die in progress,anger
"miku you, fxxk you",REDALiCE,miku you fxxk you,redalice,anger
Sins of My Past,Lujhboia,sins of my past,lujhboia,anger
翅亡キ花,志方あきこ,翅亡キ花,志方あきこ,anger
Lost,Elyzium,lost,elyzium,anger
Under the Embrace of the Black Plague,Uruk-Hai,under the embrace of the black plague,urukhai,anger
刻限のロンド,志方あきこ,刻限のロンド,志方あきこ,anger
They Watched Him Detonated On The Linoleum Twisting,Venetian Snares,they watched him detonated on the linoleum twisting,venetian snares,anger
祈りの果てのひとふりの,志方あきこ,祈りの果てのひとふりの,志方あきこ,anger
Fools' Paradise,Bodycall,fools paradise,bodycall,anger
philandrops (live),ryadeum,philandrops live,ryadeum,anger
Skull Headbang,RoughSketch,skull headbang,roughsketch,anger
Surrounded by You,灰野敬二,surrounded by you,灰野敬二,anger
She Began To Cry Tears Of Blood Which Became Little Brick Houses When They Hit The Ground,Venetian Snares,she began to cry tears of blood which became little brick houses when they hit the ground,venetian snares,anger
Rape Your God,reAdjust,rape your god,readjust,anger
Suiren,志方あきこ,suiren,志方あきこ,anger
Memory of the ocean,Jack or Jive,memory of the ocean,jack or jive,anger
Final Survivor (Remix of 'Survivalism' by Nine Inch Nails),Die In Progress,final survivor remix of survivalism by nine inch nails,die in progress,anger
immer,Karg,immer,karg,anger
Unholy Medieval Congregation,Uruk-Hai,unholy medieval congregation,urukhai,anger
My Sword for the Shadows Throne,Uruk-Hai,my sword for the shadows throne,urukhai,anger
Um als Verloren zu Gelten,Die In Progress,um als verloren zu gelten,die in progress,anger
Untitled 1,Sissy Spacek,untitled 1,sissy spacek,anger
"Eric And Kitty Both Die Within A Month Of Each Other, Red Stares At The Coffee Table",Venetian Snares,eric and kitty both die within a month of each other red stares at the coffee table,venetian snares,anger
Move,SkinjoB,move,skinjob,anger
The Dark Well Of The Winter Forest,Uruk-Hai,the dark well of the winter forest,urukhai,anger
Noise Anthem (Infacted 4 Version),Soman,noise anthem infacted 4 version,soman,anger
