track,artist,_2,lyrics
butterflies,natalie imbruglia,Already processed,"VERSE
Swallow purple terror candy
Don't forget to breathe
Sickened by the wanting
And drowning from the need
This dichromatic vision
Of one who does not care
To sipping cocktail sedatives
Two months to hide somewhere

CHORUS
Butterflies, Butterflies
Cut the stomach out and hand it over
Butterflies, Butterflies
My heart will be the bridge that-
You walk over

VERSE
The wolf has caught the chicken
And now I feel unsteady
Emotions on the blink again
So kick me when you're ready
Here lies a violet coffin
The death of my control
Along with all my skeletons
They put them in the hole

VERSE
Sickened by the notion
I give myself again
Choking on the bullet, the gun-
Thats found a friend
So raise your glass to sorrow
And drink to all the pain
Tie a silver ribbon around
The pieces that remain

CHORUS
Butterflies, Butterflies
Cut the stomach out and hand it over
Butterflies, Butterflies
My heart will be the bridge that-
You walk over"
butterfly,david usher,Already processed,"You came apart on me last Sunday morning
Choked and indicted by the truth
And it's always tough when there's never enough
Of the good things coming
And there was never enough for you
There was never enough for you

Butterfly
Where you gone
I can't see you anymore
My eyes are taken still too high
Came down naked on you
Butterfly
Where you gone
I can't feel you any more
I can't feel you any more

Got excited when I thought that we would last
Twisted inside out 'til we were drowning
From the first attack we could never go back so we just keep on coming
But I was never enough for you
Was there ever enough for you

Butterfly
Where you gone
I can't feel you anymore
My eyes are taken still too high
Came down naked on you
Butterfly
Where you gone
I can't feel you anymore
I can't feel you anymore

And if you think you're dying
Baby well you know I felt the same
'Cause we were only hoping
Why's it always feel like feel like
It feels like rain

Butterfly
Where you gone
I can't see you anymore
My eyes are taken still too high
Came down naked on you
Butterfly
Where you gone
I can't feel you any more
I can't feel you any more
I can't feel you any more
I can't feel you any more"
butterfly,donavon frankenreiter,Already processed,"If the road I travel goes bad
If the life I live becomes the life I had
I close my eyes and I dream
Of my butterfly coming down to rescue me

She's my butterfly
Ya she's my butterfly

If the wind that guides you pulls you away
If the woods that love you ever ask you to stay
I still close my eyes and I dream
Of my butterfly coming back to rescue me

She's my butterfly
Ya she's my butterfly
Don't you know that she's my butterfly
I said she's my butterfly

She's my butterfly
Ya she's my butterfly
She's my butterfly
Butterfly"
butterfly,jason mraz,Already processed,"I'm taking a moment just imagining that I'm dancing with you
I'm your pole and all you're wearing is your shoes
You got soul, you know what to do to turn me on
Until I write a song about you

And you have your own engaging style
And you've got the knack to vivify
And you make my slacks a little tight
You may unfasten them if you like
That? s if you crash and spend the night

But you don't fold, you don't fade
You got everything you need, especially me
Sister, you've got it all

You make the call to make my day
In your message say my name
Your talk is all the talk
Sister, you've got it all
You got it all

Curl your upper lip up and let me look around
Ride your tongue along your bottom lip then bite down
And bend your back and ask those hips if I can touch
'Cause they're the perfect jumping off point
Getting closer to your butterfly

Will you float on by?
Oh, kiss me with your eyelashes tonight
Or Eskimo your nose real close to mine
And let's mood the lights and finally make it right

But you don't fold, you don't fade
You got everything you need, especially me
Sister, you've got it all

You make the call to make my day
In your message say my name
Your talk is all the talk
Sister, you've got it all

You got it all, you got it all, you got it all
You got it all, you got it all, you got it all
You got it all, woo, hey baby, uh
You've got it all

Doll, I need to see you pull your knee socks up
Let me feel you upside down, slide in, slide out
Slide over here, climb into my mouth now child

Butterfly well you landed on my mind
Damn right you landed on my ear and then you crawled inside
And now I see you perfectly behind closed eyes
I want to fly with you and I don't want to lie to you

'Cause I, 'cause I can't recall a better day
So I'm coming to shine on the occasion
You're an open-minded lady, you've got it all

And I never forget a face
Except for maybe my own, I have my days
And let's face the fact here
It's you who's got it all

You know that fortune favors the brave
Well let me get paid while I make your breakfast
The rest is up to you, you make the call

You make the call to make my day
In your message say my name
Your talk is all the talk
Sister, you've got it all
I can't recall a better day
So I'm coming to shine on the occasion
Hey sophisticated lady, oh you got it all
You got it all, you got it all
You got it all, you got it all, you got it all
You got it all, you got it all, you got it all
You got it all! Hey! You got it all, woo!
You got it all
You got it all
You got it all
Butterfly, baby, well you got it all"
butterfly,mariah carey,Already processed,"When you love someone so deep that they become your life
It's easy to succumb to overwhelming fears inside
Blindly I imagined I could keep you under glass
Now I understand to hold you I must open up my hands
And watch you rise

(Spread your wings and prepare to fly)
(For you have become a butterfly)
Oh-oh-oh, fly abandonedly into the sun
If you should return to me
We truly were meant to be
So spread your wings and fly
Butterfly

I have learned that beauty has to flourish in the light
Wild horses run unbridled or their spirit dies
You have given me the courage to be all that I can
And I truly feel your heart will lead you back to me
When you're ready to land

(Spread your wings and prepare to fly)
(For you have become a butterfly)
Oh-oh-oh, fly abandonedly into the sun
If you should return to me (if you should return to me)
We truly were meant to be (we truly were meant to be)
So spread your wings and fly (spread your wings)
Butterfly

I can't pretend these tears aren't over flowing steadily
I can't prevent this hurt from almost overtaking me
But I will stand and say goodbye for you'll never be mine
Until you know the way it feels to fly

(Spread your wings and prepare to fly)
(For you have become a butterfly)
Oh-oh-oh, fly abandonedly into the sun
If you should return to me
We know you're mine (we truly were meant to be)
So spread your wings and fly
Butterfly (my butterfly)

(Spread your wings and prepare to fly)
(For you have become a butterfly)
Oh-oh-oh, fly abandonedly into the sun
If you should return to me
We truly were meant to be
So spread your wings and fly
Butterfly (spread your wings butterfly)

So flutter through the sky
Butterfly, fly
Spread your wings and fly
Butterfly"
butterfly,weezer,Already processed,"Yesterday I went outside
With my momma's mason jar
Caught a lovely butterfly

When I woke up today
Looked in on my fairy pet
She had withered all away
No more sighing in her breast

I'm sorry for what I did
I did what my body told me to
I didn't mean to do you harm
Every time I pin down what I think I want, it slips away
The ghost slips away

Smell you on my hand for days
I can't wash away your scent
If I'm a dog then you're a bitch

I guess you're as real as me
Maybe I can live with that
Maybe I need fantasy
Life of chasing butterfly

I'm sorry for what I did
I did what my body told me to
I didn't mean to do you harm
Every time I pin down what I think I want, it slips away
The ghost slips away

I told you I would return
When the robin makes his nest
But I ain't never coming back

I'm sorry
I'm sorry
I'm sorry"
butterfly,倖田來未,Already processed,"信じたい未来を今この手 掴みとるから
諦める事は まだ早いの
綺麗になる burning heart
もっと もっと輝けるわ butterfly

ネイルに新しいグロスで 退屈な日々
変えたいの 君の為 自分の為に

届くかは自分次第なら やってみせるわ
浮いたり 沈んだり 繰り返しても

君は私の『すべて』ではない
だけど いないと『すべて』が
ダメになる だから
何かが変わったと 早く気付かせたい

信じたい未来を今この手 掴みとるから
諦める事は まだ早いの
綺麗になる burning heart
もっと もっと輝けるわ butterfly

バスタイム泡風船に 君の笑顔映し
問いかける 今君はどうしてるの?

奇跡は何度でも 起きるの そうよ
季節が何度もこうして 巡って来るように
素敵な事でしょ? 信じてみたいから

小さな思い出を手繰り寄せ 抱きしめ眠る
目覚めた時 気付くこの想い
君以外 見えない
もっと もっと輝かせて butterfly

信じたい未来を今この手 掴みとるから
諦める事は まだ早いの
綺麗になる burning heart
もっと もっと輝けるわ butterfly"
buttons,the pussycat dolls,Already processed,"I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

Typical and hardly the type I fall for
I'm liking the physical, don't leave me askin' for more
I'm a sexy mama (mama)
Who knows just how to get what I wanna (wanna)
What I wanna do is bring this on ya (on ya)
Backup all the things that I told ya (told ya, told ya, told ya)

You been sayin' all the right things all night long
But I can't seem to get you over here to help take this off
Baby can't you see (see)
How these clothes are fittin' on me (me)
And the heat comin' from this beat (beat)
I'm about to blow, I don't think you know

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

You say you're a big boy, but I can't agree
Cuz the love you said you had ain't been put on me
I wonder (wonder)
If I'm just too much for you, wonder (wonder)
If my kiss don't make you just wonder (wonder)
What I got next for you what you wanna do

Take a chance to recognize that this could be yours
I can see just like most guys that your game don't please
Baby can't you see (see)
How these clothes are fittin' on me (me)
And the heat comin' from this beat (beat)
I'm about to blow, I don't think you know

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

Come on baby loosen up my buttons babe
Loosen up my buttons babe
Baby won't you loosen up my buttons babe
Loosen up my buttons babe
Come on baby loosen up my buttons babe
Loosen up my buttons babe
Baby won't you loosen up my buttons babe
Loosen up my buttons babe

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (Uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)

I'm telling you to loosen up my buttons babe (uh huh)
But you keep frontin' (uh)
Sayin' what you gon' do to me (uh huh)
But I ain't seen nothin' (uh)"
by your side,irene,Already processed,"I could never make it alone
I always want to be by your side
I've been lost but i believe in you
Won't you see me through oh-oh
The winter's gonna tear up a hole
For all we have to carry inside
I've been down but you can take me higher
Won't you light my fire oh-oh

But the road is long
Under the golden sun
We need to find a way
Under the cold blue stars
We need to find a way
And in the city night
We need to find a way

I wanna thank you
I wanna thank you cause you light up my life"
by your side,sade,Already processed,"Hou, hou-hou, hou, hou, hou-hou
Hou-hou, hou
Hou-hou, hou, hou-hou
Hou, hou-hou, hou, hou, hou-hou
Hou-hou, hou
Hou-hou, hou, hou-hou

You think I'd leave your side, baby
You know me better than that (hou-hou-hou, hou-hou)
You think I'd leave you down when you're down on your knees
I wouldn't do that
I'll tell you, you're right when you want
Ah ah, ah-ah
Ah-ah, ah, han-han
And if only you could see into me

Oh, when you're cold, I'll be there
Hold you tight to me (hou-hou, hou)

When you're on the outside, baby, and you can't get in
I will show you, you're so much better than you know (hou-hou, hou)
When you're lost and you're alone and you cant get back again (hou-hou, hou)
I will find you darling and I will bring you home (hou-hou, hou)
And if you want to cry
I am here to dry your eyes, hou
And in no time, you'll be fine (hou-hou, hou)

You think I'd leave your side, baby (hou-hou, hou)
You know me better than that (hou-hou, hou)
You think I'd leave you down when you're down on your knees
I wouldn't do that (hou)
I'll tell you, you're right when you want (hou-hou, hou, hou, hou-hou)
Ah ah, ah-ah (hou-hou, hou)
Ah-ah, ah, han-han
And if only you could see into me (hou-hou, hou, hou-hou, hou-hou, hou)

Oh, when you're cold, I'll be there
Hold you tight to me (to me, yeah)
Oh, when you're low
I'll be there by your side, baby (by your side, baby)
Oh, when you're cold, I'll be there
Hold you tight to me (to me, yeah)
Oh, when you're low
I'll be there by your side, baby

Hou, hou-hou, hou, hou, hou-hou
Hou-hou, hou
Hou-hou, hou, hou-hou
Hou, hou-hou, hou, hou, hou-hou
Hou-hou, hou
Hou-hou"
c'est la vie,b*witched,Already processed,"(Some people say I look like me dad)
(What? Are you serious?)
Oh-oh, hey, hey
Oh-oh, oh-oh

I say, hey boy, sittin' in your tree
Mummy always wants you to come for tea (oh-oh)
Don't be shy, straighten up your tie
Get down from your treehouse, sittin' in the sky (oh-oh)

I wanna know just what to do
Is it very big? Is there room for two? (oh-oh)
I got a house with windows and doors
I'll show you mine, if you show me yours

Gotta let me in, hey, hey, hey
Let the fun begin, hey
I'm the wolf today, hey, hey, hey
I'll huff, I'll puff
I'll huff, I'll puff, I'll blow you away

Say you will, say you won't
Say you'll do what I don't
Say you're true, say to me (say you will)
C'est la vie

Say you will, say you won't
Say you'll do what I don't
Say you're true, say to me (get a life!)
C'est la vie

Do you play with the girls, play with the boys?
Do you ever get lonely playing with your toys? (oh-oh)
We can talk, we can sing
I'll be the queen and you'll be the king (oh-oh)

Hey boy, in your tree
Throw down your ladder, make a room for me (oh-oh)
I got a house with windows and doors
I'll show you mine if you show me yours

Gotta let me in, hey, hey, hey
Let the fun begin, hey
I'm the wolf today, hey, hey, hey
I'll huff, I'll puff
I'll huff, I'll puff, I'll blow you away

Say you will, say you won't
Say you'll do what I don't
Say you're true, say to me (say you will, yeah)
C'est la vie

Say you will, say you won't (oh, say you will)
Say you'll do what I don't (say you will)
Say you're true, say to me (what are you like?)
C'est la vie

Hey, hey
Na-na-na, hey
Na-na-na, oh
Na-na-na, hey
Hey-hey-hey-hey

Say you will, say you won't
Say you'll do what I don't (say you will)
Say you're true, say to me
Wanna say, c'est la vie

Say you will, say you won't
Say you'll do what I don't
Say you're true, say to me (say you will)
(Fight like me dad as well) C'est la vie

Na-na-na, hey
Na-na-na, oh (c'est la vie)
Na-na-na, hey
Hey-hey-hey-hey (c'est la vie)"
cake,stuck mojo,Already processed,"Never liked Dr. Seuss, Mother Goose.
Listen to the old school to get loose.

Don't write simple riddles to make you giggle, came to throw
down make your ass wiggle.
As Sir Nose, he said he'll never swim, but he got Stuck in the Mojo
deep end enough that back to the track to let you know where the mind is at...

Power, yeh we want it all, 'hos, might cause your downfall.
Friends, we don't have many, enemies plenty.

Suckers, stay out of our way.
Why?, Because you might get played.
#1 we're second to none we're not gonna stop 'til the mission is done...

Can't have my cake and eat it too?

Well who are you to judge the Mojo Crew?
Sick of the pie in the sky and we're gonna let you know the reason why.

Bread and water will make the average brother weak.

I wanna eat cake so let the big dog eat.
Kind of clever don't need a DJ to pull my goddamn lever.
In a live funky ass band it's not a dis, can you understand?
Fifth monkey of the kit but you suckers wanna pitch a fit.
Bust and cuss in disgust just because we want what's best for us.

Crackers, niggas all the same.
Money, is the name of the game.
Souls, are always sold for the promise of fool's gold.
C.Y.A., Cover Your Ass.
Uncle Sam is gonna fuck you fast.

Non stop we're going to the top, we're getting
props like crooked cops!

Can't have my cake and eat it too?

Well who are you to judge the Mojo Crew?
Sick of the pie in the sky and we're gonna let you know the reason why.

Bread and water will make the average brother weak,

I wanna eat cake and let the big dog eat.
That religion will make the brother weak,
I wanna eat cake so let the big dog eat.
Government cheese will make a brother weak,
I wanna eat cake and let the big dog eat.
Bein' broke ain't no joke,
I wanna eat cake and let the big dog...

CAKE!"
california,mason jennings,Already processed,"Don't you know baby I'm a leading man
I dig down deep when I say I love you
And I can hold my own with the best of them
I guarantee you, you will never see nothing like this again
California I hope that it wakes you
All the darkness that I couldn't break through
Cause I'm going to miss you
I'm gonna miss you
I'm gonna miss you
I'm gonna miss you

Don't you know that I did the things I could
I rubbed you back when you were sleeping
And all along baby it was understood
That you were leaving absolutely ever since the very first day that we met
California I hope that it wakes you
All the darkness that I couldn't break through
Cause I'm going to miss you
I'm gonna miss you
I'm gonna miss you
I'm gonna miss you
Like I miss the ocean when I go to sleep
And it's gonna break my heart

Don't you know baby I'm a leading man
I dig down deep when I say I love you
And I can hold my own with the best of them
I guarantee you, you will never see nothing like this again
California I hope that it wakes you
All the darkness that I couldn't break through
Cause I'm going to miss you
I'm gonna miss you
I'm gonna miss you
I'm gonna miss you
I'm gonna miss you
Like I miss the ocean when I go to sleep
Like I miss the ocean when I go to sleep
And it's gonna break my heart"
california,mazzy star,Already processed,"I think I'm going back to California
Somewhere distant and it's so far away
It's so far
It's so far
Far away
I think I'll drift across the ocean now
Clouds looks so clear in your eyes
Let me bring all my
Let me bring all my friends
I think I'll fly across the ocean
I can watch the sky turning grey
I think I'm going back
I think I'll go back
I think I hear the whisper of my oldest friend
I think I hear the bells ringing in the square
California
California"
california,metro station,Already processed,"If I strum chords, would you sing a song with me?
If I leave town would you leave along with me?
And we can fly away to outer space
We can find a way to leave this place

We don't need a map and you can throw your phone away
We don't wanna hear the things we know they're gonna say
You don't trust yourself but girl trust in me
Don't look in the mirror the past you don't wanna see

What do you say we leave for California?
If we drive all night we can make it by the morning
And no one has to know if we decide to go
What do you say we leave for California?

If we leave our friends then we can be together
We can leave this town for if only for the weather
I could drive and you could sleep
While the radio collides to the sound of our heartbeats

What do you say we leave for California?
If we drive all night we can make it by the morning
And no one has to know if we decide to go
What do you say we leave for California?

What do you say we leave for California?
If we drive all night we can make it by the morning
And no one has to know if we decide to go
What do you say we leave for California?

Hypnotized by the carbon monoxide
Would turning back be a good idea
Your cigarette after cigarette
Cannot help to calm your fear

Now I'm still driving
Just keep sleeping
We'll keep moving
But I'm not leaving, no I'm not leaving

What do you say we leave for California?
If we drive all night we can make it by the morning
And no one has to know if we decide to go
What do you say we leave for California? (x2)"
california,savage garden,Already processed,"I've got a cottage with a sea view
I've got a regular summer tan
I've been working up the courage to call you all year
Ooooh
But there's nothing i can say
And there are no good words left anyway
Besides people are cruel and the world still moves without you
Ooooh

And welcome to my Californian home
You don't have to call me you can
Leave when you want there's a
Picture by my bed and there's a
Light in your eyes I don't know
Well I don't know
Why you still feel alone

And we were dying from the get-go
I was dreamin' but you never believed
I was tryin' to fit myself in the spaces between
Ooooh
And you were kind and sometimes cruel
You said all the world's love couldn't satisfy you
And nothing could have hurt me as much as the truth
Ooooh darlin'

Welcome to my Californian home
You don't have to call me, you can
Leave when you want there's a
Picture by my bed and there's a
Light in your eyes I don't know
Tell me 'coz i wanna find out
Do you still feel alone?

Love is elusive when you search for it
And don't I know
Happiness sometimes it just creeps in
And don't I know it
I'm goin' crazy I've been wonderin'
Do you still feel alone?

(I need to find
Some kind of peace of mind
I need to find...)

I've got a cottage with a sea view
I've got a regular summer tan
I know that I deserve more
But I still want you...

And welcome to my Californian home
You don't have to call me you can
Leave when you want there's a
Picture by my bed and there's a
Light in your eyes I don't know
Tell me 'coz I wanna find out do you still feel?

Welcome to my California, (I need to find)
Even though I'm no good for ya, (Some kind of peace of mind)
There's a part of me that's still waiting for you, (I need to find)
Oh oh oh
Welcome to my happy ending, (I need to find)
Even though it's fun pretending I know, (Some kind of peace of mind)
I know you can't look back you can never go back

(Welcome to my Californian home) I know you can never go back again
(Welcome to my Californian home) I know you can never go back again
(Welcome to my Californian home) I know you can never go back
I know it, I need to find out do you still feel?

Welcome to my Californian home (I need to find)
Even though I'm no good for you (Some kind of peace of mind)
Deep inside there's a piece of me, there's a piece of me
Still waiting for you to come home
Welcome to my Californian home (I need to find)
I know you can never look back
You can never look back again (Some kind of peace of mind)
But tell me 'cause I want to find out
Do you still feel alone?
Oh nooo
Do you still feel alone?
Oh nooo
"
california,semisonic,Already processed,"Driven through the canyons
I was dazzled by the mountains
And we didn't go very far

Close enough to heaven
If you climb up on a mansion
You too, can swing like a star

I tried to get inside
I bought a ticket with my pride
And I was gone right out of my head

I went out for a ride to go
Across a great divide
And I ended up at home instead

California, yeah
I thought I should see
(Now) now I'm back home, yeah
With 12 little pieces of me

I was just a passenger
A rider on the tremors
That were shaking all our beds at night

A visitor, a stranger
Thought I might pass for a regular
If I just kept out of the lights

Tore my heart out from my chest
Mixed it up in my mind
With the best freshest pieces of my soul

Chose the ones I loved the most
Drove 'em all down to the coast
Threw 'em in a big black hole

California, yeah
I thought I should see
(Now) now I'm back home, yeah
Got 12 little pieces of me

California, yeah
I dreamed I would find
Some kinda, sorta pick me up
I got 12 little pieces of my mind

California, yeah
I thought I should see
(Now) now I'm back home, yeah
Got 12 little pieces of me, yeah

California, yeah
I dreamed I would find
Some kinda, sorta pick me up
I got 12 little pieces of my mind

12 little pieces of my mind
12 little pieces of my mind
12 little pieces of my mind, oh-oh"
california,tom petty and the heartbreakers,Already processed,"California's been good to me
Hope it don't fall into the sea
Sometimes you got to trust yourself
It ain't like anywhere else
It ain't like anywhere else

There's time to roll, I'm all done
It's time we better hit the road
I got work later on
It's time we better hit the road

California's been good to me
Hope it don't fall into the sea
Sometimes you got to save yourself
It ain't like anywhere else
It ain't like anywhere else

Sundown, red skies
Nobody's been around
Sundown, blue eyes
I kinda like this party town

California's treated me good
I pray to God that the hills
Don't fall into the sea
Sometimes you got to trust yourself
It ain't like anywhere else
It ain't like anywhere else
It ain't like anywhere else"
call me,boz scaggs,Already processed,"There is a place in the heart of this city
A little sun comes shining through, yeah
For once in my life I can feel like
The sun is shining for me too

? Cause in my life
It? s never been this way before
Some thing's calling me, calling now
Yeah, it? s calling now

Did you ever think, well, love ain't right for me
Though you try and try
It's one of those things make you feel like
It's just not meant to be

? Cause in my life
I never felt this way before
But you call me, babe, call me now
Yeah, you call me now

You just call
Call me, babe, call me now
You better call me now

The other night I'm down at Slim's place
This melody comes drifting through, yeah
The thing is this song's got some blue eyes
And stands about five foot two

Now it's my life
And someone? s knocking at the door
? Cause you call me, baby, call me now
You better call me now

If you call
Call me baby, call me now
You better call me now

Call me, baby, call me, girl
Just call me, call me girl
Call me, call me now
Call me now

Call, call me, baby"
call me,lil' kim,Already processed,"Colour me your colour, baby
Colour me your car
Colour me your colour, darling
I know who you are
Come up off your colour chart
I know where you're comin' from
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
You can call me any day or night
Call me
Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, i don't know why
Cover up love's alibi
Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) oh love
When you're ready we can share the wine
Call me
Ooo-oo-oo-oo-oo, he speaks the languages of love
Ooo-oo-oo-oo-oo, amore, chiamami
Ooo-oo-oo-oo-oo, appelle-moi mon cherie, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day-ay
Call me (call me) my love
Call me, call me any, anytime
Call me (call me) for a ride
Call me, call me for some overtime
Call me (call me) my love
Call me, call me in a sweet design
Call me (call me), call me for your lover's lover's alibi
Call me (call me) on the line
Call me, call me"
call me,mint condition,Already processed,"Call me, call me, call me
Call me, call me, call me
Call me, call me
Call me

I overheard you and your girlfriend talkin'
Problems with your man's infidelity
The same thing happened to me and my lady
So I left you with my card anonymously, oh-oh-oh

Call me, if you will, call me
'Cause I know how you feel, call me
Fax me, baby, here's my number
8-2-5-4-2-63, just call me

So you made up your mind to make this visit
Checkin' up on people is my business
You needed confirmation for suspicions
That left you crying over a thousand minutes

Now suddenly, I feel the plot thickening
I find myself having to atone (atone)
This situation has my mind spinning
'Cause now I really want you for my own, my own

Call me, if you will, call me (oh-oh-oh)
'Cause I know how you feel, call me
Fax me, baby, here's my number (here it is, here it is)
8-2-5-4-2-63, just call me (I know 'cause it happened to me)

Call me, if you will, call me
'Cause I know how you feel, call me
Fax me, baby, here's my number
8-2-5-4-2-63, just call me

Call me, if you will, call me (call me, if you will)
'Cause I know how you feel, call me (how you feel, call me)
Fax me, baby, here's my number (24 hours)
8-2-5-4-2-63, just call me

Call me, if you will, call me
'Cause I know how you feel, call me
Fax me, baby, here's my number
8-2-5-4-2-63, just call me

Call me, call me, call me, call me
Call me, 8-2-5-4-2-63
Call me, call me, call me
Call me"
call me,the house of love,Already processed,"Read the stop signs
I can't love nothing
I mate, kill
You wake up and it's not morning
I can't sleep, I loved you once
I loved you so much

There's a shape on the horizon
As we're picked off one by one
Something's gone
Something's over

Move your hand again
I can't watch you wash
The floor
You live for the green
I hold your flame
So why?

There's a shape over the ocean
As we're picked off one by one
Summer's gone
Summer's over

Somebody here's too smart
There's nothing that doesn't die
Why don't you do to my insight
What you do to my insides?
Oh, babe

I'm in a deep hole
I've dug myself five feet deep
So many people want to talk
They look in the mirror, see themselves
They look in the mirror, they look at me,
They look at me
They look at me, oh-oh-oh

Something's gone
Something's over

Peter said
""Thanks for letting me hold you
Calling me moonshine
I can take you there and call you that""
This is your name

I'm lonely at night
Time on my hands
I feel sad in the day
Call me
Call me
Call me

Nobody knows
Home or away
What I'm waiting for
Call me
Call me
Call me

Here I am
What a loser
Waiting for years to go by
Call me
Call me
Call me"
call me,throwing muses,Already processed,"Read the stop signs
I can't love nothing
I mate, kill
You wake up and it's not morning
I can't sleep, I loved you once
I loved you so much

There's a shape on the horizon
As we're picked off one by one
Something's gone
Something's over

Move your hand again
I can't watch you wash
The floor
You live for the green
I hold your flame
So why?

There's a shape over the ocean
As we're picked off one by one
Summer's gone
Summer's over

Somebody here's too smart
There's nothing that doesn't die
Why don't you do to my insight
What you do to my insides?
Oh, babe

I'm in a deep hole
I've dug myself five feet deep
So many people want to talk
They look in the mirror, see themselves
They look in the mirror, they look at me,
They look at me
They look at me, oh-oh-oh

Something's gone
Something's over

Peter said
""Thanks for letting me hold you
Calling me moonshine
I can take you there and call you that""
This is your name

I'm lonely at night
Time on my hands
I feel sad in the day
Call me
Call me
Call me

Nobody knows
Home or away
What I'm waiting for
Call me
Call me
Call me

Here I am
What a loser
Waiting for years to go by
Call me
Call me
Call me"
calling you,natalie cole,Already processed,"Desert road from Vegas to nowhere
Somewhere better than where you've been
A coffee machine that needs some fixing
In a little café just around the bend
I am calling you
I am calling you
A hot dry wind blows right through me
The baby's crying and I can't sleep
But I can feel that a change is coming
Coming closer, sweet release
Ooh ooh ooh ooh ooh ooh ooh
I am calling you
I am calling you
Desert road from Vegas to nowhere
Someplace better than where you've been
A coffee machine that needs some fixing
In a little café just around the bend
A hot dry wind blows right through me
The baby's crying and I can't sleep
But I can feel that a change is coming
Coming closer, sweet release
I am calling you
I am calling you"
calling,leona naess,Already processed,"Roll the carpet and pour out the wine
Treat me like it's your first valentine
'Cause honey baby, you've been on my mind
Like all of us who have waited for a time

I'm calling can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest

Who knows what I really will hear?
What I really will say?
What I really will feel?
Who knows what you really will hear?
What you really will say?
What you really will feel?

Wall the papers and call your friends
No longer, do we have to pretend?
'Cause honey baby, you've been on my mind
Like all of us who have waited for a time, oh

I'm callin' can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest

Who knows what I really will hear?
What I really will say?
What I really will feel?
Who knows what you really will hear?
What you really will say?
What you really will feel?

Quicken your beatin' drums and
Draw me some wild fires, oh

I'm callin' can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest

Who knows what I really will hear?
What I really will say?
What I really will feel?
Who knows what you really will hear?
What you really will say?
What you really will feel?

I'm callin' can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest

Who knows what I really will hear?
What I really will say?
What I really will feel?
Who knows what you really will hear?
What you really will say?
What you really will feel?

I'm callin' can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest

Who knows what I really will hear?
What I really will say?
What I really will feel?
Who knows what you really will hear?
What you really will say?
What you really will feel?

I'm callin' can you hear me?
The angels will steer me
To your door, feel so sure
The nite is the brightest"
calling,taproot,Already processed,"Your face, is burned inside my brain
(I lost my way)
Your taste, of skin flows through my veins
(The cost I pay)

'Cause you'll never understand me
You want me to stay

You're ca-ca-ca-calling
But I can't hear you
I'm not listening anymore
You're subject to falling
But I can't save you
I don't see you anymore

The race of slowing down the pace
(I found a way)
The pace of speaking so mundane
(The sound of gain)

But you'll never make me happy
So I've extinguished the flame

You're ca-ca-ca-calling
But I can't hear you
I'm not listening anymore
You're subject to falling
But I can't save you
I don't see you anymore

And what you want me to say
I'll never say
You're playing the game
That I'll never play
So what do you want from me
Now I've extinguished the flame

You're ca-ca-ca-calling
But I can't hear you
I'm not listening anymore
You're subject to falling
But I can't save you
I don't see you anymore

You're ca-ca-ca-calling
But I can't hear you
I'm not listening anymore
You're fa-fa-fa-falling
But I can't save you
I don't see you anymore"
calm,maritime,Already processed,"Ballads laugh at everyone
Worse than silence is their song
And you are too far away to love

Shortened by the blasphemy
When the sun would warm the sea.
The canary islands are chasing me
We are powerful despite our injuries

We've got to swim out away from the sinking
It's pulling everybody down and everybody
And it's a sin to know
That we are powerful

Blessings always beg for calm
In spite of their silvery arms
We aren't sure but we always want
We are powerful despite our injuries"
